id,type,start_pos,end_pos,surface,coref_id,rel

agnolo:881,ENT,45,51,school,1,

agnolo:881,ENT,59,68,sculptors,1,

agnolo:881,ENT,69,77,Giovanni,2,

agnolo:881,ENT,82,89,Niccola,3,

agnolo:881,ENT,93,97,Pisa,4,

agnolo:881,ENT,99,107,Agostino,5,

agnolo:881,ENT,112,118,Agnolo,6,

agnolo:881,ENT,120,129,sculptors,5/6,

agnolo:881,ENT,133,138,Siena,7,

agnolo:881,PRON,148,150,we,8,

agnolo:881,ENT,185,189,Life,9,

agnolo:881,PRON,255,256,I,10,

agnolo:881,ENT,280,286,father,11,

agnolo:881,ENT,291,297,mother,12,

agnolo:881,ENT,301,306,Siena,7,

agnolo:881,PRON,312,317,their,5/6,

agnolo:881,ENT,318,329,forefathers,13,

agnolo:881,ENT,335,345,architects,14,

agnolo:881,ENT,387,391,rule,15,

agnolo:881,ENT,395,412,the three Consuls,16,

agnolo:881,PRON,414,418,they,5/6,

agnolo:881,ENT,445,456,Fontebranda,17,

agnolo:881,ENT,512,521,Consulate,18,

agnolo:881,ENT,527,540,Customs-house,19,

agnolo:881,ENT,549,553,city,7,

agnolo:881,ENT,564,573,buildings,20,

agnolo:881,PRON,588,590,it,21,

agnolo:881,ENT,620,625,seeds,22,

agnolo:881,ENT,653,659,houses,23,

agnolo:881,PRON,666,670,they,22,

agnolo:881,ENT,710,716,shoots,23,

agnolo:881,ENT,761,767,fruits,24,

agnolo:881,ENT,800,808,Agostino,5,

agnolo:881,ENT,813,819,Agnolo,6,

agnolo:881,ENT,868,876,Giovanni,2,

agnolo:881,ENT,881,888,Niccola,3,

agnolo:881,ENT,892,896,Pisa,4,

agnolo:881,ENT,958,963,works,25,

agnolo:881,PRON,985,987,It,26,

agnolo:881,ENT,1015,1023,Giovanni,2,

agnolo:881,ENT,1040,1046,Naples,27,

agnolo:881,ENT,1050,1054,Pisa,4,

agnolo:881,ENT,1083,1088,Siena,7,

agnolo:881,ENT,1110,1116,design,28,

agnolo:881,ENT,1121,1131,foundation,29,

agnolo:881,ENT,1140,1146,façade,30,

agnolo:881,ENT,1154,1159,Duomo,31,

agnolo:881,ENT,1193,1198,doors,32,

agnolo:881,PRON,1216,1218,it,31,

agnolo:881,ENT,1257,1264,marbles,33,

agnolo:881,ENT,1280,1288,Agostino,5,

agnolo:881,PRON,1347,1350,him,2,

agnolo:881,PRON,1369,1376,himself,5,

agnolo:881,ENT,1380,1389,sculpture,34,

agnolo:881,PRON,1399,1401,he,5,

agnolo:881,ENT,1466,1469,art,34,

agnolo:881,ENT,1493,1505,architecture,35,

agnolo:881,ENT,1537,1545,Giovanni,2,

agnolo:881,PRON,1575,1577,he,5,

agnolo:881,PRON,1592,1595,his,3,

agnolo:881,ENT,1596,1612,fellow-disciples,36,

agnolo:881,PRON,1659,1661,it,37,

agnolo:881,PRON,1683,1685,he,5,

agnolo:881,PRON,1707,1710,his,5,

agnolo:881,ENT,1711,1717,master,2,

agnolo:881,ENT,1740,1746,people,38,

agnolo:881,ENT,1797,1803,nature,39,

agnolo:881,ENT,1811,1815,soul,40,

agnolo:881,ENT,1823,1830,fortune,41,

agnolo:881,ENT,1898,1901,men,42,

agnolo:881,ENT,1994,2002,Agostino,5,

agnolo:881,ENT,2045,2053,Giovanni,2,

agnolo:881,PRON,2060,2063,his,5,

