id,type,start_pos,end_pos,surface,coref_id,rel
bugiardini:887,ENT,11,28,siege of Florence,,
bugiardini:887,ENT,20,28,Florence,,
bugiardini:887,ENT,33,43,population,,
bugiardini:887,ENT,101,108,suburbs,,
bugiardini:887,ENT,133,137,gate,,
bugiardini:887,ENT,157,165,churches,,
bugiardini:887,ENT,167,178,monasteries,,
bugiardini:887,ENT,184,193,hospitals,,
bugiardini:887,PRON,205,207,it,,
bugiardini:887,ENT,221,225,city,,
bugiardini:887,ENT,256,263,persons,,
bugiardini:887,ENT,276,285,craftsmen,,
bugiardini:887,PRON,328,332,they,,
bugiardini:887,ENT,369,373,city,,
bugiardini:887,ENT,466,473,suburbs,,
bugiardini:887,ENT,493,507,Porta a Faenza,,
bugiardini:887,ENT,501,507,Faenza,,
bugiardini:887,ENT,518,537,Giuliano Bugiardini,,
bugiardini:887,PRON,564,567,his,,
bugiardini:887,ENT,622,629,suburbs,,
bugiardini:887,ENT,683,686,lad,,
bugiardini:887,PRON,688,690,he,,
bugiardini:887,PRON,697,700,his,,
bugiardini:887,ENT,716,722,garden,,
bugiardini:887,ENT,726,736,the Medici,,
bugiardini:887,ENT,744,762,Piazza di S. Marco,,
bugiardini:887,ENT,754,762,S. Marco,,
bugiardini:887,ENT,800,803,art,,
bugiardini:887,ENT,814,822,sculptor,,
bugiardini:887,ENT,823,831,Bertoldo,,
bugiardini:887,PRON,833,835,he,,
bugiardini:887,ENT,884,907,Michelagnolo Buonarroti,,
bugiardini:887,PRON,914,916,he,,
bugiardini:887,ENT,937,947,Buonarroti,,
bugiardini:887,ENT,971,983,Michelagnolo,,
bugiardini:887,PRON,1026,1028,he,,
bugiardini:887,ENT,1036,1044,Giuliano,,
bugiardini:887,PRON,1125,1127,he,,
bugiardini:887,ENT,1143,1146,art,,
bugiardini:887,ENT,1161,1169,Giuliano,,
bugiardini:887,PRON,1240,1243,his,,
bugiardini:887,ENT,1312,1322,Buonarroti,,
bugiardini:887,PRON,1360,1363,him,,
bugiardini:887,PRON,1380,1382,he,,
bugiardini:887,ENT,1402,1407,works,,
bugiardini:887,PRON,1411,1414,his,,
bugiardini:887,ENT,1419,1423,hand,,
bugiardini:887,ENT,1443,1446,men,,
bugiardini:887,ENT,1480,1488,Giuliano,,
bugiardini:887,PRON,1597,1599,he,,
bugiardini:887,PRON,1619,1623,them,,
bugiardini:887,ENT,1656,1668,Michelagnolo,,
bugiardini:887,PRON,1682,1685,him,,
bugiardini:887,PRON,1701,1703,he,,
bugiardini:887,PRON,1738,1740,he,,
bugiardini:887,PRON,1751,1758,himself,,
bugiardini:887,ENT,1779,1783,work,,
bugiardini:887,PRON,1787,1790,his,,
bugiardini:887,PRON,1812,1815,him,,
bugiardini:887,ENT,1823,1831,Giuliano,,
bugiardini:887,ENT,1884,1890,garden,,
bugiardini:887,PRON,1892,1894,he,,
bugiardini:887,ENT,1917,1927,Buonarroti,,
bugiardini:887,ENT,1932,1940,Granacci,,
bugiardini:887,ENT,1948,1968,Domenico Ghirlandajo,,
bugiardini:887,PRON,1987,1989,he,,
bugiardini:887,ENT,2007,2013,chapel,,
bugiardini:887,ENT,2017,2033,S. Maria Novella,,
bugiardini:888,ENT,0,8,Giuliano,,
bugiardini:888,ENT,29,53,Cardinal Innocenzio Cibo,,
bugiardini:888,ENT,56,60,copy,,
bugiardini:888,ENT,68,75,picture,,
bugiardini:888,ENT,85,104,Raffaello da Urbino,,
bugiardini:888,ENT,98,104,Urbino,,
bugiardini:888,ENT,126,135,portraits,,
bugiardini:888,ENT,139,147,Pope Leo,,
bugiardini:888,ENT,149,175,Cardinal Giulio de' Medici,,
bugiardini:888,ENT,181,199,Cardinal de' Rossi,,
bugiardini:888,ENT,217,235,Cardinal de' Rossi,,
bugiardini:888,PRON,236,238,he,,
bugiardini:888,ENT,259,272,Cardinal Cibo,,
bugiardini:888,PRON,283,285,he,,
bugiardini:888,PRON,296,303,himself,,
bugiardini:888,PRON,319,321,he,,
bugiardini:888,ENT,341,348,picture,,
bugiardini:888,PRON,406,408,he,,
bugiardini:888,ENT,418,426,portrait,,
bugiardini:888,ENT,430,445,Cencio Guasconi,,
bugiardini:888,ENT,477,482,youth,,
bugiardini:888,PRON,499,501,he,,
bugiardini:888,ENT,517,522,villa,,
bugiardini:888,ENT,526,539,Baccio Valori,,
bugiardini:888,ENT,544,559,Olmo a Castello,,
bugiardini:888,ENT,551,559,Castello,,
bugiardini:888,ENT,563,573,tabernacle,,
bugiardini:888,ENT,577,583,fresco,,
bugiardini:888,PRON,601,603,it,,
bugiardini:888,ENT,617,623,design,,
