id,type,start_pos,end_pos,surface,wb_id,has_nested,is_nested,named_entity
bugiardini:887,EVE,11,28,siege of Florence,,,,
bugiardini:887,LOC,20,28,Florence,,,,
bugiardini:887,PER,33,43,population,,,,
bugiardini:887,LOC,101,108,suburbs,,,,
bugiardini:887,LOC,133,137,gate,,,,
bugiardini:887,LOC,157,165,churches,,,,
bugiardini:887,LOC,167,178,monasteries,,,,
bugiardini:887,LOC,184,193,hospitals,,,,
bugiardini:887,LOC,221,225,city,,,,
bugiardini:887,PER,256,263,persons,,,,
bugiardini:887,PER,276,285,craftsmen,,,,
bugiardini:887,LOC,369,373,city,,,,
bugiardini:887,LOC,466,473,suburbs,,,,
bugiardini:887,LOC,493,507,Porta a Faenza,,,,
bugiardini:887,LOC,501,507,Faenza,,,,
bugiardini:887,PER,518,537,Giuliano Bugiardini,,,,
bugiardini:887,LOC,622,629,suburbs,,,,
bugiardini:887,PER,683,686,lad,,,,
bugiardini:887,LOC,716,722,garden,,,,
bugiardini:887,ORG,726,736,the Medici,,,,
bugiardini:887,LOC,744,762,Piazza di S. Marco,,,,
bugiardini:887,PER,754,762,S. Marco,,,,
bugiardini:887,PROD,800,803,art,,,,
bugiardini:887,PER,814,822,sculptor,,,,
bugiardini:887,PER,823,831,Bertoldo,,,,
bugiardini:887,PER,884,907,Michelagnolo Buonarroti,,,,
bugiardini:887,PER,937,947,Buonarroti,,,,
bugiardini:887,PER,971,983,Michelagnolo,,,,
bugiardini:887,PER,1036,1044,Giuliano,,,,
bugiardini:887,MISC,1143,1146,art,,,,
bugiardini:887,PER,1161,1169,Giuliano,,,,
bugiardini:887,PER,1312,1322,Buonarroti,,,,
bugiardini:887,PROD,1402,1407,works,,,,
bugiardini:887,MISC,1419,1423,hand,,,,
bugiardini:887,PER,1443,1446,men,,,,
bugiardini:887,PER,1480,1488,Giuliano,,,,
bugiardini:887,PER,1656,1668,Michelagnolo,,,,
bugiardini:887,PROD,1779,1783,work,,,,
bugiardini:887,PER,1823,1831,Giuliano,,,,
bugiardini:887,LOC,1884,1890,garden,,,,
bugiardini:887,PER,1917,1927,Buonarroti,,,,
bugiardini:887,PER,1932,1940,Granacci,,,,
bugiardini:887,PER,1948,1968,Domenico Ghirlandajo,,,,
bugiardini:887,LOC,2007,2013,chapel,,,,
bugiardini:887,LOC,2017,2033,S. Maria Novella,,,,
bugiardini:888,PER,0,8,Giuliano,,,,
bugiardini:888,PER,29,53,Cardinal Innocenzio Cibo,,,,
bugiardini:888,PROD,56,60,copy,,,,
bugiardini:888,PROD,68,75,picture,,,,
bugiardini:888,PER,85,104,Raffaello da Urbino,,,,
bugiardini:888,LOC,98,104,Urbino,,,,
bugiardini:888,PROD,126,135,portraits,,,,
bugiardini:888,PER,139,147,Pope Leo,,,,
bugiardini:888,PER,149,175,Cardinal Giulio de' Medici,,,,
bugiardini:888,PER,181,199,Cardinal de' Rossi,,,,
bugiardini:888,PER,217,235,Cardinal de' Rossi,,,,
bugiardini:888,PER,259,272,Cardinal Cibo,,,,
bugiardini:888,PROD,341,348,picture,,,,
bugiardini:888,PROD,418,426,portrait,,,,
bugiardini:888,PER,430,445,Cencio Guasconi,,,,
bugiardini:888,PER,477,482,youth,,,,
bugiardini:888,LOC,517,522,villa,,,,
bugiardini:888,PER,526,539,Baccio Valori,,,,
bugiardini:888,LOC,544,559,Olmo a Castello,,,,
bugiardini:888,LOC,551,559,Castello,,,,
bugiardini:888,PROD,563,573,tabernacle,,,,
bugiardini:888,TECH,577,583,fresco,,,,
bugiardini:888,MISC,617,623,design,,,,
