id,type,start_pos,end_pos,surface,wb_id,has_nested,is_nested,named_entity
dal_ponte:816,PROD,107,112,purse,,,,
dal_ponte:816,PER,569,572,men,,,,
dal_ponte:816,PER,615,618,men,,,,
dal_ponte:816,PER,804,837,Giovanni da Santo Stefano a Ponte,,,,
dal_ponte:816,LOC,816,837,Santo Stefano a Ponte,,,,
dal_ponte:816,LOC,841,849,Florence,,,,
dal_ponte:816,PER,1138,1141,man,,,,
dal_ponte:816,PER,1159,1167,disciple,,,,
dal_ponte:816,PER,1171,1192,Buonamico Buffalmacco,,,,
dal_ponte:816,PER,1292,1299,painter,,,,
dal_ponte:816,PER,1361,1369,disciple,,,,
dal_ponte:816,PER,1373,1384,Buffalmacco,,,,
dal_ponte:816,PROD,1404,1409,works,,,,
dal_ponte:816,LOC,1417,1437,Chapel of S. Lorenzo,,,,
dal_ponte:816,PER,1427,1437,S. Lorenzo,,,,
dal_ponte:816,LOC,1446,1461,Pieve of Empoli,,,,
dal_ponte:816,TECH,1481,1487,fresco,,,,
dal_ponte:816,PROD,1493,1499,scenes,,,,
dal_ponte:816,MISC,1507,1511,life,,,,
dal_ponte:816,PER,1520,1525,Saint,,,,
dal_ponte:816,LOC,1575,1581,Arezzo,,,,
dal_ponte:816,MISC,1688,1710,Assumption of Our Lady,,,,
dal_ponte:816,PER,1702,1710,Our Lady,,,,
dal_ponte:816,LOC,1716,1722,chapel,,,,
dal_ponte:816,LOC,1726,1738,S. Francesco,,,,
dal_ponte:816,LOC,1799,1803,city,,,,
dal_ponte:816,PER,1822,1830,painters,,,,
dal_ponte:816,LOC,1847,1867,Chapel of S. Onofrio,,,,
dal_ponte:816,PER,1857,1867,S. Onofrio,,,,
dal_ponte:816,LOC,1875,1880,Pieve,,,,
dal_ponte:816,PER,1895,1905,S. Antonio,,,,
dal_ponte:816,PROD,1963,1971,pictures,,,,
dal_ponte:816,LOC,1984,1996, S. Giustina,,,,
dal_ponte:816,LOC,2004,2013,S. Matteo,,,,
dal_ponte:816,PER,2054,2065,Duke Cosimo,,,,
dal_ponte:816,LOC,2090,2098,churches,,,,
dal_ponte:816,LOC,2117,2131,fortifications,,,,
dal_ponte:816,LOC,2141,2145,city,,,,
dal_ponte:816,LOC,2216,2222,bridge,,,,
dal_ponte:816,LOC,2239,2250,S. Giustina,,,,
dal_ponte:816,LOC,2281,2285,city,,,,
dal_ponte:816,PROD,2311,2315,head,,,,
dal_ponte:816,PER,2319,2331,Appius Cæcus,,,,
dal_ponte:816,PER,2347,2350,son,,,,
dal_ponte:816,MAT,2360,2366,marble,,,,
dal_ponte:816,PROD,2403,2410,epitaph,,,,
dal_ponte:816,LOC,2462,2472,guardaroba,,,,
dal_ponte:816,PER,2489,2498,Lord Duke,,,,
dal_ponte:816,PER,2500,2508,Giovanni,,,,
dal_ponte:816,GPE,2529,2537,Florence,,,,
dal_ponte:816,PROD,2600,2604,arch,,,,
dal_ponte:816,LOC,2612,2630,Ponte a S. Trinita,,,,
dal_ponte:816,MISC,2645,2652,figures,,,,
dal_ponte:816,LOC,2679,2685,chapel,,,,
dal_ponte:816,PROD,2701,2705,pier,,,,
dal_ponte:816,PER,2723,2738,S. Michelagnolo,,,,
dal_ponte:816,LOC,2772,2776,wall,,,,
dal_ponte:816,LOC,2784,2790,chapel,,,,
dal_ponte:816,LOC,2810,2816,bridge,,,,
dal_ponte:816,EVE,2842,2864,flood of the year 1557,,,,
dal_ponte:816,PROD,2891,2896,works,,,,
dal_ponte:816,PER,3007,3025,Giovanni dal Ponte,,,,
dal_ponte:816,LOC,3030,3034,Pisa,,,,
dal_ponte:816,PROD,3073,3079,scenes,,,,
dal_ponte:816,TECH,3083,3089,fresco,,,,
dal_ponte:816,LOC,3101,3106,altar,,,,
dal_ponte:816,LOC,3124,3130,chapel,,,,
dal_ponte:816,PER,3134,3142,S. Paolo,,,,
dal_ponte:816,LOC,3134,3156,S. Paolo a Ripa d'Arno,,,,
dal_ponte:816,LOC,3145,3156,Ripa d'Arno,,,,
dal_ponte:936,PER,0,8,Giovanni,,,,
dal_ponte:936,LOC,26,45,Chapel of the Scali,,,,
dal_ponte:936,ORG,36,45,the Scali,,,,
dal_ponte:936,LOC,49,59,S. Trinita,,,,
dal_ponte:936,LOC,63,71,Florence,,,,
dal_ponte:936,MISC,120,127,stories,,,,
dal_ponte:936,PER,131,138,S. Paul,,,,
dal_ponte:936,LOC,168,174,chapel,,,,
dal_ponte:936,PROD,189,193,tomb,,,,
dal_ponte:936,PER,197,210,Maestro Paolo,,,,
dal_ponte:936,PER,216,226,astrologer,,,,
dal_ponte:936,LOC,231,258,S. Stefano al Ponte Vecchio,,,,
dal_ponte:936,LOC,245,258,Ponte Vecchio,,,,
dal_ponte:936,PROD,272,277,panel,,,,
dal_ponte:936,PROD,290,298,pictures,,,,
dal_ponte:936,TECH,302,311,distemper,,,,
dal_ponte:936,TECH,319,325,fresco,,,,
dal_ponte:936,LOC,350,358,Florence,,,,
