id,type,start_pos,end_pos,surface,wb_id,has_nested,is_nested,named_entity
del_sarto:793,MISC,21,44,Lives of many craftsmen,,,,
del_sarto:793,PROD,78,87,colouring,,,,
del_sarto:793,PROD,97,104,drawing,,,,
del_sarto:793,PER,166,182,Andrea del Sarto,,,,
del_sarto:793,PER,200,206,person,,,,
del_sarto:793,MISC,207,213,nature,,,,
del_sarto:793,MISC,218,221,art,,,,
del_sarto:793,PROD,244,252,painting,,,,
del_sarto:793,MISC,277,292,draughtsmanship,,,,
del_sarto:793,MISC,294,303,colouring,,,,
del_sarto:793,MISC,309,318,invention,,,,
del_sarto:793,PER,338,344,Andrea,,,,
del_sarto:793,MISC,394,400,spirit,,,,
del_sarto:793,PROD,459,462,art,,,,
del_sarto:793,MISC,534,540,spirit,,,,
del_sarto:793,MISC,586,592,nature,,,,
del_sarto:793,PROD,756,764,painting,,,,
del_sarto:793,PER,888,896,painters,,,,
del_sarto:793,PROD,902,909,figures,,,,
del_sarto:793,PER,1074,1082,children,,,,
del_sarto:793,PER,1090,1095,women,,,,
del_sarto:793,PER,1136,1139,men,,,,
del_sarto:793,PROD,1208,1217,draperies,,,,
del_sarto:793,PROD,1253,1258,nudes,,,,
del_sarto:793,PROD,1297,1304,drawing,,,,
del_sarto:793,PER,1363,1369,Andrea,,,,
del_sarto:793,LOC,1382,1390,Florence,,,,
del_sarto:793,PER,1415,1421,father,,,,
del_sarto:793,MISC,1438,1442,life,,,,
del_sarto:793,PER,1445,1451,tailor,,,,
del_sarto:793,PER,1481,1497,Andrea del Sarto,,,,
del_sarto:793,ORG,1591,1597,school,,,,
del_sarto:793,PER,1621,1630,goldsmith,,,,
del_sarto:793,MISC,1633,1638,craft,,,,
del_sarto:896,LOC,35,55,Convent of the Servi,,,,
del_sarto:896,ORG,46,55,the Servi,,,,
del_sarto:896,PROD,69,76,candles,,,,
del_sarto:896,LOC,84,91,counter,,,,
del_sarto:896,PER,95,100,friar,,,,
del_sarto:896,PER,108,141,Fra Mariano dal Canto alla Macine,,,,
del_sarto:896,LOC,124,141,Canto alla Macine,,,,
del_sarto:896,PER,156,165,sacristan,,,,
del_sarto:896,PER,199,205,Andrea,,,,
del_sarto:896,PROD,281,289,painting,,,,
del_sarto:896,PER,384,390,Andrea,,,,
del_sarto:896,PER,721,740,Alesso Baldovinetti,,,,
del_sarto:896,MISC,755,773,Nativity of Christ,,,,
del_sarto:896,PER,767,773,Christ,,,,
del_sarto:896,LOC,787,795,cloister,,,,
del_sarto:896,ORG,799,808,the Servi,,,,
del_sarto:896,PROD,817,821,wall,,,,
del_sarto:896,MISC,835,847,Annunciation,,,,
del_sarto:896,LOC,875,883,cloister,,,,
del_sarto:896,PER,904,919,Cosimo Rosselli,,,,
del_sarto:896,PROD,932,937,scene,,,,
del_sarto:896,PER,941,951,S. Filippo,,,,
del_sarto:896,PER,957,964,founder,,,,
del_sarto:896,ORG,973,986,Servite Order,,,,
del_sarto:896,PROD,1001,1006,habit,,,,
del_sarto:896,PER,1012,1018,Cosimo,,,,
del_sarto:896,PROD,1040,1045,scene,,,,
del_sarto:896,MISC,1069,1074,death,,,,
del_sarto:896,PER,1139,1144,friar,,,,
del_sarto:896,PER,1237,1243,Andrea,,,,
del_sarto:896,PER,1248,1260,Franciabigio,,,,
del_sarto:896,PER,1278,1285,friends,,,,
del_sarto:896,PER,1298,1304,rivals,,,,
del_sarto:896,PROD,1308,1311,art,,,,
del_sarto:896,PROD,1362,1366,work,,,,
del_sarto:896,PER,1504,1510,Andrea,,,,
del_sarto:896,LOC,1629,1634,place,,,,
del_sarto:896,PROD,1679,1683,work,,,,
del_sarto:896,PER,1695,1705,foreigners,,,,
del_sarto:896,PER,1718,1729,Florentines,,,,
del_sarto:896,PER,1930,1942,Franciabigio,,,,
del_sarto:896,PER,2084,2090,Andrea,,,,
del_sarto:896,PROD,2116,2120,work,,,,
del_sarto:896,PER,2149,2152,man,,,,
del_sarto:896,MISC,2163,2169,spirit,,,,
del_sarto:896,PER,2197,2209,Franciabigio,,,,
del_sarto:896,PROD,2342,2346,work,,,,
del_sarto:896,PER,2408,2413,friar,,,,
del_sarto:896,MISC,2514,2518,life,,,,
del_sarto:896,PER,2522,2532,S. Filippo,,,,
del_sarto:896,PER,2620,2626,Andrea,,,,
del_sarto:896,PER,2742,2749,painter,,,,
del_sarto:896,LOC,2787,2794,convent,,,,
