id,type,start_pos,end_pos,surface,coref_id,rel
galasso_ferrarese:801,ENT,5,14,strangers,,
galasso_ferrarese:801,ENT,26,30,work,,
galasso_ferrarese:801,ENT,36,40,city,,
galasso_ferrarese:801,ENT,63,72,craftsmen,,
galasso_ferrarese:801,ENT,109,112,man,,
galasso_ferrarese:801,ENT,183,186,art,,
galasso_ferrarese:801,PRON,201,203,it,,
galasso_ferrarese:801,ENT,266,275,strangers,,
galasso_ferrarese:801,PRON,298,301,his,,
galasso_ferrarese:801,ENT,302,306,city,,
galasso_ferrarese:801,PRON,322,325,her,,
galasso_ferrarese:801,PRON,340,342,he,,
galasso_ferrarese:801,PRON,369,372,his,,
galasso_ferrarese:801,PRON,409,416,himself,,
galasso_ferrarese:801,PRON,445,448,him,,
galasso_ferrarese:801,ENT,477,487,foreigners,,
galasso_ferrarese:801,ENT,523,540,Galasso Ferrarese,,
galasso_ferrarese:801,ENT,554,584,Piero dal Borgo a San Sepolcro,,
galasso_ferrarese:801,ENT,564,584,Borgo a San Sepolcro,,
galasso_ferrarese:801,ENT,601,616,Duke of Ferrara,,
galasso_ferrarese:801,ENT,625,630,works,,
galasso_ferrarese:801,PRON,636,638,he,,
galasso_ferrarese:801,ENT,681,688,Ferrara,,
galasso_ferrarese:801,ENT,740,746,Piero',,
galasso_ferrarese:801,ENT,748,757,departure,,
galasso_ferrarese:801,PRON,769,776,himself,,
galasso_ferrarese:801,ENT,780,788,painting,,
galasso_ferrarese:801,PRON,795,797,he,,
galasso_ferrarese:801,ENT,840,846,master,,
galasso_ferrarese:801,ENT,850,857,Ferrara,,
galasso_ferrarese:801,PRON,873,875,he,,
galasso_ferrarese:801,ENT,919,924,place,,
galasso_ferrarese:801,ENT,944,950,Venice,,
galasso_ferrarese:801,ENT,982,990,painting,,
galasso_ferrarese:801,ENT,994,997,oil,,
galasso_ferrarese:801,PRON,1005,1007,he,,
galasso_ferrarese:801,PRON,1019,1022,his,,
galasso_ferrarese:801,ENT,1030,1035,place,,
galasso_ferrarese:801,PRON,1041,1043,he,,
galasso_ferrarese:801,ENT,1075,1082,figures,,
galasso_ferrarese:801,ENT,1133,1141,churches,,
galasso_ferrarese:801,ENT,1153,1160,Ferrara,,
galasso_ferrarese:801,ENT,1183,1190,Bologna,,
galasso_ferrarese:801,PRON,1200,1202,he,,
galasso_ferrarese:801,ENT,1227,1243,Dominican friars,,
galasso_ferrarese:801,PRON,1245,1247,he,,
galasso_ferrarese:801,ENT,1259,1262,oil,,
galasso_ferrarese:801,ENT,1265,1271,chapel,,
galasso_ferrarese:801,ENT,1275,1286,S. Domenico,,
galasso_ferrarese:801,PRON,1295,1298,his,,
galasso_ferrarese:801,PRON,1329,1332,his,,
galasso_ferrarese:801,PRON,1352,1354,he,,
galasso_ferrarese:801,ENT,1368,1376,pictures,,
galasso_ferrarese:801,ENT,1380,1386,fresco,,
galasso_ferrarese:801,ENT,1390,1408,S. Maria del Monte,,
galasso_ferrarese:801,ENT,1412,1416,seat,,
galasso_ferrarese:801,ENT,1424,1436,Black Friars,,
galasso_ferrarese:801,ENT,1445,1452,Bologna,,
galasso_ferrarese:801,ENT,1465,1484,Porta di S. Mammolo,,
galasso_ferrarese:801,ENT,1500,1506,church,,
galasso_ferrarese:801,ENT,1514,1527,Casa di Mezzo,,
galasso_ferrarese:801,PRON,1571,1574,his,,
galasso_ferrarese:801,ENT,1585,1590,works,,
galasso_ferrarese:801,ENT,1594,1600,fresco,,
galasso_ferrarese:801,PRON,1611,1613,he,,
galasso_ferrarese:801,ENT,1627,1634,stories,,
galasso_ferrarese:801,ENT,1642,1655,Old Testament,,
galasso_ferrarese:801,PRON,1657,1660,His,,
galasso_ferrarese:801,PRON,1698,1700,he,,
galasso_ferrarese:801,PRON,1708,1715,himself,,
galasso_ferrarese:801,PRON,1763,1766,his,,
galasso_ferrarese:801,PRON,1808,1811,his,,
galasso_ferrarese:801,PRON,1833,1835,it,,
galasso_ferrarese:801,PRON,1837,1839,It,,
galasso_ferrarese:801,PRON,1870,1873,his,,
galasso_ferrarese:801,PRON,1902,1905,his,,
galasso_ferrarese:801,PRON,1921,1924,his,,
galasso_ferrarese:801,PRON,1953,1955,he,,
galasso_ferrarese:801,PRON,1961,1963,it,,
galasso_ferrarese:900,ENT,26,31,Cosmè,,
galasso_ferrarese:900,ENT,41,48,Ferrara,,
galasso_ferrarese:900,PRON,59,62,his,,
galasso_ferrarese:900,ENT,94,100,chapel,,
galasso_ferrarese:900,ENT,104,115,S. Domenico,,
galasso_ferrarese:900,ENT,128,132,city,,
galasso_ferrarese:900,ENT,142,155,folding-doors,,
galasso_ferrarese:900,ENT,171,176,organ,,
galasso_ferrarese:900,ENT,184,189,Duomo,,
