id,type,start_pos,end_pos,surface,wb_id,has_nested,is_nested,named_entity
giocondo:808,PER,3,10,writers,,,,
giocondo:808,MISC,14,21,history,,,,
giocondo:808,MISC,108,112,life,,,,
giocondo:808,PER,309,312,man,,,,
giocondo:808,MISC,499,503,Time,,,,
giocondo:808,PER,527,533,father,,,,
giocondo:808,MISC,680,721,Lives of the Painters and other Craftsmen,,,,
giocondo:808,PER,693,701,Painters,,,,
giocondo:808,PER,712,721,Craftsmen,,,,
giocondo:808,PER,800,822,Fra Giocondo of Verona,,,,
giocondo:808,LOC,816,822,Verona,,,,
giocondo:808,PER,826,829,man,,,,
giocondo:808,PER,850,856,master,,,,
giocondo:808,PROD,940,946,record,,,,
giocondo:808,PER,1002,1011,craftsmen,,,,
giocondo:808,LOC,1031,1036,world,,,,
giocondo:808,PER,1082,1089,masters,,,,
giocondo:808,LOC,1093,1099,Verona,,,,
giocondo:808,MISC,1186,1191,image,,,,
giocondo:808,PROD,1245,1254,portraits,,,,
giocondo:808,PER,1465,1477,Fra Giocondo,,,,
giocondo:808,PER,1484,1487,man,,,,
giocondo:808,PROD,1509,1514,habit,,,,
giocondo:808,PER,1518,1528,S. Dominic,,,,
giocondo:808,PER,1552,1564,Fra Giocondo,,,,
giocondo:808,PER,1570,1591,Fra Giovanni Giocondo,,,,
giocondo:808,PER,1606,1614,Giovanni,,,,
giocondo:808,PER,1684,1696,Fra Giocondo,,,,
giocondo:808,PROD,1757,1764,letters,,,,
giocondo:808,PER,1798,1809,philosopher,,,,
giocondo:808,PER,1814,1824,theologian,,,,
giocondo:808,MISC,1848,1853,Greek,,,,
giocondo:808,PER,1854,1861,scholar,,,,
giocondo:808,PROD,1918,1925,letters,,,,
giocondo:808,LOC,1959,1964,Italy,,,,
giocondo:808,PER,2004,2013,architect,,,,
giocondo:808,PER,2023,2026,man,,,,
giocondo:808,PROD,2067,2070,art,,,,
giocondo:808,PER,2075,2083,Scaliger,,,,
giocondo:808,PROD,2099,2106,epistle,,,,
giocondo:808,PER,2115,2121,Cardan,,,,
giocondo:808,PER,2139,2143,Budé,,,,
giocondo:808,PROD,2151,2155,book,,,,
giocondo:808,MISC,2156,2166,"""De Asse,""",,,,
giocondo:808,PROD,2212,2220,Pandects,,,,
giocondo:904,PROD,8,12,work,,,,
giocondo:904,PER,43,55,Fra Giocondo,,,,
giocondo:904,MISC,169,178,Venetians,,,,
giocondo:904,LOC,199,204,world,,,,
giocondo:904,ORG,252,270,Republic of Venice,,,,
giocondo:904,LOC,264,270,Venice,,,,
giocondo:904,LOC,352,359,lagoons,,,,
giocondo:904,LOC,374,378,city,,,,
giocondo:904,MISC,396,403,miracle,,,,
giocondo:904,LOC,440,447,lagoons,,,,
giocondo:904,LOC,463,468,earth,,,,
giocondo:904,LOC,526,530,city,,,,
giocondo:904,LOC,616,622,cities,,,,
giocondo:904,LOC,748,755,lagoons,,,,
giocondo:904,LOC,767,771,site,,,,
giocondo:904,LOC,785,789,city,,,,
giocondo:904,PER,847,859,Fra Giocondo,,,,
giocondo:904,PER,869,876,Signori,,,,
giocondo:904,PER,1193,1205,Fra Giocondo,,,,
giocondo:904,PER,1211,1218,Signori,,,,
giocondo:904,PER,1252,1261,engineers,,,,
giocondo:904,PER,1266,1276,architects,,,,
giocondo:904,LOC,1296,1301,Italy,,,,
giocondo:904,PER,1372,1384,Fra Giocondo,,,,
giocondo:904,LOC,1496,1501,canal,,,,
giocondo:904,LOC,1562,1567,water,,,,
giocondo:904,LOC,1588,1600,River Brenta,,,,
giocondo:904,MISC,1622,1627,water,,,,
giocondo:904,LOC,1671,1678,lagoons,,,,
giocondo:904,LOC,1682,1690,Chioggia,,,,
giocondo:904,LOC,1706,1711,river,,,,
giocondo:904,LOC,1740,1747,lagoons,,,,
giocondo:904,LOC,1751,1757,Venice,,,,
giocondo:904,LOC,1810,1815,earth,,,,
giocondo:904,LOC,1835,1843,Chioggia,,,,
giocondo:904,LOC,1883,1890,lagoons,,,,
giocondo:904,MISC,1939,1944,water,,,,
giocondo:904,LOC,1961,1965,land,,,,
giocondo:904,LOC,1970,1976,villas,,,,
giocondo:904,LOC,2021,2025,city,,,,
giocondo:904,LOC,2029,2035,Venice,,,,
giocondo:904,PER,2073,2080,persons,,,,
giocondo:904,PER,2107,2139,Magnificent Messer Luigi Cornaro,,,,
giocondo:904,PER,2143,2151,Venetian,,,,
giocondo:904,PER,2152,2161,gentleman,,,,
giocondo:904,PER,2269,2281,Fra Giocondo,,,,
giocondo:904,LOC,2325,2332,lagoons,,,,
giocondo:904,LOC,2336,2344,Chioggia,,,,
giocondo:904,LOC,2410,2416,Venice,,,,
giocondo:904,LOC,2471,2475,city,,,,
giocondo:904,PER,2486,2498,Messer Luigi,,,,
giocondo:904,PER,2522,2528,friend,,,,
giocondo:904,PER,2532,2544,Fra Giocondo,,,,
giocondo:904,PER,2582,2585,men,,,,
giocondo:904,GPE,2622,2626,city,,,,
giocondo:904,GPE,2630,2636,Venice,,,,
giocondo:904,PER,2697,2709,Fra Giocondo,,,,
giocondo:904,PER,2779,2786,founder,,,,
giocondo:904,LOC,2790,2796,Venice,,,,
giocondo:904,LOC,2935,2939,city,,,,
giocondo:904,LOC,3161,3167,Venice,,,,
