id,type,start_pos,end_pos,surface,wb_id,has_nested,is_nested,named_entity
giotto:812,PER,31,40,craftsmen,,,,
giotto:812,MISC,44,52,painting,,,,
giotto:812,LOC,60,66,nature,,,,
giotto:812,PROD,94,99,model,,,,
giotto:812,PER,263,269,Giotto,,,,
giotto:812,PER,271,278,painter,,,,
giotto:812,LOC,282,290,Florence,,,,
giotto:812,PROD,339,348,paintings,,,,
giotto:812,LOC,412,417,ruins,,,,
giotto:812,EVE,425,429,wars,,,,
giotto:812,PER,467,476,craftsmen,,,,
giotto:812,PER,493,496,God,,,,
giotto:812,MISC,510,513,art,,,,
giotto:812,MISC,635,642,miracle,,,,
giotto:812,PER,711,717,Giotto,,,,
giotto:812,PROD,749,755,design,,,,
giotto:812,PER,769,772,men,,,,
giotto:812,MISC,843,847,life,,,,
giotto:812,PER,884,887,man,,,,
giotto:812,LOC,904,911,village,,,,
giotto:812,LOC,915,925,Vespignano,,,,
giotto:812,LOC,934,942,district,,,,
giotto:812,LOC,946,954,Florence,,,,
giotto:812,LOC,989,993,city,,,,
giotto:812,PER,1020,1026,father,,,,
giotto:812,PER,1033,1040,Bondone,,,,
giotto:812,PER,1044,1050,tiller,,,,
giotto:812,LOC,1058,1062,soil,,,,
giotto:812,PER,1076,1082,fellow,,,,
giotto:812,PER,1104,1107,son,,,,
giotto:812,PER,1134,1140,Giotto,,,,
giotto:812,PER,1385,1391,father,,,,
giotto:812,LOC,1440,1447,village,,,,
giotto:812,PER,1464,1471,Bondone,,,,
giotto:812,ANIM,1482,1487,sheep,,,,
giotto:812,MISC,1634,1637,art,,,,
giotto:812,PROD,1641,1647,design,,,,
giotto:812,MAT,1674,1680,stones,,,,
giotto:812,MAT,1689,1695,ground,,,,
giotto:812,MAT,1703,1707,sand,,,,
giotto:812,LOC,1724,1730,nature,,,,
giotto:812,PER,1789,1796,Cimabue,,,,
giotto:812,LOC,1845,1853,Florence,,,,
giotto:812,LOC,1857,1867,Vespignano,,,,
giotto:812,PER,1875,1881,Giotto,,,,
giotto:812,ANIM,1893,1898,sheep,,,,
giotto:812,ANIM,1927,1932,sheep,,,,
giotto:812,MISC,1938,1944,nature,,,,
giotto:812,PROD,1968,1972,slab,,,,
giotto:812,MAT,1981,1986,stone,,,,
giotto:812,MISC,2031,2037,method,,,,
giotto:812,MISC,2079,2085,nature,,,,
giotto:812,PER,2094,2101,Cimabue,,,,
giotto:812,PER,2185,2190,child,,,,
giotto:812,PER,2210,2216,father,,,,
giotto:906,PER,30,57,Guido Tarlati da Pietramala,,,,
giotto:906,LOC,47,57,Pietramala,,,,
giotto:906,PER,59,65,Bishop,,,,
giotto:906,PER,70,74,Lord,,,,
giotto:906,LOC,78,84,Arezzo,,,,
giotto:906,LOC,94,110,Massa di Maremma,,,,
giotto:906,LOC,129,134,Lucca,,,,
giotto:906,PER,167,174,Emperor,,,,
giotto:906,LOC,215,221,Arezzo,,,,
giotto:906,PER,284,297,Piero Saccone,,,,
giotto:906,PER,302,321,Dolfo da Pietramala,,,,
giotto:906,LOC,311,321,Pietramala,,,,
giotto:906,PER,327,334,brother,,,,
giotto:906,PER,342,348,Bishop,,,,
giotto:906,LOC,397,401,tomb,,,,
giotto:906,MAT,405,411,marble,,,,
giotto:906,PER,452,455,man,,,,
