id,start_pos,end_pos,surface,wb_id,type,matched,match_type,kb-surface
1,35,46,Mercatanzia,Q3998632,LOC,False,,
1,50,58,Fiorenza,Q2044,LOC,True,plain,
1,64,72,Fortezza,Q605035,MISC,True,plain,
1,80,86,tavole,Q55439,MISC,True,plain,
1,93,98,Virtù,Q904802,MISC,True,plain,
1,103,110,Antonio,Q318640,PER,True,plain,
1,113,133,Piero del Pollaiuolo,Q707046,PER,True,plain,
1,17,27,giovanetto,Q3010,PER,False,,
2,3,13,Ogni Santi,Q2778991,LOC,False,,
2,35,43,tramezzo,Q2705982,MISC,True,plain,
2,49,54,porta,Q36794,MISC,True,plain,
2,65,69,coro,Q207707,MISC,True,plain,
2,77,85,Vespucci,Q4010390,PER,True,plain,
2,90,104,Santo Agostino,Q8018,PER,True,normalized,Sant'Agostino
2,171,176,tempo,Q11471,MISC,True,plain,
2,215,220,opera,Q838948,MISC,True,plain,
2,272,277,testa,Q23640,MISC,True,plain,
2,286,291,santo,Q8018,PER,False,,
2,309,320,cogitazione,Q108458,MISC,False,,
2,335,347,sottigliezza,Q49396791,MISC,True,plain,
2,372,379,persone,Q5,MISC,True,normalized,persona
2,420,434,investigazione,Q21004260,MISC,False,,
2,438,442,cose,Q26256810,MISC,False,,
3,18,33,Lorenzo Vecchio,Q932292,PER,True,normalized,Lorenzo il Vecchio
3,48,52,cose,Q35120,MISC,False,,
3,3,14,casa Medici,Q911047,LOC,False,,
3,73,80,Pallade,Q457294,MISC,True,plain,
3,99,107,bronconi,Q2923673,MISC,False,,
3,122,127,fuoco,Q3196,MISC,True,plain,
3,182,195,S. Sebastiano,Q183332,PER,True,plain,
3,199,218,Santa Maria Maggior,Q849356,LOC,True,normalized,Santa Maria Maggiore
3,222,230,Fiorenza,Q2044,LOC,True,plain,
4,14,20,Sandro,Q5669,PER,False,,
4,41,50,tavoletta,Q55439,MISC,False,,
4,31,36,tempo,Q11471,MISC,True,plain,
4,63,69,figure,Q29527347,MISC,True,plain,
4,123,142,Santa Maria Novella,Q51175,LOC,True,plain,
4,154,159,porte,Q36794,MISC,True,plain,
4,167,175,facciata,Q183061,MISC,True,plain,
4,193,199,chiesa,Q16970,LOC,True,plain,
4,222,227,porta,Q36794,MISC,True,plain,
4,268,287,Adorazione de' Magi,Q488841,MISC,True,normalized,Adorazione dei Magi
4,326,333,vecchio,Q191089,MISC,True,plain,
4,351,356,piede,Q15807,MISC,True,plain,
4,232,237,mezzo,Q23595,MISC,False,,
4,308,315,affetto,Q159904,MISC,True,plain,
4,360,374,Nostro Signore,Q302,MISC,True,normalized,Signore
4,393,402,tenerezza,Q19816620,MISC,True,plain,
4,443,447,fine,Q12769393,MISC,True,plain,
4,468,475,viaggio,Q61509,MISC,True,plain,
4,87,94,braccio,Q280164,MISC,True,plain,
5,14,19,Piero,Q280851,PER,True,plain,
5,24,30,tavola,Q55439,MISC,True,plain,
5,114,119,veste,Q11460,MISC,True,plain,
5,126,135,guanciale,Q99895,MISC,True,plain,
5,216,221,terra,Q21152267,MISC,False,,
5,228,232,dado,Q284053,MISC,True,plain,
