id,type,start_pos,end_pos,surface,coref_id,rel
palma:840,ENT,72,77,works,,
palma:840,ENT,106,109,man,,
palma:840,ENT,117,120,art,,
palma:840,PRON,126,128,he,,
palma:840,ENT,180,189,craftsmen,,
palma:840,ENT,194,200,judges,,
palma:840,ENT,204,207,art,,
palma:840,PRON,228,232,them,,
palma:840,ENT,238,245,writers,,
palma:840,PRON,273,277,them,,
palma:840,ENT,304,313,craftsman,,
palma:840,PRON,327,331,them,,
palma:840,PRON,341,343,we,,
palma:840,ENT,372,380,Venetian,,
palma:840,ENT,381,386,Palma,,
palma:840,ENT,393,399,master,,
palma:840,PRON,527,534,himself,,
palma:840,ENT,566,569,art,,
palma:840,PRON,600,603,his,,
palma:840,ENT,604,609,works,,
palma:840,PRON,646,650,them,,
palma:840,PRON,660,664,they,,
palma:840,ENT,727,730,men,,
palma:840,ENT,732,737,Palma,,
palma:840,PRON,767,770,his,,
palma:840,ENT,837,843,design,,
palma:840,PRON,849,851,he,,
palma:840,ENT,924,930,Venice,,
palma:840,ENT,941,949,pictures,,
palma:840,ENT,954,963,portraits,,
palma:840,PRON,969,971,he,,
palma:840,ENT,993,1002,gentlemen,,
palma:840,PRON,1017,1018,I,,
palma:840,PRON,1049,1050,I,,
palma:840,PRON,1070,1076,myself,,
palma:840,ENT,1105,1117,altar-pieces,,
palma:840,ENT,1127,1131,head,,
palma:840,PRON,1137,1138,I,,
palma:840,ENT,1192,1204,altar-pieces,,
palma:840,ENT,1220,1230,S. Antonio,,
palma:840,ENT,1237,1245,Castello,,
palma:840,ENT,1250,1256,Venice,,
palma:840,ENT,1274,1282,S. Elena,,
palma:840,ENT,1293,1297,Lido,,
palma:840,ENT,1309,1331,Monks of Monte Oliveto,,
palma:840,ENT,1318,1331,Monte Oliveto,,
palma:840,ENT,1343,1352,monastery,,
palma:840,ENT,1385,1395,high-altar,,
palma:840,ENT,1404,1410,church,,
palma:840,PRON,1412,1414,he,,
palma:840,ENT,1427,1431,Magi,,
palma:840,ENT,1462,1468,Christ,,
palma:840,ENT,1492,1499,figures,,
palma:840,ENT,1568,1577,draperies,,
palma:840,ENT,1637,1644,figures,,
palma:922,ENT,25,32,Romagna,,
palma:922,ENT,60,67,painter,,
palma:922,ENT,68,78,Rondinello,,
palma:922,PRON,88,90,we,,
palma:922,ENT,123,147,Life of Giovanni Bellini,,
palma:922,ENT,131,147,Giovanni Bellini,,
palma:922,PRON,164,166,he,,
palma:922,PRON,182,185,him,,
palma:922,PRON,194,197,his,,
palma:922,ENT,198,203,works,,
palma:922,ENT,210,220,Rondinello,,
palma:922,ENT,236,252,Giovanni Bellini,,
palma:922,ENT,270,273,art,,
palma:922,PRON,318,320,he,,
palma:922,ENT,335,340,works,,
palma:922,PRON,368,370,we,,
palma:922,ENT,391,404,panel-picture,,
palma:922,ENT,412,422,high-altar,,
palma:922,ENT,430,435,Duomo,,
palma:922,ENT,439,444,Forlì,,
palma:922,ENT,454,460,Christ,,
palma:922,ENT,472,481,Communion,,
palma:922,ENT,489,497,Apostles,,
palma:922,PRON,505,507,he,,
palma:922,PRON,527,530,his,,
palma:922,PRON,551,553,it,,
palma:922,ENT,572,579,lunette,,
palma:922,ENT,591,598,picture,,
palma:922,PRON,599,601,he,,
palma:922,ENT,612,623,Dead Christ,,
palma:922,ENT,617,623,Christ,,
palma:922,ENT,636,644,predella,,
palma:922,ENT,650,656,scenes,,
palma:922,ENT,669,676,figures,,
palma:922,ENT,737,746,S. Helena,,
palma:922,ENT,752,758,mother,,
palma:922,ENT,766,785,Emperor Constantine,,
palma:922,ENT,809,814,Cross,,
palma:922,PRON,816,818,He,,
palma:922,ENT,841,847,figure,,
palma:922,ENT,851,863,S. Sebastian,,
palma:922,ENT,895,902,picture,,
palma:922,ENT,915,921,church,,
palma:922,ENT,931,936,altar,,
palma:922,ENT,940,958,S. Maria Maddalena,,
palma:922,ENT,967,983,Duomo of Ravenna,,
palma:922,ENT,976,983,Ravenna,,
palma:922,PRON,985,987,he,,
palma:922,ENT,998,1011,panel-picture,,
palma:922,ENT,1015,1019,oils,,
palma:922,ENT,1042,1048,figure,,
palma:922,ENT,1057,1062,Saint,,
palma:922,ENT,1085,1093,predella,,
palma:922,PRON,1095,1097,he,,
palma:922,ENT,1113,1119,scenes,,
palma:922,ENT,1146,1153,figures,,
palma:922,ENT,1165,1171,Christ,,
palma:922,ENT,1185,1199,Mary Magdalene,,
palma:922,ENT,1217,1225,gardener,,
palma:922,ENT,1238,1246,S. Peter,,
palma:922,ENT,1259,1263,ship,,
palma:922,ENT,1299,1305,Christ,,
palma:922,ENT,1328,1351,Baptism of Jesus Christ,,
palma:922,ENT,1339,1351,Jesus Christ,,
palma:922,ENT,1385,1408,S. Giovanni Evangelista,,
palma:922,ENT,1422,1426,city,,
palma:922,PRON,1428,1430,he,,
palma:922,ENT,1443,1457,panel-pictures,,
palma:922,ENT,1473,1478,Saint,,
palma:922,ENT,1496,1502,church,,
palma:922,ENT,1527,1534,martyrs,,
palma:922,ENT,1536,1546,S. Cantius,,
palma:922,ENT,1548,1560,S. Cantianus,,
palma:922,ENT,1566,1580,S. Cantianilla,,
palma:922,ENT,1582,1589,figures,,
palma:922,ENT,1610,1623,S. Apollinare,,
palma:922,ENT,1638,1642,city,,
palma:922,ENT,1652,1660,pictures,,
palma:922,ENT,1698,1704,figure,,
palma:922,ENT,1706,1725,S. John the Baptist,,
palma:922,ENT,1731,1743,S. Sebastian,,
palma:922,ENT,1756,1783,Church of the Spirito Santo,,
palma:922,ENT,1770,1783,Spirito Santo,,
palma:922,ENT,1795,1800,panel,,
palma:922,PRON,1814,1817,his,,
palma:922,ENT,1839,1846,Madonna,,
palma:922,ENT,1866,1892,Virgin Martyr S. Catharine,,
palma:922,ENT,1897,1906,S. Jerome,,
palma:922,ENT,1912,1924,S. Francesco,,
palma:922,PRON,1936,1938,he,,
palma:922,ENT,1951,1965,panel-pictures,,
palma:922,ENT,1974,1986,S. Catharine,,
palma:922,ENT,1991,2001,S. Francis,,
palma:922,ENT,2020,2028,Our Lady,,
palma:922,ENT,2034,2054,S. James the Apostle,,
palma:922,ENT,2056,2066,S. Francis,,
palma:922,ENT,2077,2084,figures,,
palma:922,ENT,2090,2101,S. Domenico,,
palma:922,PRON,2119,2121,he,,
palma:922,ENT,2141,2147,panels,,
palma:922,ENT,2178,2185,Madonna,,
palma:922,ENT,2195,2202,figures,,
palma:922,ENT,2231,2241,high-altar,,
palma:922,ENT,2260,2264,work,,
palma:922,ENT,2294,2298,wall,,
palma:922,ENT,2306,2312,church,,
palma:922,ENT,2326,2346,Church of S. Niccolò,,
palma:922,ENT,2336,2346,S. Niccolò,,
palma:922,ENT,2350,2357,convent,,
palma:922,ENT,2361,2383,Friars of S. Augustine,,
palma:922,ENT,2371,2383,S. Augustine,,
palma:922,PRON,2385,2387,he,,
palma:922,ENT,2404,2409,panel,,
palma:922,ENT,2415,2426,S. Laurence,,
palma:922,ENT,2431,2441,S. Francis,,
palma:922,PRON,2455,2457,he,,
palma:922,ENT,2482,2487,works,,
palma:922,PRON,2501,2504,his,,
palma:922,PRON,2514,2516,he,,
palma:922,ENT,2556,2563,Ravenna,,
palma:922,ENT,2583,2590,Romagna,,
palma:922,ENT,2592,2602,Rondinello,,
palma:922,ENT,2648,2660,S. Francesco,,
palma:922,ENT,2664,2671,Ravenna,,
