id,type,start_pos,end_pos,surface,wb_id,has_nested,is_nested,named_entity
palma:840,PROD,72,77,works,,,,
palma:840,PER,106,109,man,,,,
palma:840,MISC,117,120,art,,,,
palma:840,PER,180,189,craftsmen,,,,
palma:840,PER,194,200,judges,,,,
palma:840,MISC,204,207,art,,,,
palma:840,PER,238,245,writers,,,,
palma:840,PER,304,313,craftsman,,,,
palma:840,MISC,372,380,Venetian,,,,
palma:840,PER,381,386,Palma,,,,
palma:840,PER,393,399,master,,,,
palma:840,MISC,566,569,art,,,,
palma:840,PROD,604,609,works,,,,
palma:840,PER,727,730,men,,,,
palma:840,PER,732,737,Palma,,,,
palma:840,MISC,837,843,design,,,,
palma:840,LOC,924,930,Venice,,,,
palma:840,PROD,941,949,pictures,,,,
palma:840,PROD,954,963,portraits,,,,
palma:840,PER,993,1002,gentlemen,,,,
palma:840,PROD,1105,1117,altar-pieces,,,,
palma:840,PROD,1127,1131,head,,,,
palma:840,PROD,1192,1204,altar-pieces,,,,
palma:840,LOC,1220,1230,S. Antonio,,,,
palma:840,LOC,1237,1245,Castello,,,,
palma:840,LOC,1250,1256,Venice,,,,
palma:840,LOC,1274,1282,S. Elena,,,,
palma:840,LOC,1293,1297,Lido,,,,
palma:840,ORG,1309,1331,Monks of Monte Oliveto,,,,
palma:840,LOC,1318,1331,Monte Oliveto,,,,
palma:840,LOC,1343,1352,monastery,,,,
palma:840,PROD,1385,1395,high-altar,,,,
palma:840,LOC,1404,1410,church,,,,
palma:840,PER,1427,1431,Magi,,,,
palma:840,PER,1462,1468,Christ,,,,
palma:840,MISC,1492,1499,figures,,,,
palma:840,PROD,1568,1577,draperies,,,,
palma:840,MISC,1637,1644,figures,,,,
palma:922,LOC,25,32,Romagna,,,,
palma:922,PER,60,67,painter,,,,
palma:922,PER,68,78,Rondinello,,,,
palma:922,MISC,123,147,Life of Giovanni Bellini,,,,
palma:922,PER,131,147,Giovanni Bellini,,,,
palma:922,PROD,198,203,works,,,,
