id,type,start_pos,end_pos,surface,coref_id,rel
raf_da_urbino:848,ENT,25,31,Heaven,,
raf_da_urbino:848,PRON,48,54,itself,,
raf_da_urbino:848,ENT,84,90,person,,
raf_da_urbino:848,PRON,114,117,its,,
raf_da_urbino:848,ENT,161,166,gifts,,
raf_da_urbino:848,PRON,172,174,it,,
raf_da_urbino:848,ENT,208,219,individuals,,
raf_da_urbino:848,ENT,309,335,Raffaello Sanzio da Urbino,,
raf_da_urbino:848,ENT,329,335,Urbino,,
raf_da_urbino:848,ENT,356,362,nature,,
raf_da_urbino:848,ENT,453,456,men,,
raf_da_urbino:848,PRON,577,581,they,,
raf_da_urbino:848,PRON,594,604,themselves,,
raf_da_urbino:848,ENT,645,651,person,,
raf_da_urbino:848,PRON,663,668,their,,
raf_da_urbino:848,PRON,678,681,Him,,
raf_da_urbino:848,ENT,682,688,nature,,
raf_da_urbino:848,ENT,706,711,world,,
raf_da_urbino:848,ENT,758,781,Michelagnolo Buonarroti,,
raf_da_urbino:848,PRON,783,786,she,,
raf_da_urbino:848,ENT,815,824,Raffaello,,
raf_da_urbino:848,ENT,901,910,craftsmen,,
raf_da_urbino:848,ENT,959,965,nature,,
raf_da_urbino:848,PRON,1071,1073,it,,
raf_da_urbino:848,PRON,1118,1122,them,,
raf_da_urbino:848,ENT,1220,1223,men,,
raf_da_urbino:848,PRON,1266,1269,her,,
raf_da_urbino:848,ENT,1307,1316,Raffaello,,
raf_da_urbino:848,PRON,1547,1549,it,,
raf_da_urbino:848,PRON,1575,1577,it,,
raf_da_urbino:848,ENT,1679,1698,Raffaello da Urbino,,
raf_da_urbino:848,ENT,1692,1698,Urbino,,
raf_da_urbino:848,ENT,1715,1718,men,,
raf_da_urbino:848,PRON,1728,1730,it,,
raf_da_urbino:848,PRON,1751,1753,it,,
raf_da_urbino:848,ENT,1762,1766,gods,,
raf_da_urbino:848,ENT,1807,1812,works,,
raf_da_urbino:848,ENT,1887,1892,world,,
raf_da_urbino:848,PRON,1896,1900,ours,,
raf_da_urbino:848,ENT,1936,1942,Heaven,,
raf_da_urbino:848,ENT,1989,1998,Raffaello,,
raf_da_urbino:848,ENT,2011,2017,Urbino,,
raf_da_urbino:848,ENT,2033,2037,city,,
