id,type,start_pos,end_pos,surface,beginDate,end_date,value
agnolo:879,temponym,2254,2272,Pope Clement dying,,,
agnolo_and_agostino:881,absolute,359,375,in the year 1190,,,
agnolo_and_agostino:881,relative,474,495,in the following year,,,
agnolo_and_agostino:881,absolute,1055,1071,in the year 1284,,,
agnolo_and_agostino:882,absolute,787,803,in the year 1308,,,
agnolo_and_agostino:882,temponym,896,923,after the death of Giovanni,,,
agnolo_and_agostino:882,absolute,1012,1028,in the year 1317,,,
agnolo_and_agostino:882,absolute,1124,1140,in the year 1321,,,
agnolo_and_agostino:882,absolute,1289,1305,in the year 1326,,,
agnolo_and_agostino:882,relative,1445,1461,In the same year,,,
baccio:885,temponym,0,135,In the days when the arts of design flourished in Florence by the favour and assistance of the elder Lorenzo de' Medici the Magnificent,,,
baccio:885,absolute,1418,1434,in the year 1494,,,
baccio:885,absolute,1656,1672,In the year 1487,,,
brunelleschi:898,absolute,703,719,in the year 1398,,,
bugiardini:887,temponym,0,28,Before the siege of Florence,,,
bugiardini:887,absolute,588,607,until the year 1529,,,
bugiardini:887,temponym,1970,2033,at the time when he was painting the chapel in S. Maria Novella,,,
calavrese:890,temponym,689,762,"when the strife of  parties arose at Ascoli, in the time of Pope Paul III",,,
calavrese:890,temponym,1296,1339,After the death of this extraordinary woman,,,
craftsmen:894,temponym,620,657,from Pope Paul III to the present day,,,
dal_ponte:816,absolute,1310,1326,in the year 1307,,,
dal_ponte:816,absolute,1585,1598,the year 1344,,,
dal_ponte:816,temponym,2538,2630,at the time when there was finished the closing of the middle arch of the Ponte a S. Trinita,,,
dal_ponte:816,absolute,2851,2864,the year 1557,,,
dal_ponte:816,absolute,3042,3058,in the year 1355,,,
del_sarto:793,absolute,1392,1408,in the year 1478,,,
giotto:812,absolute,995,1011,in the year 1276,,,
giotto:906,absolute,12,28,in the year 1327,,,
giotto:906,pres_ref,2221,2227,to-day,,,
indaco:912,temponym,1152,1209,at the time when the Emperor Charles V was expected there,,,
lba:914,pres_ref,2830,2836,to-day,,,
michelagnolo:832,absolute,2314,2330,in the year 1474,,,
michelagnolo:832,relative,2573,2585,in that year,,,
michelagnolo:832,absolute,2743,2772,"on the 6th of March, a Sunday",,,
michelagnolo:916,absolute,134,150,in the year 1503,,,
nanni:918,absolute,793,809,in the year 1430,,,
parri:924,absolute,376,392,in the year 1422,,,
parri:924,absolute,1032,1057,on the second day of June,,,
parri:924,relative,2380,2389,yesterday,,,
raffaello:848,holyday,2078,2110,"on Good Friday, in the year 1483",,,
sanmichele:856,absolute,47,60,the year 1484,,,
sanmichele:930,pres_ref,661,674,our own times,,,
sanmichele:930,pres_ref,959,977,at the present day,,,
tiziano:860,absolute,118,134,in the year 1480,,,
tiziano:860,absolute,993,1006,the year 1507,,,
tiziano:932,absolute,1256,1272,in the year 1507,,,
verrocchio:884,temponym,376,397,in the time of Andrea,,,
verrocchio:884,temponym,673,705,the death of Giuliano de' Medici,,,
verrocchio:884,pres_ref,2961,2973,our own time,,,
zuccari:864,temponym,0,36,Francesco Maria being Duke of Urbino,,,
zuccari:864,absolute,116,156,on the 1st of September in the year 1529,,,
zuccari:934,temponym,259,286,in the time of Pope Paul IV,,,
