id,start_pos,end_pos,surface,iconclass_ID
593,605,Duke Lorenzo,44B114(DUKE) : 61B2(MEDICI, Lorenzo di Piero de')
610,623,Duke Giuliano,44B114(DUKE) : 61B2(MEDICI, Giuliano di Lorenzo de')
980,989,S. Cosimo,11H(COSIMO),
996,1006,S. Damiano,11H(DAMIANO),
1049,1056,Madonna,11F,
1084,1094,S. Damiano,11H(DAMIANO),
1154,1163,S. Cosimo,11H(COSIMO),
2038,2051,Duke Giuliano,44B114(DUKE) : 61B2(MEDICI, Giuliano de')
2056,2068,Duke Lorenzo,44B114(DUKE) : 61B2(MEDICI, Lorenzo di Piero de')
1733,1752,M. Raffaello Maffei,61B2(MAFFEI, Raffaele)1(+35)
agnolo_and_agostino:882,1859,1867,prophets,11I1
baccio:886,601,606,David,11I62(DAVID)
baccio:886,1157,1177,Nativity of Our Lady,73A31
brunelleschi:898,1901,1909,prophets,11I1
bugiardini:888,139,147,Pope Leo,11P3111 : 61B2(LEO X)
bugiardini:888,149,175,Cardinal Giulio de' Medici,"11P3112 : 61B2(MEDICI, Giulio di Giuliano de')"
bugiardini:888,181,199,Cardinal de' Rossi,"11P3112 : 61B2(ROSSI, Luigi de')"
bugiardini:888,217,235,Cardinal de' Rossi,"11P3112 : 61B2(ROSSI, Luigi de')"
bugiardini:888,259,272,Cardinal Cibo,"1B2(CYBO, Innocenzo)"
bugiardini:888,430,445,Cencio Guasconi,"61B2(Guasconi, Cencio)"
calavrese:889,1756,1796,S. Augustine disputing with the heretics,11H(AUGUSTINE)/49C4
calavrese:889,1803,1831,stories of Christ and Saints,11D334/11H
cosimo:892,258,456,"Our Lady standing, raised from the ground on a pedestal, and uplifting her head towards Heaven, with a book in her hand, but without her Son; and above her is the Holy Spirit, bathing her with light",73A521/11E4
cosimo:892,583,594,S. Margaret,11HH(MARGARET)
cosimo:892,601,613,S. Catherine,11HH(CATHERINE)
cosimo:892,658,666,S. Peter,11H(PETER)
cosimo:892,671,693,S. John the Evangelist,11H(JOHN THE EVANGELIST)
cosimo:892,741,751,S. Filippo,11H(FILIPPO BENIZI)
cosimo:892,776,787,S. Antonino,11H(ANTONINO)
cosimo:892,1273,1321,S. Margaret issuing from the belly of the Dragon,11HH(MARGARET)52
craftsmen:653,636,644,S. Peter,11H(PETER)
craftsmen:653,646,656,S. Stephen,11H(STEPHEN)
craftsmen:653,662,681,S. John the Baptist,11H(JOHN THE BAPTIST)
craftsmen:653,696,704,children,
craftsmen:653,838,849,Dead Christ,73D72
craftsmen:653,851,859,Our Lady,11F
craftsmen:653,861,868,S. John,11H(JOHN THE BAPTIST)
craftsmen:653,870,883,the Magdalene,11HH(MARY MAGDALENE)
craftsmen:653,1119,1143,Nativity of Jesus Christ,73B13
craftsmen:653,1149,1170,Adoration of the Magi,73B57
craftsmen:653,1176,1193,Flight into Egypt,73B64
craftsmen:653,1203,1228,Massacre of the Innocents,73B63
craftsmen:653,1616,1660,Descent of the Holy Spirit upon the Apostles,73E5
craftsmen:653,1913,1943,scenes of the Life of Our Lady,73A(MARY)
craftsmen:653,2044,2113,"Christ on the Cross with some Angels about Him, Our Lady, and S. John",73D6411
craftsmen:653,2233,2253,S. James the Apostle,11H(JAMES)
craftsmen:653,2258,2279,S. Alfonso the Bishop,11P3113 : 61B2(ALPHONS)
craftsmen:894,1429,1440,Dead Christ,73D72
craftsmen:894,1595,1612,first-named Saint,11H(LUIGI)
craftsmen:894,2437,2458,Signora Livia Colonna,"61B2(COLONNA, Livia)"
dal_ponte:816,1507,1525,life of that Saint,11H(LAURENCE)
dal_ponte:816,1688,1710,Assumption of Our Lady,73E77
dal_ponte:816,1895,1905,S. Antonio,11H(ANTHONY)
dal_ponte:936,120,138,stories of S. Paul,11H(PAUL)
del_sarto:896,755,773,Nativity of Christ,73B13
del_sarto:896,835,847,Annunciation,73A5
del_sarto:896,932,1006,"scene of S. Filippo, the founder of that Servite Order, assuming the habit",11H(PHILIP BENIZZI)34
del_sarto:896,2514,2532,life of S. Filippo,11H(PHILIP BENIZZI)
galasso:801,1627,1655,stories of the Old Testament,71
giotto:906,2045,2053,Crucifix,73D66
2192,2217,Triumph of Paulus Emilius,98B(PAULUS, L.A.)51
235,249,life of Joseph,71D,
355,379,story of the same Joseph,71D,
513,542,Joseph ministering to Pharaoh,71D155,
688,732,God the Father supporting a Christ Crucified,11B323,
799,897,"Assumption by his hand, with many Angels and a S. Thomas, to whom the Madonna is giving the Girdle",73E772,
1216,1223,S. Paul,11H(PAUL),
1225,1236,S. Laurence,11H(LAURENCE),
1238,1246,S. James,11H(JAMES),
1252,1259,S. John,11H(JOHN),
indaco:824,1219,1253,Apostles receiving the Holy Spirit,73E5
indaco:824,1285,1302,stories of Christ,73B/73C/73D
indaco:824,1310,1353,His taking Peter and Andrew from their nets,73C7112
indaco:824,1372,1408,the Feast of Simon and the Magdalene,73C7262
indaco:824,1547,1558,Dead Christ,73D72
indaco:912,639,733,"Annunciation, and a God the Father in Heaven surrounded by many angels in the form of children",73E79(+3)
michelagnolo:916,43,48,Pietà,73D7221
michelagnolo:916,71,76,Giant,31A421
nanni:836,697,706,S. Philip,11H(PHILIP)
nanni:918,28,33,S. Lo,11H(ELOI)
nanni:918,257,304,"S. Lo, the Farrier, is shoeing a frenzied horse",11H(ELOI)52
palma:840,1423,1468,the Magi presenting their offerings to Christ,73B57
palma:922,454,497,Christ giving the Communion to the Apostles,73D245
palma:922,737,814,"S. Helena, the mother of the Emperor Constantine, in the finding of the Cross",11HH(HELENA)
palma:922,851,863,S. Sebastian,11H(SEBASTIAN)
palma:922,1052,1062,that Saint,11HH(MARY MAGDALENE)
palma:922,1165,1225,Christ appearing to Mary Magdalene in the form of a gardener,73E31
palma:922,1238,1305,S. Peter leaving the ship and walking over the water towards Christ,73C323
palma:922,1328,1351,Baptism of Jesus Christ,73C121
palma:922,1468,1478,that Saint,11H(JOHN)
palma:922,1521,1580,"three martyrs, S. Cantius, S. Cantianus, and S. Cantianilla",11H(CANTIUS)/11H(CANTIANUS)/11HH(CANTIANILLA)
palma:922,1706,1725,S. John the Baptist,11H(JOHN THE BAPTIST)
palma:922,1731,1743,S. Sebastian,11H(SEBASTIAN)
palma:922,1839,1906,Madonna placed between the Virgin Martyr S. Catharine and S. Jerome,11F61/11HH(CATHERINE)/11H(JEROME)
palma:922,1974,1986,S. Catharine,11HH(CATHERINE)
palma:922,1991,2001,S. Francis,11H(FRANCIS)
palma:922,2020,2054,Our Lady with S. James the Apostle,11F61/11H(JAMES)
palma:922,2056,2066,S. Francis,11H(FRANCIS)
palma:922,2178,2202,Madonna and many figures,
palma:922,2415,2426,S. Laurence,
palma:922,2431,2441,S. Francis,
parri:924,94,147,Madonna who has under her mantle the people of Arezzo,11F235
parri:924,293,300,Braccio,61B2(BRACCIO)
parri:924,578,597,S. Gregory the Pope,11P3111 : 61B2(GREGORIO I)
parri:924,616,626,S. Donatus,11H(DONATUS)
parri:924,822,935,"Madonna with the Child in her arms, with some angels who are opening her mantle, beneath which is the said people",11F235
parri:924,941,955, S. Laurentino,11H(LAURENTINUS)
parri:924,960,973,S. Pergentino,11H(PARGENTINUS)
parri:924,1862,1874,Annunciation,73A5
parri:924,2011,2023,S. Catherine,11HH(CATHERINE)
parri:924,2128,2145,S. Mary Magdalene,11HH(MAGDALENE)
parri:924,2449,2493,his throwing the golden balls to the maidens,11H(NICHOLAS)41
parri:924,2503,2603,"delivering two from death, while the executioner is seen apparelled and ready to cut off their heads",11H(NICHOLAS)54
raffaello:926,421,470,"a S. Cecilia, who, entranced by a choir of angels",11HH(CECILIA)37(+3)
raffaello:926,690,709,musical instruments,48C73
raffaello:926,923,1014,"S. Paul, who has the right arm leaning on his naked sword, and the head resting on the hand",11H(PAUL)
raffaello:926,1297,1314,S. Mary Magdalene,11HH(MAGDALENE)
raffaello:926,1602,1613,S. Augustin,11H(AUGUSTIN)
raffaello:926,1619,1641,S. John the Evangelist,11H(JOHN)
ridolfo:852,1611,1621,S. Stephen,
ridolfo:852,1625,1650,disputation of that Saint,
ridolfo:852,1737,1772,"S. Antonino, Archbishop of Florence",
ridolfo:852,1778,1799,S. Catharine of Siena,
ridolfo:852,1838,1846,S. Lucia,
ridolfo:852,1870,1894,with the head of a friar,
ridolfo:928,888,1006,"Christ and Our Lady in the air, who are praying to God the Father for the people below, where some Saints are kneeling",
ridolfo:928,1109,1137,Dead Christ with the  Maries,
ridolfo:928,1160,1200,"Assumption of Our Lady, with some Saints",
ridolfo:928,1402,1426,Our Lady and some Saints,
ridolfo:928,1544,1584,"Our Lady, S. Anne, and many other Saints",
ridolfo:928,1631,1663,Beheading of S. John the Baptist,
ridolfo:928,1968,2004,"Our Lady, S. Sebastian, and S. James",
ridolfo:928,2101,2108,S. Anne,
tiziano:932,387,412,Our Lady going into Egypt,
tiziano:932,981,990,Ecce Homo,
tiziano:932,1124,1189,"Our Lady with other figures the size of life, of men and children",
tiziano:932,1386,1452,Angel Raphael with Tobias and a dog in the Church of S. Marziliano,71T54
tiziano:932,1469,1478,landscape,
tiziano:932,1505,1558,S. John the Baptist is praying on his knees to Heaven,73A181
verrocchio:883,1105,1112,animals,25F
verrocchio:883,1114,1121,foliage,25G
verrocchio:883,1268,1292,dance of little children,43C7134
verrocchio:884,1809,1816,Lorenzo,"61B2(Medici, Lorenzo di Piero de')"
verrocchio:884,2062,2074,the same man,"61B2(Medici, Lorenzo di Piero de')"
zuccari:934,1223,1238,Transfiguration,
zuccari:934,1244,1271,Marriage of Cana in Galilee,
zuccari:934,1281,1313,Centurion kneeling before Christ,
zuccari:934,1686,1714,stories of Moses and Pharaoh,
zuccari:934,2028,2065,Angel slaying the first-born in Egypt,
zuccari:934,2834,2841,Justice,
zuccari:934,2846,2852,Equity,
