id,start_pos,end_pos,surface,wikidata,zericatalog,arco
agnolo:879,582,605,statues of Duke Lorenzo,Q3937601,,0900281336-3
agnolo:879,610,623,Duke Giuliano,Q3937559,,0900281335-3
agnolo:879,978,989,a S. Cosimo,,87641.0,0900288378
agnolo:879,994,1006,a S. Damiano,,87641.0,0900288380
agnolo:879,1045,1056,the Madonna,,87641.0,0900288379
agnolo:879,1080,1094,the S. Damiano,,87641.0,0900288380
agnolo:879,1150,1163,the S. Cosimo,,87641.0,0900288378
agnolo:879,2027,2051,statues of Duke Giuliano,Q3937559,,0900281335-3
agnolo:879,2056,2068,Duke Lorenzo,Q3937601,,0900281336-3
agnolo:880,1721,1752,the tomb of M. Raffaello Maffei,,76974.0,
agnolo_and_agostino:882,58,119,the marble panel of the high-altar in the Vescovado of Arezzo,,107785.0,0900641630/0900641631
agnolo_and_agostino:882,1760,1816,certain sculptures for the work of S. Maria in that city,,,
agnolo_and_agostino:882,1854,1877,some prophets in marble,,,
baccio:886,34,139,"the ornamentation in marble that surrounds the Chamber of Our Lady at Loreto, with the statues and scenes",,76922.0,
baccio:886,597,616,the David of Donato,Q735085,,900007363.0
baccio:886,1153,1177,the Nativity of Our Lady,,76922.0,
brunelleschi:898,1884,1909,"two, half-length prophets",Q3761010,78670,0900126097-1_23_5
bugiardini:888,56,199,"copy of the picture in which Raffaello da Urbino had formerly painted portraits of Pope Leo, Cardinal Giulio de' Medici, and Cardinal de' Rossi",,33913.0,
bugiardini:888,68,199,"picture in which Raffaello da Urbino had formerly painted portraits of Pope Leo, Cardinal Giulio de' Medici, and Cardinal de' Rossi",Q2610729,30886.0,900287216.0
bugiardini:888,414,445,the portrait of Cencio Guasconi,,,
bugiardini:888,561,583,a tabernacle in fresco,,,
calavrese:889,1574,1730,"a panel-picture in oils on the high-altar of the Church of S. Agostino, with a large ornamental frame, and various pictures painted with scenes  and figures",,,1500814426-0
cosimo:892,79,152,"a panel in the Church of the Servite Friars, in the Chapel of the Tedaldi",Q3204084,14089.0,900285870.0
cosimo:892,1266,1321,one of S. Margaret issuing from the belly of the Dragon,,,
craftsmen:653,454,606,"an altar-piece twelve palms high painted by him in oils at the age of twenty, which is now in the Badia of S. Stefano, near his native town of Sermoneta",,,
craftsmen:653,806,902,"an altar-piece in oils with the Dead Christ, Our Lady, S. John, the Magdalene, and other figures",,,
craftsmen:653,1070,1096,a pattern of four pictures,,,1200184032A-1/1200184032A-2/1200184032A-3/1200184032A-4
craftsmen:653,1391,1489,"an altar-piece fifteen palms high, which is beside the high-altar, of the Nativity of Jesus Christ",,16272,1200184115
craftsmen:653,1529,1610,"another altar-piece in oils, for the Sacristy of the Church of S. Spirito in Rome",,,
craftsmen:653,1913,1943,scenes of the Life of Our Lady,,16256/16257/16258/16259/16260/16261,1200818495-1/1200818495-2/1200818495-3/1200818495-4/1200818495-5/1200818495-6/1200818495-7
craftsmen:653,2007,2026,a large altar-piece,,16255,
craftsmen:653,2233,2253,S. James the Apostle,,,
craftsmen:653,2258,2279,S. Alfonso the Bishop,,,
craftsmen:894,1427,1494,a Dead Christ in an altar-piece that is in the Church of the Popolo,,,
craftsmen:894,1503,1586,"another that he has executed for the Chapel of S. Dionigi in S. Luigi, with stories",,,
craftsmen:894,1796,1917,"an altar-picture of Christ taken down from the Cross, with the Thieves fixed on their crosses, and the Madonna in a swoon",,,
craftsmen:894,2437,2458,Signora Livia Colonna,,,
dal_ponte:816,1488,1525,many scenes of the life of that Saint,,,
dal_ponte:816,1684,1710,the Assumption of Our Lady,,,
dal_ponte:816,1895,1905,S. Antonio,,,
dal_ponte:816,2640,2738,many figures both within and without a chapel built over one pier and dedicated to S. Michelagnolo,,,
dal_ponte:816,3068,3156,some scenes in fresco behind the altar of the principal chapel of S. Paolo a Ripa d'Arno,,,
dal_ponte:936,109,138,one of the stories of S. Paul,,,
dal_ponte:936,185,210,the tomb of Maestro Paolo,,,
del_sarto:896,753,808,a Nativity of Christ in the first cloister of the Servi,Q3605542,11333,0900281825-2
del_sarto:896,831,847,the Annunciation,Q4014807,35543,0900281825-10
del_sarto:896,930,1006,"a scene of S. Filippo, the founder of that Servite Order, assuming the habit",Q4015931,13384,0900281825-3
del_sarto:896,2510,2532,the life of S. Filippo,Q3925592/Q3831651/Q3863247/Q3706331,36815/36817/36818/36819/36820,0900281825-4/0900281825-5/0900281825-6/0900281825-7/0900281825-8
galasso:801,1263,1286,a chapel in S. Domenico,,,
galasso:801,1368,1408,pictures in fresco in S. Maria del Monte,,,
galasso:801,1623,1655,the stories of the Old Testament,,,
galasso:900,92,115,a chapel in S. Domenico,,,
galasso:900,138,189,two folding-doors that close the organ in the Duomo,,,
giotto:906,395,411,a tomb in marble,Q3862690,104967.0,
giotto:906,2021,2114,"a very beautiful little Crucifix on a ground of gold, with the name of Giotto in his own hand",,,
granacci:820,1574,1627,the altar-piece of the high-altar in S. Maria Novella,,,
granacci:910,59,103,a scene in oils on the head-board of a couch,Q3771679,,0900287174.0
granacci:910,218,249,stories from the life of Joseph,Q3651297,,
granacci:910,626,732,"a round picture, likewise in oils, of the Trinity, or rather, God the Father supporting a Christ Crucified",,,
granacci:910,782,897,"a picture of the Assumption by his hand, with many Angels and a S. Thomas, to whom the Madonna is giving the Girdle",,,900478848.0
indaco:824,1215,1253,the Apostles receiving the Holy Spirit,,,
indaco:824,1310,1353,His taking Peter and Andrew from their nets,,,
indaco:824,1372,1408,the Feast of Simon and the Magdalene,,,
indaco:824,1545,1558,a Dead Christ,,,
indaco:824,1657,1716,a little panel by his hand with the Coronation of Our  Lady,,,
indaco:912,543,733,"a little panel for the Audience Chamber of the Company of the Nunziata in Arezzo, containing an Annunciation, and a God the Father in Heaven surrounded by many angels in the form of children",,,900260655.0
indaco:912,1435,1541,a little study wrought in stucco for the Duchess Margherita of Austria in the Palace of the Medici at Rome,,,
michelagnolo:916,39,48,the Pietà,Q235242,,
michelagnolo:916,67,76,the Giant,Q179900,,
michelagnolo:916,363,371,his tomb,Q651551,16637.0,
michelagnolo:916,974,982,the tomb,Q651551,16637.0,
nanni:836,693,716,the S. Philip of marble,Q3947052,73098,0900291917
nanni:918,24,129,"the S. Lo which is without the said Oratory of Orsanmichele, and which was made for the Guild of Farriers",Q3948822,73092,0900291900
nanni:918,178,304,"the marble shrine, in the base of which, at the foot, there is a scene wherein S. Lo, the Farrier, is shoeing a frenzied horse",,73092,0900281568-1
palma:840,1181,1204,One of the altar-pieces,,,
palma:840,1262,1282,another for S. Elena,,,300180124.0
palma:922,387,497,"the panel-picture of the high-altar in the Duomo at Forlì, showing Christ giving the Communion to the Apostles",,,
palma:922,610,623,a Dead Christ,24184.0,,
palma:922,645,814,"some scenes with little figures, finished with great diligence, representing the actions of S. Helena, the mother of the Emperor Constantine, in the finding of the Cross",,,
palma:922,832,921,"a single figure of S. Sebastian, which is very beautiful, in a picture in the same church",,24182.0,800023812.0
palma:922,996,1062,a panel-picture in oils containing the single figure of that Saint,,,
palma:922,1165,1225,Christ appearing to Mary Magdalene in the form of a gardener,,,
palma:922,1238,1305,S. Peter leaving the ship and walking over the water towards Christ,,,
palma:922,1324,1351,the Baptism of Jesus Christ,,,
palma:922,1459,1502,one with that Saint consecrating the church,,24196.0,300180293.0
palma:922,1521,1580,"three martyrs, S. Cantius, S. Cantianus, and S. Cantianilla",,24195.0,300180292.0
palma:922,1706,1725,S. John the Baptist,,35035.0,
palma:922,1731,1743,S. Sebastian,,,
palma:922,1793,1906,"a panel, likewise by his hand, containing the Madonna placed between the Virgin Martyr S. Catharine and S. Jerome",,24192.0,
palma:922,1974,2001,S. Catharine and S. Francis,,,
palma:922,2020,2066,"Our Lady with S. James the Apostle, S. Francis",,,
palma:922,2149,2202,"one of which, containing the Madonna and many figures",,24191.0,300180294.0
palma:922,2396,2441,another panel with S. Laurence and S. Francis,,,
parri:924,92,147,a Madonna who has under her mantle the people of Arezzo,,10161.0,900223722.0
parri:924,578,597,S. Gregory the Pope,,,
parri:924,616,626,S. Donatus,,,
parri:924,820,973,"a Madonna with the Child in her arms, with some angels who are opening her mantle, beneath which is the said people; with S. Laurentino and S. Pergentino",,10160.0,
parri:924,1812,1884,"a shrine by the hand of Parri, within which is an Annunciation in fresco",,,900158556.0
parri:924,2000,2042,"picture of S. Catherine, virgin and martyr",,,
parri:924,2126,2145,a S. Mary Magdalene,,,
parri:924,2304,2338,a large Crucifix with four figures,,10162.0,
parri:924,2414,2603,"two stories of S. Nicholas—namely, his throwing the golden balls to the maidens, and his delivering two from death, while the executioner is seen apparelled and ready to cut off their heads",,10162.0,
raffaello:926,151,283,"a panel for S. Giovanni in Monte at Bologna, which is now set up in the chapel wherein lies the body of the Blessed Elena dall' Olio",Q1103801,27252,
ridolfo:852,1359,1412,the altar-piece of the high-altar in S. Maria Novella,Q3889212,12677.0,
ridolfo:852,1597,1621,the figure of S. Stephen,Q50989260,108028.0,
ridolfo:852,1623,1650,a disputation of that Saint,,107524.0,
ridolfo:852,1737,1772,"S. Antonino, Archbishop of Florence",,12674.0,
ridolfo:852,1778,1799,S. Catharine of Siena,Q21968095,12673.0,
ridolfo:852,1821,1846,altar-picture of S. Lucia,,14044.0,
ridolfo:928,888,1006,"Christ and Our Lady in the air, who are praying to God the Father for the people below, where some Saints are kneeling",,,
ridolfo:928,1105,1137,the Dead Christ with the  Maries,,36449.0,
ridolfo:928,1156,1200,"the Assumption of Our Lady, with some Saints",,,
ridolfo:928,1269,1333,an altar-piece at the commission of Bishop de' Bonafè of Cortona,,36413.0,900157160.0
ridolfo:928,1377,1426,another altar-piece with Our Lady and some Saints,,,900078896.0
ridolfo:928,1544,1584,"Our Lady, S. Anne, and many other Saints",,34594.0,900297933.0
ridolfo:928,1614,1663,a picture of the Beheading of S. John the Baptist,,,
ridolfo:928,1709,1740,altar-piece of the Annunciation,,,
ridolfo:928,1802,1851,"S. Rocco, S. Sebastian, and between them Our Lady",,34595.0,
ridolfo:928,1942,2004,"an altar-piece containing Our Lady, S. Sebastian, and S. James",,,
ridolfo:928,2099,2108,a S. Anne,,,
tiziano:932,233,329,"a large picture with figures of the size of life, which is now in the hall of M. Andrea Loredano",,,
