id,type,start_pos,end_pos,surface,coref_id,rel
sanmichele:856,ENT,0,19,Michele San Michele,,
sanmichele:856,ENT,37,43,Verona,,
sanmichele:856,ENT,98,110,architecture,,
sanmichele:856,PRON,116,119,his,,
sanmichele:856,ENT,120,126,father,,
sanmichele:856,ENT,127,135,Giovanni,,
sanmichele:856,PRON,140,143,his,,
sanmichele:856,ENT,144,149,uncle,,
sanmichele:856,ENT,150,161,Bartolommeo,,
sanmichele:856,ENT,178,188,architects,,
sanmichele:856,ENT,226,230,Rome,,
sanmichele:856,PRON,240,243,his,,
sanmichele:856,ENT,244,250,father,,
sanmichele:856,ENT,259,267,brothers,,
sanmichele:856,ENT,303,309,Jacopo,,
sanmichele:856,PRON,319,326,himself,,
sanmichele:856,ENT,330,337,letters,,
sanmichele:856,ENT,360,371,Don Camillo,,
sanmichele:856,ENT,379,392,Canon Regular,,
sanmichele:856,ENT,397,404,General,,
sanmichele:856,ENT,413,418,Order,,
sanmichele:856,PRON,442,444,he,,
sanmichele:856,ENT,476,488,architecture,,
sanmichele:856,PRON,598,600,he,,
sanmichele:856,ENT,640,644,Rome,,
sanmichele:856,ENT,669,675,places,,
sanmichele:856,ENT,697,701,city,,
sanmichele:856,PRON,712,715,his,,
sanmichele:856,ENT,726,732,people,,
sanmichele:856,ENT,736,743,Orvieto,,
sanmichele:856,PRON,753,756,him,,
sanmichele:856,ENT,760,769,architect,,
sanmichele:856,ENT,790,796,temple,,
sanmichele:856,PRON,835,837,he,,
sanmichele:856,PRON,854,859,their,,
sanmichele:856,PRON,869,871,he,,
sanmichele:856,ENT,908,922,Monte Fiascone,,
sanmichele:856,ENT,927,936,architect,,
sanmichele:856,ENT,945,953,building,,
sanmichele:856,ENT,973,979,temple,,
sanmichele:856,PRON,1043,1045,he,,
sanmichele:856,ENT,1097,1103,cities,,
sanmichele:856,ENT,1123,1135,architecture,,
sanmichele:856,ENT,1149,1154,works,,
sanmichele:856,ENT,1173,1177,tomb,,
sanmichele:856,PRON,1194,1197,his,,
sanmichele:856,ENT,1198,1204,design,,
sanmichele:856,ENT,1208,1237,S. Domenico at Monte Fiascone,,
sanmichele:856,ENT,1223,1237,Monte Fiascone,,
sanmichele:856,PRON,1238,1239,I,,
sanmichele:856,ENT,1264,1272,Petrucci,,
sanmichele:856,ENT,1276,1284,nobleman,,
sanmichele:856,ENT,1288,1293,Siena,,
sanmichele:856,PRON,1374,1376,he,,
sanmichele:856,ENT,1404,1411,designs,,
sanmichele:856,ENT,1424,1430,houses,,
sanmichele:856,PRON,1457,1464,himself,,
sanmichele:856,ENT,1476,1479,man,,
sanmichele:856,ENT,1524,1540,Pope Clement VII,,
sanmichele:856,PRON,1567,1570,him,,
sanmichele:856,ENT,1611,1615,wars,,
sanmichele:856,ENT,1663,1668,Italy,,
sanmichele:856,PRON,1675,1678,him,,
sanmichele:856,ENT,1697,1717,Antonio da San Gallo,,
sanmichele:856,ENT,1708,1717,San Gallo,,
sanmichele:856,ENT,1803,1809,places,,
sanmichele:856,ENT,1840,1860,States of the Church,,
sanmichele:856,ENT,1920,1934,fortifications,,
sanmichele:856,ENT,1950,1955,Parma,,
sanmichele:856,ENT,1960,1968,Piacenza,,
sanmichele:856,ENT,1988,1994,cities,,
sanmichele:856,ENT,2018,2022,Rome,,
sanmichele:856,ENT,2070,2073,war,,
sanmichele:856,ENT,2110,2117,Michele,,
sanmichele:856,ENT,2122,2129,Antonio,,
sanmichele:856,ENT,2162,2169,Pontiff,,
sanmichele:856,ENT,2185,2192,Michele,,
sanmichele:856,PRON,2237,2240,his,,
sanmichele:856,ENT,2248,2252,city,,
sanmichele:856,PRON,2257,2260,his,,
sanmichele:856,ENT,2261,2270,relatives,,
sanmichele:856,ENT,2275,2282,friends,,
sanmichele:856,ENT,2309,2319,fortresses,,
sanmichele:856,ENT,2327,2336,Venetians,,
sanmichele:930,ENT,0,7,Michele,,
sanmichele:930,ENT,34,48,fortifications,,
sanmichele:930,ENT,70,79,buildings,,
sanmichele:930,ENT,87,94,temples,,
sanmichele:930,ENT,96,104,churches,,
sanmichele:930,ENT,110,121,monasteries,,
sanmichele:930,ENT,148,157,buildings,,
sanmichele:930,ENT,161,167,Verona,,
sanmichele:930,ENT,238,261,Chapel of the Guareschi,,
sanmichele:930,ENT,252,261,Guareschi,,
sanmichele:930,ENT,265,278,S. Bernardino,,
sanmichele:930,ENT,317,323,temple,,
sanmichele:930,ENT,336,352,Corinthian Order,,
sanmichele:930,ENT,367,376,ornaments,,
sanmichele:930,ENT,408,414,chapel,,
sanmichele:930,PRON,416,417,I,,
sanmichele:930,PRON,423,425,he,,
sanmichele:930,ENT,450,461,pietra viva,,
sanmichele:930,PRON,490,492,it,,
sanmichele:930,PRON,504,506,it,,
sanmichele:930,ENT,548,554,Bronzo,,
sanmichele:930,ENT,585,590,stone,,
sanmichele:930,ENT,603,609,marble,,
sanmichele:930,PRON,661,664,our,,
sanmichele:930,PRON,743,745,it,,
sanmichele:930,ENT,758,764,chapel,,
sanmichele:930,ENT,823,828,stone,,
sanmichele:930,ENT,855,862,masters,,
sanmichele:930,ENT,866,873,carving,,
sanmichele:930,PRON,903,905,it,,
sanmichele:930,ENT,931,936,works,,
sanmichele:930,ENT,1009,1014,Italy,,
sanmichele:930,ENT,1020,1027,Michele,,
sanmichele:930,ENT,1043,1047,work,,
sanmichele:930,ENT,1095,1101,altars,,
sanmichele:930,PRON,1115,1117,it,,
sanmichele:930,PRON,1124,1129,their,,
sanmichele:930,ENT,1130,1139,pediments,,
sanmichele:930,ENT,1144,1152,cornices,,
sanmichele:930,ENT,1184,1188,door,,
sanmichele:930,ENT,1267,1287,Filippo Brunelleschi,,
sanmichele:930,ENT,1300,1335,Chapels of the Temple of the Angeli,,
sanmichele:930,ENT,1315,1335,Temple of the Angeli,,
sanmichele:930,ENT,1339,1347,Florence,,
sanmichele:930,ENT,1416,1423,gallery,,
sanmichele:930,ENT,1448,1455,columns,,
sanmichele:930,ENT,1487,1493,chapel,,
sanmichele:930,ENT,1559,1566,columns,,
sanmichele:930,ENT,1568,1576,capitals,,
sanmichele:930,ENT,1578,1585,foliage,,
sanmichele:930,ENT,1587,1597,grotesques,,
sanmichele:930,ENT,1606,1615,pilasters,,
sanmichele:930,ENT,1673,1677,door,,
sanmichele:930,ENT,1686,1692,chapel,,
sanmichele:930,ENT,1740,1756,Corinthian Order,,
sanmichele:930,ENT,1803,1807,door,,
sanmichele:930,PRON,1813,1815,he,,
sanmichele:930,PRON,1824,1826,he,,
sanmichele:930,ENT,1857,1861,Rome,,
sanmichele:930,PRON,1863,1865,It,,
sanmichele:930,ENT,1893,1897,work,,
sanmichele:930,ENT,1936,1943,Michele,,
sanmichele:930,PRON,1945,1946,I,,
sanmichele:930,PRON,2076,2078,it,,
sanmichele:930,ENT,2108,2115,Michele,,
sanmichele:930,PRON,2124,2127,his,,
sanmichele:930,PRON,2141,2143,it,,
sanmichele:930,PRON,2158,2161,his,,
sanmichele:930,PRON,2203,2205,it,,
sanmichele:930,PRON,2217,2219,he,,
sanmichele:930,PRON,2249,2252,his,,
sanmichele:930,ENT,2253,2260,friends,,
sanmichele:930,PRON,2293,2295,he,,
sanmichele:930,PRON,2341,2343,it,,
sanmichele:930,ENT,2375,2380,woman,,
sanmichele:930,PRON,2408,2411,she,,
sanmichele:930,PRON,2446,2448,it,,
