id,sentence
0,"Finally, Pope Clement, having determined that Buonarroti should return to Florence to finish the works of the sacristy and library of S. Lorenzo, gave him orders, since many statues were wanting there, as will be told in the Life of Michelagnolo himself, that he should avail himself of the most able men that could be found, and particularly of Fra Giovanni Agnolo, employing the same methods as had been adopted by Antonio da San Gallo in order to finish the works of the Madonna di Loreto. Having therefore made his way with the Frate to Florence, Michelagnolo, in executing the statues of Duke Lorenzo and Duke Giuliano, employed the Frate much in polishing them and in executing certain difficult undercuttings; with which occasion Fra Giovanni Agnolo learned many things from that truly divine man, standing with attention  to watch him at work, and observing every least thing. Now among other statues that were wanting to the completion of that work, there were lacking a S. Cosimo and a S. Damiano that were to be one on either side of the Madonna, and Michelagnolo gave the S. Damiano to Raffaello da Montelupo to execute, and to the Frate the S. Cosimo, commanding the latter that he should work in the same rooms where he himself had worked and was still working. Having therefore set his hand with the greatest zeal to that work, the Frate made a large model of the figure, which was retouched by Buonarroti in many parts; indeed, Michelagnolo made with his own hand the head and the arms of clay, which are now at Arezzo, held by Vasari among his dearest treasures in memory of that great man. There were not wanting many envious persons who blamed Michelagnolo for his action, saying that in allotting that statue he had shown little judgment, and had made a bad choice; but the result afterwards proved, as will be related, that Michelagnolo had shown excellent judgment, and that the Frate was an able man. When Michelagnolo, with the assistance of Fra Giovanni Agnolo, had finished and placed in position the statues of Duke Giuliano and Duke Lorenzo, being summoned by the Pope, who wished that arrangements should be made for executing in marble the façade of S. Lorenzo, he went to Rome; but he had not made a long stay there, when, Pope Clement dying, everything was left unfinished. At Florence the statue of the Frate, unfinished as it was, together with the other works, was thrown open to view, and was very highly extolled; and in truth, whether it was his own study and diligence, or the assistance of Michelagnolo, it proved in the end to be an excellent figure, and the best that Fra Giovanni Agnolo ever made among all that he executed in the whole of his life, so that it was truly worthy to be placed where it was."
1,"To one Michele d'Agnolo of Poggibonzi, in the village of Montorsoli, which is three miles distant from Florence on the road to Bologna, where he had a good farm of some size, there was born a male child, to whom he gave the name of his father, Agnolo. That child, growing up, and having an inclination for design, as could be readily seen, was placed by his father, according to the advice of friends, to learn stone-cutting under some masters who worked at the quarries of Fiesole, almost opposite to Montorsoli. Agnolo continuing to ply the chisel with those masters, in company with Francesco del Tadda, who was then a lad, and with others, not many months had passed before he knew very well how to handle the tools and to execute many kinds of work in that profession. Having then contracted a friendship by means of Francesco del Tadda with Maestro Andrea, a sculptor of Fiesole, the genius of the child so pleased that master, that he conceived an affection for him, and began to teach him; and thus he kept him in his workshop for three years. After which time, his father Michele being dead, Agnolo went off in company with other young stone-cutters to Rome, where, having been set to work on the building of S. Pietro, he carved some of those rosettes that are in the great cornices which encircle the interior of that temple, with much profit to himself and a good salary. Having then departed from Rome, I know not why, he placed himself in Perugia with a master stone-cutter, who at the end of a year left him in charge of all his works. But, recognizing that to stay at Perugia was not the life for him, and that he was not learning, he went off, when the opportunity to depart presented itself, to work on the tomb of M. Raffaello Maffei, called Il  Volterrano, at Volterra; and in that work, which was being made in marble, he carved some things which showed that his genius was destined some day to achieve a good result."
2,"Among others who exercised themselves in the school of the sculptors Giovanni and Niccola of Pisa, Agostino and Agnolo, sculptors of Siena, of whom we are at present about to write the Life, became very excellent for those times. These, according to what I find, were born from a father and mother of Siena, and their forefathers were architects, seeing that in the year 1190, under the rule of the three Consuls, they brought to perfection the Fontebranda, and afterwards, in the following year, under the same Consulate, the Customs-house of that city and other buildings. And in truth it is clear that very often the seeds of talent germinate in the houses where they have lain for some time, and throw out shoots which afterwards produce greater and better fruits than the first plants had done. Agostino and Agnolo, then, adding great betterment to the manner of Giovanni and Niccola of Pisa, enriched the art with better design and invention, as their works clearly demonstrate. It is said that the aforesaid Giovanni, returning from Naples to Pisa in the year 1284, stayed in Siena in order to make the design and foundation for the façade of the Duomo, wherein are the three principal doors, to the end that it might be all adorned very richly with marbles; and that then Agostino, being no more than fifteen years of age, went to be with him in order to apply himself to sculpture, whereof he had learnt the first principles, being no less inclined to this art than to the matters of architecture. And so, under the teaching of Giovanni, by means of continual study he surpassed all his fellow-disciples in design, grace, and manner, so greatly that it was said by all that he was the right eye of his master. And because, between people who love each other, there is no gift, whether of nature, or of soul, or of fortune, that is mutually desired so much as excellence, which alone makes men great and noble, and what is more, most happy both in this life and in the other, therefore Agostino, seizing this occasion of assistance from Giovanni, drew his brother Agnolo into the same pursuit."
3,"Agostino, then, being engaged in working with Giovanni on the marble panel of the high-altar in the Vescovado of Arezzo, whereof there has been mention above, contrived to bring there the said Agnolo, his brother, who acquitted himself in this work in such a manner that when it was finished he was found to have equalled Agostino in the excellence of his art. Which circumstance, becoming known to Giovanni, was the reason that after this work he made use of both one and the other in many other works of his that he wrought in Pistola, in Pisa, and in other places. And seeing that he applied himself not only to sculpture but to architecture as well, no long time passed before, under the rule of the Nine in Siena, Agostino made the design of their Palace in Malborghetto, which was in the year 1308. In the making of this he acquired so great a name in his country, that, returning to Siena after the death of Giovanni, they were made, both one and the other, architects to the State; wherefore afterwards, in the year 1317, there was made under their direction the front of the Duomo that faces towards the north, and in the year 1321, with the design of the same men, there was begun the construction of the Porta Romana in that manner wherein it stands to-day, and it was finished in the year 1326; which gate was first called Porta S. Martino. They rebuilt, also, the Porta a Tufi, which at first was called Porta di S. Agata all'Arco. In the same year, with the design of the same Agostino and Agnolo, there was begun the Church and Convent of S. Francesco in the presence of Cardinal di Gaeta, Apostolic Legate. No long time after, by the action of some of the Tolomei who were living as exiles at Orvieto, Agostino and Agnolo were summoned to make certain sculptures for the work of S. Maria in that city; wherefore, going there, they carved some prophets in marble which are now, in comparison with the other statues in that façade, the finest and best proportioned in that so greatly renowned work."
4,"In the days when the arts of design flourished in Florence by the favour and assistance of the elder Lorenzo de' Medici the Magnificent, there lived in the city a goldsmith called Michelagnolo di Viviano of Gaiuole, who worked excellently well at chasing and incavo for enamels and niello, and was very skilful in every sort of work in gold and silver plate. This Michelagnolo had a great knowledge of jewels, and set them very well; and on account of his talents and his versatility all the foreign masters of his art used to have recourse to him, and he gave them hospitality, as well as to the young men of the city, insomuch that his workshop was held to be, as it was, the first in Florence. Of him the Magnificent Lorenzo and all the house of Medici availed themselves; and for the tourney that Giuliano, the brother of that Magnificent Lorenzo, held on the Piazza di S. Croce, he executed with subtle craftsmanship all the ornaments of helmets, crests, and devices. Wherefore he acquired a great name and much intimacy with the sons of the Magnificent Lorenzo, to whom his work was ever afterwards very dear, and no less useful to him their acquaintance and friendship, by reason of which, and also by the many works that he executed throughout the whole city and dominion, he became a man of substance as well as one of much repute in his art. To this Michelagnolo the Medici, on their departure from Florence in the year 1494, entrusted much plate in silver and gold, which was all kept in safe hiding by him and faithfully preserved until their return, when he was much extolled by them for his fidelity, and afterwards recompensed with rewards. In the year 1487 there was born to Michelagnolo a son, whom he called Bartolommeo, but afterwards, according to the Florentine custom, he was called by everyone Baccio. Michelagnolo, desiring to leave his son heir to his art and connection, took him into his own workshop in company with other young men who were learning to draw; for that was the custom in those times, and no one was held to be a good goldsmith who was not a good draughtsman and able to work well in relief."
5,"Pope Leo had allotted the work of the ornamentation in marble that surrounds the Chamber of Our Lady at Loreto, with the statues and scenes, to Maestro Andrea Contucci of Monte Sansovino, who had already executed some of these with great credit to himself, and was then engaged on others. Now at this time Baccio took to Rome, for the Pope, a very beautiful model of a nude David who was holding Goliath under him and was cutting off his head; which model he intended to execute in bronze  or in marble for that very spot in the court of the house of the Medici in Florence where there once stood the David of Donato, which, at the spoiling of the Medici Palace, was taken to the Palace that then belonged to the Signori. The Pope, having praised Baccio, but not thinking that the time had come to execute the David, sent him to Loreto to Maestro Andrea, to the end that Andrea might give him one of those scenes to do. Having arrived in Loreto, he was received lovingly by Maestro Andrea and shown much kindness, both on account of his fame and because the Pope had recommended him, and a piece of marble was assigned to him from which he should carve the Nativity of Our Lady. Baccio, after making the model, began the work; but, being a person who was not able to endure a colleague or an equal, and had little praise for the works of others, he also began to speak hardly before the other sculptors who were there of the works of Maestro Andrea, saying that he had no design, and he said the same of the others, insomuch that in a short time he made himself disliked by them all. Whereupon, all that Baccio had said of Maestro Andrea having come to his ears, he, like a wise man, answered him lovingly, saying that works are done with the hands and not with the tongue, that good design is to be looked for not in drawings but in the perfection of the work finished in stone, and, finally, that in future Baccio should speak of him in a different tone. But Baccio answering him arrogantly with many abusive words, Maestro Andrea could endure no more, and rushed upon him in order to kill him; but Bandinelli was torn away from him by some who intervened between them. Being therefore forced to depart from Loreto, Baccio had his scene carried to Ancona; but he grew weary of it, although it was near completion, and he went away leaving it unfinished. This work was finished afterwards by Raffaello da Montelupo, and placed together with the others of Maestro Andrea; but it is by no means equal to them in excellence, although even so it is worthy of praise."
6,"Many men are created by nature small in person and in features, who have a mind full of such greatness and a heart of such irresistible vehemence, that if they do not begin difficult—nay, almost impossible—undertakings, and bring them to completion to the marvel of all who behold them, they have never any peace in their lives; and whatsoever work chance puts into their hands, however lowly and base it may be, they give it value and nobility. Wherefore no one should turn up his nose when he encounters people who have not, in their aspect, that primal grace or beauty which nature should give, on his coming into the world, to a man who works at any art, seeing that there is no doubt that beneath the clods of the earth are hidden veins of gold. And very often, in those who are most insignificant in form, there are born so great generosity of mind and so great sincerity of heart, that, if nobility be mingled with these, nothing short of the greatest marvels can be looked for from them, for the reason that they strive to embellish the ugliness of the body with the beauty of the intellect; as it is clearly seen in Filippo di Ser Brunellesco, who was no less insignificant in person than Messer Forese da Rabatta and Giotto, but so lofty in intellect that it can be truly said that he was sent to us by Heaven in order to give new form to architecture, which had been out of mind for hundreds of years; for the men of those times had spent much treasure to no purpose, making buildings without order, with bad method, with sorry design, with most strange inventions, with most ungraceful grace, and with even worse ornament. And Heaven ordained, since the earth had been for so many years without any supreme mind or divine spirit, that Filippo should bequeath to the world the greatest, the most lofty, and the most beautiful building that was ever made in modern times, or even in those of the ancients, proving that the talent of the Tuscan craftsmen, although lost, was not therefore dead. Heaven adorned him, moreover, with the best virtues, among which was that of kindliness, so that no man was ever more benign or more amiable than he. In judgment he was free from passion, and when he saw worth and merit in others he would sacrifice his own advantage and the interest of his friends. He knew himself, he shared the benefit of his own talent with many, and he was ever succouring his neighbour in his necessities."
7,"It is said that there was in Florence a man of very good repute, most praiseworthy in his way of life and active in his business, whose name was Ser Brunellesco di Lippo Lapi, who had had a grandfather called Cambio, who was a learned person and the son of a physician very famous in those times, named Maestro Ventura Bacherini. Now Ser Brunellesco, taking to wife a most excellent young woman from the noble family of the Spini, received, as part payment of her dowry, a house wherein he and his sons dwelt to the day of their death. This house stands opposite to one side of S. Michele Berteldi, in a close past the Piazza degli Agli. The while that he was occupying himself thus and living happily, in the year 1398 there was born to him a son, to whom he gave the name Filippo, after his own father, now dead; and he celebrated this birth with the greatest gladness possible. Thereupon he taught him in his childhood, with the utmost attention, the first rudiments of letters, wherein the boy showed himself so ingenious and so lofty in spirit that his brain was often in doubt, as if he did not care to become very perfect in them—nay, it appeared that he directed his thoughts on matters of greater utility—wherefore Ser Brunellesco, who wished him to follow his own vocation of notary, or that of his great-great-grandfather, was very much displeased. But seeing him continually investigating ingenious problems of art and mechanics, he made him learn arithmetic and writing, and then apprenticed him to the goldsmith's art with one his friend, to the end that he might learn design. And this gave great satisfaction to Filippo, who, not many years after beginning to learn and to practise that art, could set precious stones better than any old craftsman in that vocation. He occupied himself with niello and with making larger works, such as some figures in silver, whereof two, half-length prophets, are placed at the head of the altar of S. Jacopo in Pistoia; these figures, which are held very beautiful, were wrought by him for the Wardens of Works in that city; and he made works in low-relief, wherein he showed that he had so great knowledge in his vocation that his intellect must needs overstep the bounds of that art. Wherefore, having made acquaintance with certain studious persons, he began to penetrate with his fancy into questions of time, of motion, of weights, and of wheels, and how the latter can be made to revolve, and by what means they can be set in motion; and thus he made some very good and very beautiful clocks with his own hand."
8,"Before the siege of Florence the population had multiplied in such great numbers that the widespread suburbs which lay without every gate, together with the churches, monasteries, and hospitals, formed as it were another city, inhabited by many honourable persons and by good craftsmen of every kind, although for the most part they were less wealthy than those of the city, and lived there with less expense in the way of customs-dues and the like. In one of these suburbs, then, without the Porta a Faenza, was born Giuliano Bugiardini, who lived there, even as his ancestors had done, until the year 1529, when all the suburbs were pulled down. But before that, when still a mere lad, he began his studies in the garden of the Medici on the Piazza di S. Marco, in which, attending to the study of art under the sculptor Bertoldo, he formed such strait friendship and intimacy with Michelagnolo Buonarroti, that he was much beloved by Buonarroti ever afterwards; which Michelagnolo did not so much because of any depth that he saw in Giuliano's manner of drawing, as on account of the extraordinary diligence and love that he showed towards art. There was in Giuliano, besides this, a certain natural goodness and a sort of simplicity in his mode of living, free from all envy and malice, which vastly pleased Buonarroti; nor was there any notable defect in him save this, that he loved too well the works of his own hand. For, although all men are wont to err in this respect, Giuliano in truth passed all due bounds, whatever may have been the reason—either the great pains and diligence that he put into executing them, or some other cause. Wherefore Michelagnolo used to call him blessed, since he  appeared to be content with what he knew, and himself unhappy, in that no work of his ever fully satisfied him. After Giuliano had studied design for some time in the above-named garden, he worked, together with Buonarroti and Granacci, under Domenico Ghirlandajo, at the time when he was painting the chapel in S. Maria Novella."
9,"Giuliano afterwards made for Cardinal Innocenzio Cibo a copy of the picture in which Raffaello da Urbino had formerly painted portraits of Pope Leo, Cardinal Giulio de' Medici, and Cardinal de' Rossi; but in place of Cardinal de' Rossi he painted the head of Cardinal Cibo, in which he acquitted himself very well, and he executed the whole picture with great diligence and labour. At that time, likewise, he took the portrait of Cencio Guasconi, who was then a very beautiful youth. And after this he painted at the villa of Baccio Valori, at Olmo a Castello, a tabernacle in fresco, which, although it had not much design, was well and very carefully executed."
