id,start_pos,end_pos,surface,kb,kb_id

brunelleschi:665,39,171,"a statue of lime-wood to be made for the Friars of S. Spirito, representing S. Mary Magdalene in Penitence, to be placed in a chapel",,

brunelleschi:669,22,63,the model for the fortress of Vico Pisano,,

brunelleschi:669,81,104,the old Citadel of Pisa,,

brunelleschi:669,124,136,Ponte a Mare,,

brunelleschi:669,167,222,"the new Citadel, closing the bridge with the two towers",,

brunelleschi:668,176,791,"a Crucifix of wood",,

brunelleschi:667,283,375,"the house of Apollonio Lapi",,

brunelleschi:667,494,540,"house of Petraia, at Castello without Florence",,

