id,type,start_pos,end_pos,surface,coref_id
cosimo:646,ENT,6,15,Giorgione,
cosimo:646,ENT,20,29,Correggio,
cosimo:646,PRON,34,39,their,
cosimo:646,ENT,87,94,regions,
cosimo:646,ENT,87,106,regions of Lombardy,
cosimo:646,ENT,108,115,Tuscany,
cosimo:646,PRON,120,123,her,
cosimo:646,ENT,149,152,men,
cosimo:646,ENT,214,288,"Piero, the son of one Lorenzo, a goldsmith, and a pupil of Cosimo Rosselli",
cosimo:646,ENT,225,228,son,
cosimo:646,ENT,236,256,"Lorenzo, a goldsmith",
cosimo:646,ENT,264,269,pupil,
cosimo:646,ENT,273,288,Cosimo Rosselli,
cosimo:646,PRON,301,303,he,
cosimo:646,ENT,322,337,Piero di Cosimo,
cosimo:646,ENT,388,391,man,
cosimo:646,PRON,400,402,us,
cosimo:646,PRON,457,459,he,
cosimo:646,PRON,492,494,us,
cosimo:646,ENT,533,539,father,
cosimo:646,PRON,546,548,he,
cosimo:646,PRON,560,562,us,
cosimo:646,PRON,573,575,us,
cosimo:646,ENT,599,604,Piero,
cosimo:646,PRON,622,625,his,
cosimo:646,ENT,626,632,father,
cosimo:646,PRON,645,648,his,
cosimo:646,ENT,649,652,son,
cosimo:646,ENT,708,714,design,
cosimo:646,ENT,731,737,Cosimo,
cosimo:646,PRON,748,751,him,
cosimo:646,PRON,793,796,him,
cosimo:646,ENT,851,860,disciples,
cosimo:646,PRON,866,868,he,
cosimo:646,PRON,882,885,him,
cosimo:646,ENT,899,902,son,
cosimo:646,PRON,920,923,him,
cosimo:646,ENT,944,947,man,
cosimo:646,PRON,987,989,he,
cosimo:646,ENT,1046,1052,youths,
cosimo:646,ENT,1075,1081,Cosimo,
cosimo:646,PRON,1114,1116,He,
cosimo:646,PRON,1148,1150,he,
cosimo:646,PRON,1253,1255,it,
cosimo:646,PRON,1307,1310,him,
cosimo:646,PRON,1333,1336,his,
cosimo:646,PRON,1378,1381,his,
cosimo:646,PRON,1391,1393,he,
cosimo:646,PRON,1442,1444,he,
cosimo:646,PRON,1488,1495,himself,
cosimo:646,PRON,1501,1504,his,
cosimo:646,PRON,1523,1526,his,
cosimo:646,PRON,1551,1554,his,
cosimo:646,ENT,1555,1562,castles,
cosimo:646,ENT,1597,1603,Cosimo,
cosimo:646,PRON,1605,1608,his,
cosimo:646,PRON,1629,1632,him,
cosimo:646,PRON,1651,1653,he,
cosimo:646,PRON,1674,1677,him,
cosimo:646,PRON,1681,1684,his,
cosimo:646,ENT,1685,1690,works,
cosimo:646,PRON,1708,1710,he,
cosimo:646,PRON,1718,1721,him,
cosimo:646,ENT,1775,1780,Piero,
cosimo:646,PRON,1843,1850,himself,
