id,type,start_pos,end_pos,surface,coref_id
craftsmen:653,ENT,23,27,Rome,
craftsmen:653,PRON,67,70,his,
craftsmen:653,ENT,83,115,Girolamo Siciolante of Sermoneta,
craftsmen:653,ENT,106,115,Sermoneta,
craftsmen:653,ENT,166,170,Life,
craftsmen:653,ENT,174,189,Perino del Vaga,
craftsmen:653,ENT,197,205,disciple,
craftsmen:653,PRON,206,208,he,
craftsmen:653,PRON,224,227,him,
craftsmen:653,ENT,235,240,works,
craftsmen:653,ENT,244,250,Castel,
craftsmen:653,ENT,244,260,Castel S. Angelo,
craftsmen:653,ENT,251,260,S. Angelo,
craftsmen:653,PRON,294,296,it,
craftsmen:653,PRON,344,347,his,
craftsmen:653,ENT,397,402,works,
craftsmen:653,ENT,420,428,Girolamo,
craftsmen:653,PRON,441,448,himself,
craftsmen:653,ENT,457,468,altar-piece,
craftsmen:653,PRON,498,501,him,
craftsmen:653,ENT,505,509,oils,
craftsmen:653,ENT,552,557,Badia,
craftsmen:653,ENT,552,571,Badia of S. Stefano,
craftsmen:653,ENT,561,571,S. Stefano,
craftsmen:653,PRON,578,581,his,
craftsmen:653,ENT,589,593,town,
craftsmen:653,ENT,589,606,town of Sermoneta,
craftsmen:653,ENT,636,644,S. Peter,
craftsmen:653,ENT,646,656,S. Stephen,
craftsmen:653,ENT,662,681,S. John the Baptist,
craftsmen:653,ENT,674,681,Baptist,
craftsmen:653,ENT,696,704,children,
craftsmen:653,ENT,717,728,altar-piece,
craftsmen:653,PRON,755,757,he,
craftsmen:653,ENT,774,780,Church,
craftsmen:653,ENT,774,804,"Church of S. Apostolo, in Rome",
craftsmen:653,ENT,784,795,S. Apostolo,
craftsmen:653,ENT,800,804,Rome,
craftsmen:653,ENT,809,820,altar-piece,
craftsmen:653,ENT,824,828,oils,
craftsmen:653,ENT,838,849,Dead Christ,
craftsmen:653,ENT,843,849,Christ,
craftsmen:653,ENT,851,859,Our Lady,
craftsmen:653,ENT,861,868,S. John,
craftsmen:653,ENT,874,883,Magdalene,
craftsmen:653,ENT,895,902,figures,
craftsmen:653,ENT,945,949,Pace,
craftsmen:653,ENT,958,964,marble,
craftsmen:653,ENT,965,971,chapel,
craftsmen:653,ENT,977,985,Cardinal,
craftsmen:653,ENT,977,991,Cardinal Cesis,
craftsmen:653,PRON,1018,1020,he,
craftsmen:653,ENT,1041,1049,vaulting,
craftsmen:653,ENT,1055,1066,stucco-work,
craftsmen:653,ENT,1072,1079,pattern,
craftsmen:653,ENT,1088,1096,pictures,
craftsmen:653,ENT,1119,1143,Nativity of Jesus Christ,
craftsmen:653,ENT,1131,1143,Jesus Christ,
craftsmen:653,ENT,1149,1170,Adoration of the Magi,
craftsmen:653,ENT,1166,1170,Magi,
craftsmen:653,ENT,1176,1193,Flight into Egypt,
craftsmen:653,ENT,1188,1193,Egypt,
craftsmen:653,ENT,1203,1228,Massacre of the Innocents,
craftsmen:653,ENT,1246,1250,work,
craftsmen:653,ENT,1341,1347,church,
craftsmen:653,ENT,1374,1382,Girolamo,
craftsmen:653,ENT,1394,1405,altar-piece,
craftsmen:653,ENT,1446,1456,high-altar,
craftsmen:653,ENT,1465,1489,Nativity of Jesus Christ,
craftsmen:653,ENT,1477,1489,Jesus Christ,
craftsmen:653,ENT,1537,1548,altar-piece,
craftsmen:653,ENT,1552,1556,oils,
craftsmen:653,ENT,1566,1574,Sacristy,
craftsmen:653,ENT,1582,1588,Church,
craftsmen:653,ENT,1582,1610,Church of S. Spirito in Rome,
craftsmen:653,ENT,1592,1602,S. Spirito,
craftsmen:653,ENT,1606,1610,Rome,
craftsmen:653,ENT,1616,1660,Descent of the Holy Spirit upon the Apostles,
craftsmen:653,ENT,1631,1642,Holy Spirit,
craftsmen:653,ENT,1652,1660,Apostles,
craftsmen:653,ENT,1716,1722,Church,
craftsmen:653,ENT,1716,1776,"Church of S. Maria de Anima, the church of the German colony",
craftsmen:653,ENT,1726,1743,S. Maria de Anima,
craftsmen:653,ENT,1749,1755,church,
craftsmen:653,ENT,1763,1776,German colony,
craftsmen:653,PRON,1778,1780,he,
craftsmen:653,ENT,1792,1798,fresco,
craftsmen:653,ENT,1816,1822,Chapel,
craftsmen:653,ENT,1816,1843,Chapel of the Fugger family,
craftsmen:653,ENT,1830,1843,Fugger family,
craftsmen:653,ENT,1856,1869,Giulio Romano,
craftsmen:653,ENT,1888,1899,altar-piece,
craftsmen:653,ENT,1913,1919,scenes,
craftsmen:653,ENT,1935,1943,Our Lady,
craftsmen:653,ENT,1953,1963,high-altar,
craftsmen:653,ENT,1967,1976,S. Jacopo,
craftsmen:653,ENT,1967,1992,S. Jacopo degli Spagnuoli,
craftsmen:653,PRON,1993,1995,he,
craftsmen:653,ENT,2015,2026,altar-piece,
craftsmen:653,ENT,2044,2050,Christ,
craftsmen:653,ENT,2058,2063,Cross,
craftsmen:653,PRON,2074,2080,Angels,
craftsmen:653,ENT,2092,2100,Our Lady,
craftsmen:653,ENT,2106,2113,S. John,
craftsmen:653,ENT,2142,2150,pictures,
craftsmen:653,PRON,2182,2184,it,
craftsmen:653,ENT,2233,2253,S. James the Apostle,
craftsmen:653,ENT,2246,2253,Apostle,
craftsmen:653,ENT,2258,2279,S. Alfonso the Bishop,
craftsmen:653,ENT,2273,2279,Bishop,
craftsmen:653,ENT,2290,2298,pictures,
craftsmen:653,PRON,2299,2301,it,
craftsmen:653,PRON,2318,2320,he,
