id,type,start_pos,end_pos,surface,coref_id
dal_ponte:691,ENT,79,86,proverb,
dal_ponte:691,PRON,160,162,it,
dal_ponte:691,PRON,181,183,he,
dal_ponte:691,PRON,225,228,his,
dal_ponte:691,PRON,286,288,it,
dal_ponte:691,PRON,525,528,her,
dal_ponte:691,ENT,569,572,men,
dal_ponte:691,ENT,615,618,men,
dal_ponte:691,PRON,687,689,it,
dal_ponte:691,ENT,804,849,Giovanni da Santo Stefano a Ponte of Florence,
dal_ponte:691,ENT,816,837,Santo Stefano a Ponte,
dal_ponte:691,ENT,841,849,Florence,
dal_ponte:691,PRON,877,880,his,
dal_ponte:691,PRON,931,934,his,
dal_ponte:691,PRON,967,970,his,
dal_ponte:691,PRON,1015,1018,him,
dal_ponte:691,PRON,1046,1048,he,
dal_ponte:691,PRON,1105,1108,his,
dal_ponte:691,PRON,1122,1125,his,
dal_ponte:691,ENT,1138,1141,man,
dal_ponte:691,ENT,1159,1167,disciple,
dal_ponte:691,ENT,1171,1192,Buonamico Buffalmacco,
dal_ponte:691,PRON,1211,1214,him,
dal_ponte:691,ENT,1292,1299,painter,
dal_ponte:691,ENT,1361,1369,disciple,
dal_ponte:691,ENT,1373,1384,Buffalmacco,
dal_ponte:691,PRON,1386,1388,he,
dal_ponte:691,PRON,1394,1397,his,
dal_ponte:691,ENT,1404,1409,works,
dal_ponte:691,ENT,1417,1423,Chapel,
dal_ponte:691,ENT,1417,1461,"Chapel of S. Lorenzo, in the Pieve of Empoli",
dal_ponte:691,ENT,1427,1437,S. Lorenzo,
dal_ponte:691,ENT,1446,1461,Pieve of Empoli,
dal_ponte:691,ENT,1481,1487,fresco,
dal_ponte:691,ENT,1493,1499,scenes,
dal_ponte:691,ENT,1520,1525,Saint,
dal_ponte:691,PRON,1556,1558,he,
dal_ponte:691,ENT,1575,1581,Arezzo,
dal_ponte:691,PRON,1673,1675,he,
dal_ponte:691,ENT,1688,1710,Assumption of Our Lady,
dal_ponte:691,ENT,1702,1710,Our Lady,
dal_ponte:691,ENT,1716,1722,chapel,
dal_ponte:691,ENT,1726,1738,S. Francesco,
dal_ponte:691,ENT,1799,1803,city,
dal_ponte:691,ENT,1822,1830,painters,
dal_ponte:691,PRON,1832,1834,he,
dal_ponte:691,ENT,1847,1853,Chapel,
dal_ponte:691,ENT,1847,1880,Chapel of S. Onofrio in the Pieve,
dal_ponte:691,ENT,1857,1867,S. Onofrio,
dal_ponte:691,ENT,1875,1880,Pieve,
dal_ponte:691,ENT,1895,1905,S. Antonio,
dal_ponte:691,PRON,1939,1941,He,
dal_ponte:691,ENT,1963,1971,pictures,
dal_ponte:691,ENT,1984,1996, S. Giustina,
dal_ponte:691,ENT,2004,2013,S. Matteo,
dal_ponte:691,ENT,2054,2058,Duke,
dal_ponte:691,ENT,2054,2065,Duke Cosimo,
dal_ponte:691,ENT,2090,2098,churches,
dal_ponte:691,ENT,2117,2131,fortifications,
dal_ponte:691,ENT,2141,2145,city,
dal_ponte:691,ENT,2216,2222,bridge,
dal_ponte:691,ENT,2239,2250,S. Giustina,
dal_ponte:691,ENT,2281,2285,city,
dal_ponte:691,ENT,2319,2331,Appius Cæcus,
dal_ponte:691,PRON,2343,2346,his,
dal_ponte:691,ENT,2347,2350,son,
dal_ponte:691,ENT,2360,2366,marble,
dal_ponte:691,ENT,2403,2410,epitaph,
dal_ponte:691,ENT,2462,2472,guardaroba,
dal_ponte:691,ENT,2489,2493,Lord,
dal_ponte:691,ENT,2489,2498,Lord Duke,
dal_ponte:691,ENT,2494,2498,Duke,
dal_ponte:691,ENT,2500,2508,Giovanni,
dal_ponte:691,ENT,2529,2537,Florence,
dal_ponte:691,ENT,2600,2604,arch,
dal_ponte:691,ENT,2612,2630,Ponte a S. Trinita,
dal_ponte:691,ENT,2620,2630,S. Trinita,
dal_ponte:691,ENT,2645,2652,figures,
dal_ponte:691,ENT,2679,2685,chapel,
dal_ponte:691,ENT,2701,2705,pier,
dal_ponte:691,ENT,2723,2738,S. Michelagnolo,
dal_ponte:691,ENT,2772,2776,wall,
dal_ponte:691,ENT,2784,2790,chapel,
dal_ponte:691,ENT,2810,2816,bridge,
dal_ponte:691,ENT,2838,2864,the flood of the year 1557,
dal_ponte:691,PRON,2866,2868,It,
dal_ponte:691,ENT,2891,2896,works,
dal_ponte:691,PRON,2977,2979,he,
dal_ponte:691,ENT,3007,3025,Giovanni dal Ponte,
dal_ponte:691,ENT,3030,3034,Pisa,
dal_ponte:691,PRON,3060,3062,he,
dal_ponte:691,ENT,3073,3079,scenes,
dal_ponte:691,ENT,3083,3089,fresco,
dal_ponte:691,ENT,3101,3106,altar,
dal_ponte:691,ENT,3124,3130,chapel,
dal_ponte:691,ENT,3134,3142,S. Paolo,
dal_ponte:691,ENT,3134,3156,S. Paolo a Ripa d'Arno,
dal_ponte:691,ENT,3145,3156,Ripa d'Arno,
