id,type,start_pos,end_pos,surface,wb_id,has_nested,is_nested
dal_ponte:691,PROD,79,86,proverb,,,
dal_ponte:691,PER,569,572,men,,,
dal_ponte:691,PER,615,618,men,,,
dal_ponte:691,PER,804,849,Giovanni da Santo Stefano a Ponte of Florence,,,
dal_ponte:691,GPE,816,837,Santo Stefano a Ponte,,,
dal_ponte:691,GPE,841,849,Florence,,,
dal_ponte:691,PER,1138,1141,man,,,
dal_ponte:691,PER,1159,1167,disciple,,,
dal_ponte:691,PER,1171,1192,Buonamico Buffalmacco,,,
dal_ponte:691,PER,1292,1299,painter,,,
dal_ponte:691,PER,1361,1369,disciple,,,
dal_ponte:691,PER,1373,1384,Buffalmacco,,,
dal_ponte:691,PROD,1404,1409,works,,,
dal_ponte:691,FAC,1417,1423,Chapel,,,
dal_ponte:691,FAC,1417,1461,"Chapel of S. Lorenzo, in the Pieve of Empoli",,,
dal_ponte:691,MYTH,1427,1437,S. Lorenzo,,,
dal_ponte:691,FAC,1446,1461,Pieve of Empoli,,,
dal_ponte:691,TECH,1481,1487,fresco,,,
dal_ponte:691,PROD,1493,1499,scenes,,,
dal_ponte:691,MYTH,1520,1525,Saint,,,
dal_ponte:691,GPE,1575,1581,Arezzo,,,
dal_ponte:691,MYTH,1688,1710,Assumption of Our Lady,,,
dal_ponte:691,MYTH,1702,1710,Our Lady,,,
dal_ponte:691,FAC,1716,1722,chapel,,,
dal_ponte:691,FAC,1726,1738,S. Francesco,,,
dal_ponte:691,GPE,1799,1803,city,,,
dal_ponte:691,PER,1822,1830,painters,,,
dal_ponte:691,FAC,1847,1853,Chapel,,,
dal_ponte:691,FAC,1847,1880,Chapel of S. Onofrio in the Pieve,,,
dal_ponte:691,MYTH,1857,1867,S. Onofrio,,,
dal_ponte:691,GPE,1875,1880,Pieve,,,
dal_ponte:691,MYTH,1895,1905,S. Antonio,,,
dal_ponte:691,PROD,1963,1971,pictures,,,
dal_ponte:691,FAC,1984,1996, S. Giustina,,,
dal_ponte:691,FAC,2004,2013,S. Matteo,,,
dal_ponte:691,PER,2054,2058,Duke,,,
dal_ponte:691,PER,2054,2065,Duke Cosimo,,,
dal_ponte:691,FAC,2090,2098,churches,,,
dal_ponte:691,FAC,2117,2131,fortifications,,,
dal_ponte:691,GPE,2141,2145,city,,,
dal_ponte:691,FAC,2216,2222,bridge,,,
dal_ponte:691,FAC,2239,2250,S. Giustina,,,
dal_ponte:691,GPE,2281,2285,city,,,
dal_ponte:691,PER,2319,2331,Appius Cæcus,,,
dal_ponte:691,PER,2347,2350,son,,,
dal_ponte:691,MAT,2360,2366,marble,,,
dal_ponte:691,PROD,2403,2410,epitaph,,,
dal_ponte:691,FAC,2462,2472,guardaroba,,,
dal_ponte:691,PER,2489,2493,Lord,,,
dal_ponte:691,PER,2489,2498,Lord Duke,,,
dal_ponte:691,PER,2494,2498,Duke,,,
dal_ponte:691,PER,2500,2508,Giovanni,,,
dal_ponte:691,GPE,2529,2537,Florence,,,
dal_ponte:691,FAC,2600,2604,arch,,,
dal_ponte:691,FAC,2612,2630,Ponte a S. Trinita,,,
dal_ponte:691,MYTH,2620,2630,S. Trinita,,,
dal_ponte:691,PROD,2645,2652,figures,,,
dal_ponte:691,FAC,2679,2685,chapel,,,
dal_ponte:691,FAC,2701,2705,pier,,,
dal_ponte:691,PER,2723,2738,S. Michelagnolo,,,
dal_ponte:691,FAC,2772,2776,wall,,,
dal_ponte:691,FAC,2784,2790,chapel,,,
dal_ponte:691,FAC,2810,2816,bridge,,,
dal_ponte:691,EVE,2842,2864,flood of the year 1557,,,
dal_ponte:691,PROD,2891,2896,works,,,
dal_ponte:691,PER,3007,3025,Giovanni dal Ponte,,,
dal_ponte:691,GPE,3030,3034,Pisa,,,
dal_ponte:691,PROD,3073,3079,scenes,,,
dal_ponte:691,TECH,3083,3089,fresco,,,
dal_ponte:691,FAC,3101,3106,altar,,,
dal_ponte:691,FAC,3124,3130,chapel,,,
dal_ponte:691,MYTH,3134,3142,S. Paolo,,,
dal_ponte:691,FAC,3134,3156,S. Paolo a Ripa d'Arno,,,
dal_ponte:691,GPE,3145,3156,Ripa d'Arno,,,
dal_ponte:692,PER,0,8,Giovanni,,,
dal_ponte:692,FAC,26,32,Chapel,,,
dal_ponte:692,FAC,26,71,Chapel of the Scali in S. Trinita in Florence,,,
dal_ponte:692,ORG,40,45,Scali,,,
dal_ponte:692,FAC,49,71,S. Trinita in Florence,,,
dal_ponte:692,PROD,120,127,stories,,,
dal_ponte:692,MYTH,131,138,S. Paul,,,
dal_ponte:692,FAC,168,174,chapel,,,
dal_ponte:692,FAC,189,193,tomb,,,
dal_ponte:692,PER,197,227,"Maestro Paolo, the astrologer.",,,
