id,type,start_pos,end_pos,surface,wb_id,has_nested,is_nested
del_sarto:660,PER,34,40,Andrea,,,
del_sarto:660,PER,90,97,painter,,,
del_sarto:660,LOC,185,193,cloister,,,
del_sarto:660,PROD,201,209,pictures,,,
del_sarto:660,TECH,213,224,chiaroscuro,,,
del_sarto:660,TECH,244,250,fresco,,,
del_sarto:660,MAT,256,264,terretta,,,
del_sarto:660,PROD,283,289,scenes,,,
del_sarto:660,MYTH,299,326,life of S. John the Baptist,,,
del_sarto:660,MYTH,307,326,S. John the Baptist,,,
del_sarto:659,GPE,91,95,city,,,
del_sarto:659,GPE,100,108,district,,,
del_sarto:659,PROD,211,217,custom,,,
del_sarto:658,ORG,16,21,Guild,,,
del_sarto:658,ORG,16,34,Guild of Merchants,,,
del_sarto:658,PER,25,34,Merchants,,,
del_sarto:658,PROD,69,77,chariots,,,
del_sarto:658,MAT,86,90,wood,,,
del_sarto:658,PER,132,138,Romans,,,
del_sarto:658,MYTH,209,216,S. John,,,
del_sarto:658,PROD,244,256,altar-cloths,,,
del_sarto:658,MAT,261,264,wax,,,
del_sarto:658,PROD,265,271,tapers,,,
del_sarto:658,GPE,282,288,cities,,,
del_sarto:658,GPE,293,302,townships,,,
del_sarto:658,PER,349,353,Duke,,,
del_sarto:658,PER,368,379,magistrates,,,
del_sarto:658,PER,425,431,Andrea,,,
del_sarto:658,PROD,450,456,scenes,,,
del_sarto:658,TECH,460,464,oils,,,
del_sarto:658,TECH,472,483,chiaroscuro,,,
del_sarto:657,PROD,21,26,Lives,,,
del_sarto:657,PROD,78,87,colouring,,,
del_sarto:657,PROD,97,104,drawing,,,
del_sarto:657,PER,166,182,Andrea del Sarto,,,
del_sarto:657,PER,200,206,person,,,
del_sarto:657,PROD,218,221,art,,,
del_sarto:657,PROD,244,252,painting,,,
del_sarto:657,PROD,277,292,draughtsmanship,,,
del_sarto:657,PROD,294,303,colouring,,,
del_sarto:657,PROD,309,318,invention,,,
del_sarto:657,PER,338,344,Andrea,,,
del_sarto:657,PROD,459,462,art,,,
del_sarto:657,PROD,756,764,painting,,,
del_sarto:657,PER,888,896,painters,,,
del_sarto:657,PROD,902,909,figures,,,
del_sarto:657,PER,1074,1082,children,,,
del_sarto:657,PER,1090,1095,women,,,
del_sarto:657,PER,1136,1139,men,,,
del_sarto:657,PROD,1208,1217,draperies,,,
del_sarto:657,PROD,1253,1258,nudes,,,
del_sarto:657,PROD,1297,1304,drawing,,,
del_sarto:657,PER,1363,1369,Andrea,,,
del_sarto:657,GPE,1382,1390,Florence,,,
del_sarto:657,PER,1415,1421,father,,,
del_sarto:657,PER,1445,1451,tailor,,,
del_sarto:657,PER,1481,1497,Andrea del Sarto,,,
del_sarto:657,FAC,1591,1597,school,,,
del_sarto:657,PER,1621,1630,goldsmith,,,
del_sarto:657,PROD,1633,1638,craft,,,
del_sarto:662,PER,0,6,Andrea,,,
del_sarto:662,PER,24,39,Zanobi Girolami,,,
del_sarto:662,PROD,42,49,picture,,,
del_sarto:662,PROD,55,62,figures,,,
del_sarto:662,PROD,95,100,story,,,
del_sarto:662,MYTH,104,128,"Joseph, the son of Jacob",,,
del_sarto:662,PER,116,119,son,,,
del_sarto:662,MYTH,123,128,Jacob,,,
del_sarto:662,PROD,226,234,painting,,,
del_sarto:661,PER,49,65,Baccio d' Agnolo,,,
del_sarto:661,TECH,78,84,fresco,,,
del_sarto:661,LOC,110,114,path,,,
del_sarto:661,GPE,118,130,Orsanmichele,,,
del_sarto:661,FAC,151,164,Mercato Nuovo,,,
del_sarto:661,MYTH,170,182,Annunciation,,,
del_sarto:661,PER,303,309,Andrea,,,
del_sarto:661,PROD,414,418,work,,,
