id,type,start_pos,end_pos,surface,wb_id,has_nested,is_nested
galasso_ferrarese:671,PER,26,31,Cosmè,,,
galasso_ferrarese:671,GPE,41,48,Ferrara,,,
galasso_ferrarese:671,PROD,50,55,Works,,,
galasso_ferrarese:671,FAC,94,100,chapel,,,
galasso_ferrarese:671,FAC,104,115,S. Domenico,,,
galasso_ferrarese:671,GPE,128,132,city,,,
galasso_ferrarese:671,PROD,142,155,folding-doors,,,
galasso_ferrarese:671,PROD,171,176,organ,,,
galasso_ferrarese:671,FAC,184,189,Duomo,,,
galasso_ferrarese:670,PER,5,14,strangers,,,
galasso_ferrarese:670,PROD,26,30,work,,,
galasso_ferrarese:670,GPE,36,40,city,,,
galasso_ferrarese:670,PER,63,72,craftsmen,,,
galasso_ferrarese:670,PER,109,112,man,,,
galasso_ferrarese:670,PROD,183,186,art,,,
galasso_ferrarese:670,PER,266,275,strangers,,,
galasso_ferrarese:670,GPE,302,306,city,,,
galasso_ferrarese:670,PER,477,487,foreigners,,,
galasso_ferrarese:670,PER,523,540,Galasso Ferrarese,,,
galasso_ferrarese:670,PER,554,584,Piero dal Borgo a San Sepolcro,,,
galasso_ferrarese:670,GPE,564,584,Borgo a San Sepolcro,,,
galasso_ferrarese:670,PER,601,605,Duke,,,
galasso_ferrarese:670,PER,601,616,Duke of Ferrara,,,
galasso_ferrarese:670,GPE,609,616,Ferrara,,,
galasso_ferrarese:670,PROD,625,630,works,,,
galasso_ferrarese:670,GPE,681,688,Ferrara,,,
galasso_ferrarese:670,PER,740,746,Piero',,,
galasso_ferrarese:670,PER,780,788,painting,,,
galasso_ferrarese:670,PER,840,846,master,,,
galasso_ferrarese:670,GPE,850,857,Ferrara,,,
galasso_ferrarese:670,GPE,944,950,Venice,,,
galasso_ferrarese:670,TECH,994,997,oil,,,
galasso_ferrarese:670,PROD,1041,1043,he,,,
galasso_ferrarese:670,PROD,1075,1082,figures,,,
galasso_ferrarese:670,FAC,1133,1141,churches,,,
galasso_ferrarese:670,GPE,1153,1160,Ferrara,,,
galasso_ferrarese:670,GPE,1183,1190,Bologna,,,
galasso_ferrarese:670,MYTH,1227,1243,Dominican friars,,,
galasso_ferrarese:670,MYTH,1237,1243,friars,,,
galasso_ferrarese:670,TECH,1259,1262,oil,,,
galasso_ferrarese:670,FAC,1265,1271,chapel,,,
galasso_ferrarese:670,FAC,1275,1286,S. Domenico,,,
galasso_ferrarese:670,PROD,1368,1376,pictures,,,
galasso_ferrarese:670,TECH,1380,1386,fresco,,,
galasso_ferrarese:670,FAC,1390,1484,"S. Maria del Monte, a seat of the Black Friars without Bologna, beyond the Porta di S. Mammolo",,,
galasso_ferrarese:670,LOC,1412,1416,seat,,,
galasso_ferrarese:670,MYTH,1424,1436,Black Friars,,,
galasso_ferrarese:670,GPE,1445,1452,Bologna,,,
galasso_ferrarese:670,FAC,1465,1484,Porta di S. Mammolo,,,
galasso_ferrarese:670,FAC,1500,1506,church,,,
galasso_ferrarese:670,FAC,1514,1527,Casa di Mezzo,,,
galasso_ferrarese:670,PROD,1585,1590,works,,,
galasso_ferrarese:670,TECH,1594,1600,fresco,,,
galasso_ferrarese:670,PROD,1627,1634,stories,,,
galasso_ferrarese:670,MYTH,1642,1655,Old Testament,,,
