id,type,start_pos,end_pos,surface,wb_id,has_nested,is_nested
gallo_young:672,PER,31,38,Princes,,,
gallo_young:672,MYTH,187,194,Fortune,,,
gallo_young:672,GPE,281,286,world,,,
gallo_young:672,PER,352,355,men,,,
gallo_young:672,PROD,366,371,works,,,
gallo_young:672,PER,386,393,Princes,,,
gallo_young:672,PER,404,411,persons,,,
gallo_young:672,FAC,462,471,buildings,,,
gallo_young:672,FAC,476,484,edifices,,,
gallo_young:672,PER,523,526,men,,,
gallo_young:672,PER,677,683,Romans,,,
gallo_young:672,FAC,814,823,buildings,,,
gallo_young:672,GPE,854,859,Roman,,,
gallo_young:672,PROD,933,941,patterns,,,
gallo_young:672,PER,1029,1036,Princes,,,
gallo_young:672,PER,1066,1076,Florentine,,,
gallo_young:672,PER,1066,1108,"Florentine architect, Antonio da San Gallo",,,
gallo_young:672,PER,1077,1086,architect,,,
gallo_young:672,PROD,1142,1146,Life,,,
gallo_young:672,PER,1182,1189,Antonio,,,
gallo_young:672,PER,1205,1208,son,,,
gallo_young:672,PER,1212,1260,"Bartolommeo Picconi of Mugello, a maker of casks",,,
gallo_young:672,GPE,1235,1242,Mugello,,,
gallo_young:672,PER,1246,1251,maker,,,
gallo_young:672,PROD,1255,1260,casks,,,
gallo_young:672,PER,1291,1297,joiner,,,
gallo_young:672,PROD,1300,1305,craft,,,
gallo_young:672,PER,1339,1344,uncle,,,
gallo_young:672,PER,1346,1367,Giuliano da San Gallo,,,
gallo_young:672,GPE,1358,1367,San Gallo,,,
gallo_young:672,GPE,1384,1388,Rome,,,
gallo_young:672,PER,1409,1416,brother,,,
gallo_young:672,PER,1417,1424,Antonio,,,
gallo_young:672,PER,1442,1450,Florence,,,
gallo_young:672,GPE,1460,1464,city,,,
gallo_young:672,PROD,1522,1525,art,,,
gallo_young:672,PROD,1529,1541,architecture,,,
gallo_young:672,PROD,1593,1596,art,,,
gallo_young:672,GPE,1681,1686,Italy,,,
gallo_young:672,PROD,1710,1715,works,,,
gallo_young:672,PER,1776,1784,Giuliano,,,
gallo_young:672,MAT,1837,1842,stone,,,
gallo_young:672,GPE,1856,1864,Florence,,,
gallo_young:672,PER,1870,1877,Antonio,,,
gallo_young:672,PER,1906,1915,architect,,,
gallo_young:672,PER,1906,1942,architect Bramante of Castel Durante,,,
gallo_young:672,GPE,1928,1942,Castel Durante,,,
gallo_young:672,PER,1977,1983,master,,,
gallo_young:672,PROD,2093,2100,designs,,,
gallo_young:673,PER,36,43,Antonio,,,
gallo_young:673,FAC,146,154,corridor,,,
gallo_young:673,FAC,179,186,ditches,,,
gallo_young:673,FAC,194,215,Castello di S. Angelo,,,
gallo_young:673,MYTH,206,215,S. Angelo,,,
gallo_young:673,MYTH,296,305,Julius II,,,
gallo_young:673,PROD,331,335,work,,,
gallo_young:674,MYTH,15,19,Pope,,,
gallo_young:674,MYTH,15,27,Pope Paul II,,,
gallo_young:674,FAC,33,39,Church,,,
gallo_young:674,FAC,33,64,Church of the Madonna of Loreto,,,
gallo_young:674,MYTH,47,54,Madonna,,,
gallo_young:674,GPE,58,64,Loreto,,,
gallo_young:674,MAT,117,122,brick,,,
gallo_young:674,FAC,123,128,piers,,,
gallo_young:674,PROD,139,143,work,,,
gallo_young:674,PER,269,287,Giuliano da Maiano,,,
gallo_young:674,GPE,281,287,Maiano,,,
gallo_young:674,MYTH,355,364,Sixtus IV,,,
gallo_young:674,MYTH,429,436,Clement,,,
gallo_young:674,FAC,566,572,arches,,,
gallo_young:674,FAC,580,587,tribune,,,
gallo_young:674,FAC,618,624,church,,,
gallo_young:674,FAC,665,676,foundations,,,
gallo_young:675,FAC,15,21,church,,,
gallo_young:675,MYTH,35,53,S. Maria di Loreto,,,
gallo_young:675,GPE,47,53,Loreto,,,
gallo_young:675,FAC,77,94,Macello de' Corbi,,,
gallo_young:675,FAC,105,121,Column of Trajan,,,
gallo_young:675,GPE,126,130,Rome,,,
gallo_young:675,PER,168,175,Antonio,,,
gallo_young:676,MYTH,12,16,Pope,,,
gallo_young:676,MYTH,12,24,Pope Clement,,,
gallo_young:676,PER,57,63,nephew,,,
gallo_young:676,PER,64,85,Alessandro de' Medici,,,
gallo_young:676,ORG,79,85,Medici,,,
gallo_young:676,PER,90,94,Duke,,,
gallo_young:676,PER,90,106,Duke of Florence,,,
gallo_young:676,GPE,98,106,Florence,,,
gallo_young:676,FAC,132,140,fortress,,,
gallo_young:676,GPE,149,153,city,,,
gallo_young:676,PER,155,161,Signor,,,
gallo_young:676,PER,155,180,Signor Alessandro Vitelli,,,
gallo_young:676,PER,182,207,Pier Francesco da Viterbo,,,
gallo_young:676,GPE,200,207,Viterbo,,,
gallo_young:676,PER,213,220,Antonio,,,
gallo_young:676,FAC,235,241,castle,,,
gallo_young:676,FAC,254,262,fortress,,,
gallo_young:676,FAC,285,290,Porta,,,
gallo_young:676,FAC,285,299,Porta al Prato,,,
gallo_young:676,GPE,294,299,Prato,,,
gallo_young:676,FAC,308,313,Porta,,,
gallo_young:676,FAC,308,324,Porta a S. Gallo,,,
gallo_young:676,GPE,316,324,S. Gallo,,,
gallo_young:676,FAC,388,397,structure,,,
gallo_young:677,MYTH,12,20,Cardinal,,,
gallo_young:677,MYTH,12,30,Cardinal Alborense,,,
gallo_young:677,FAC,78,84,church,,,
gallo_young:677,FAC,109,115,chapel,,,
gallo_young:677,MAT,119,125,marble,,,
gallo_young:677,FAC,134,138,tomb,,,
gallo_young:677,PER,195,202,Antonio,,,
gallo_young:677,MYTH,206,215,S. Jacopo,,,
gallo_young:677,FAC,206,231,S. Jacopo degli Spagnuoli,,,
gallo_young:677,FAC,239,245,chapel,,,
gallo_young:677,PER,323,343,Pellegrino da Modena,,,
gallo_young:677,GPE,337,343,Modena,,,
gallo_young:677,FAC,356,361,altar,,,
gallo_young:677,MYTH,385,393,S. James,,,
gallo_young:677,MAT,397,403,marble,,,
gallo_young:677,PER,416,432,Jacopo Sansovino,,,
