id,type,start_pos,end_pos,surface,coref_id
michelagnolo:712,ENT,87,93,Giotto,
michelagnolo:712,PRON,101,104,his,
michelagnolo:712,ENT,105,114,followers,
michelagnolo:712,ENT,131,136,world,
michelagnolo:712,PRON,255,260,their,
michelagnolo:712,PRON,327,332,their,
michelagnolo:712,ENT,353,359,Nature,
michelagnolo:712,PRON,457,461,they,
michelagnolo:712,ENT,522,537,Ruler of Heaven,
michelagnolo:712,ENT,531,537,Heaven,
michelagnolo:712,PRON,541,544,His,
michelagnolo:712,PRON,561,564,His,
michelagnolo:712,ENT,577,582,earth,
michelagnolo:712,ENT,679,684,fruit,
michelagnolo:712,ENT,727,730,men,
michelagnolo:712,PRON,826,828,us,
michelagnolo:712,ENT,883,888,earth,
michelagnolo:712,ENT,891,897,spirit,
michelagnolo:712,ENT,930,933,art,
michelagnolo:712,ENT,944,954,profession,
michelagnolo:712,PRON,986,993,himself,
michelagnolo:712,ENT,1055,1058,art,
michelagnolo:712,ENT,1062,1068,design,
michelagnolo:712,ENT,1153,1158,works,
michelagnolo:712,ENT,1162,1170,painting,
michelagnolo:712,PRON,1181,1183,it,
michelagnolo:712,ENT,1220,1229,sculpture,
michelagnolo:712,ENT,1242,1254,architecture,
michelagnolo:712,PRON,1255,1257,it,
michelagnolo:712,ENT,1280,1291,habitations,
michelagnolo:712,ENT,1377,1386,ornaments,
michelagnolo:712,PRON,1388,1390,He,
michelagnolo:712,PRON,1426,1429,him,
michelagnolo:712,ENT,1450,1460,philosophy,
michelagnolo:712,ENT,1474,1482,ornament,
michelagnolo:712,ENT,1492,1497,poesy,
michelagnolo:712,ENT,1519,1524,world,
michelagnolo:712,PRON,1538,1541,him,
michelagnolo:712,PRON,1553,1556,him,
michelagnolo:712,PRON,1560,1563,its,
michelagnolo:712,ENT,1594,1599,works,
michelagnolo:712,ENT,1653,1662,creatures,
michelagnolo:712,PRON,1673,1675,he,
michelagnolo:712,PRON,1698,1700,us,
michelagnolo:712,PRON,1748,1750,He,
michelagnolo:712,ENT,1805,1809,arts,
michelagnolo:712,ENT,1834,1843,sculpture,
michelagnolo:712,ENT,1852,1864,architecture,
michelagnolo:712,ENT,1869,1875,Tuscan,
michelagnolo:712,ENT,1876,1886,intellects,
michelagnolo:712,ENT,2054,2059,Italy,
michelagnolo:712,PRON,2061,2063,He,
michelagnolo:712,PRON,2078,2081,him,
michelagnolo:712,ENT,2082,2090,Florence,
michelagnolo:712,ENT,2119,2125,cities,
michelagnolo:712,PRON,2131,2134,his,
michelagnolo:712,ENT,2135,2142,country,
michelagnolo:712,PRON,2181,2186,their,
