id,type,start_pos,end_pos,surface,wb_id,has_nested,is_nested
michelagnolo:712,PER,87,93,Giotto,,,
michelagnolo:712,PER,105,114,followers,,,
michelagnolo:712,GPE,131,136,world,,,
michelagnolo:712,MYTH,353,359,Nature,,,
michelagnolo:712,MYTH,522,537,Ruler of Heaven,,,
michelagnolo:712,MYTH,531,537,Heaven,,,
michelagnolo:712,GPE,577,582,earth,,,
michelagnolo:712,PLANT,679,684,fruit,,,
michelagnolo:712,PER,727,730,men,,,
michelagnolo:712,PROD,930,933,art,,,
michelagnolo:712,PROD,944,954,profession,,,
michelagnolo:712,PROD,1055,1058,art,,,
michelagnolo:712,PROD,1062,1068,design,,,
michelagnolo:712,PROD,1153,1158,works,,,
michelagnolo:712,PROD,1162,1170,painting,,,
michelagnolo:712,PROD,1220,1229,sculpture,,,
michelagnolo:712,PROD,1242,1254,architecture,,,
michelagnolo:712,FAC,1280,1291,habitations,,,
michelagnolo:712,PROD,1377,1386,ornaments,,,
michelagnolo:712,PROD,1450,1460,philosophy,,,
michelagnolo:712,PROD,1474,1482,ornament,,,
michelagnolo:712,PROD,1492,1497,poesy,,,
michelagnolo:712,GPE,1519,1524,world,,,
michelagnolo:712,PROD,1594,1599,works,,,
michelagnolo:712,ANIM,1653,1662,creatures,,,
michelagnolo:712,PROD,1805,1809,arts,,,
michelagnolo:712,PROD,1834,1843,sculpture,,,
michelagnolo:712,PROD,1852,1864,architecture,,,
michelagnolo:712,GPE,1869,1875,Tuscan,,,
michelagnolo:712,PER,1876,1886,intellects,,,
michelagnolo:712,GPE,2054,2059,Italy,,,
michelagnolo:712,GPE,2082,2090,Florence,,,
michelagnolo:712,GPE,2119,2125,cities,,,
michelagnolo:712,GPE,2135,2142,country,,,
michelagnolo:712,PER,2258,2266,citizens,,,
michelagnolo:712,PER,2268,2291,MICHELAGNOLO BUONARROTI,,,
michelagnolo:712,PROD,2293,2308,THE HOLY FAMILY,,,
michelagnolo:712,MYTH,2297,2308,HOLY FAMILY,,,
michelagnolo:712,PER,2376,2379,son,,,
michelagnolo:712,GPE,2394,2403,Casentino,,,
michelagnolo:712,PER,2483,2489,mother,,,
michelagnolo:712,PER,2494,2629,"Lodovico di Leonardo Buonarroti Simoni, a descendant, so it is said, of the most noble and most ancient family of the Counts of Canossa",,,
michelagnolo:712,PER,2536,2546,descendant,,,
michelagnolo:712,ORG,2598,2604,family,,,
michelagnolo:712,ORG,2612,2629,Counts of Canossa,,,
michelagnolo:712,PER,2639,2647,Lodovico,,,
michelagnolo:712,PROD,2649,2650,I,,,
michelagnolo:712,PER,2677,2684,Podestà,,,
michelagnolo:712,GPE,2692,2700,township,,,
michelagnolo:712,GPE,2692,2710,township of Chiusi,,,
michelagnolo:712,GPE,2715,2722,Caprese,,,
michelagnolo:712,GPE,2733,2751,Sasso della Vernia,,,
michelagnolo:712,MYTH,2759,2769,S. Francis,,,
michelagnolo:712,MYTH,2783,2791,Stigmata,,,
michelagnolo:712,MYTH,2800,2817,Diocese of Arezzo,,,
michelagnolo:712,GPE,2811,2817,Arezzo,,,
michelagnolo:712,PER,2821,2824,son,,,
michelagnolo:712,PER,2931,2943,Michelagnolo,,,
michelagnolo:712,PROD,3147,3154,figures,,,
michelagnolo:712,MYTH,3162,3171,horoscope,,,
michelagnolo:712,MYTH,3187,3194,Mercury,,,
michelagnolo:712,MYTH,3199,3204,Venus,,,
michelagnolo:712,FAC,3219,3224,house,,,
michelagnolo:712,MYTH,3228,3235,Jupiter,,,
michelagnolo:712,PROD,3283,3286,art,,,
michelagnolo:712,PROD,3351,3356,works,,,
michelagnolo:712,PER,3414,3421,Podestà,,,
michelagnolo:712,PER,3423,3431,Lodovico,,,
michelagnolo:712,GPE,3444,3452,Florence,,,
michelagnolo:712,GPE,3472,3479,village,,,
michelagnolo:712,GPE,3472,3493,village of Settignano,,,
michelagnolo:712,GPE,3533,3537,city,,,
michelagnolo:712,FAC,3554,3558,farm,,,
michelagnolo:712,PER,3584,3595,forefathers,,,
michelagnolo:712,MAT,3622,3627,stone,,,
michelagnolo:712,FAC,3647,3655,quarries,,,
michelagnolo:712,MAT,3659,3669,grey-stone,,,
michelagnolo:712,PER,3707,3720,stone-cutters,,,
michelagnolo:712,PER,3725,3734,sculptors,,,
michelagnolo:713,PER,72,106,Lodovico di Leonardo di Buonarrota,,,
michelagnolo:713,PER,84,106,Leonardo di Buonarrota,,,
michelagnolo:713,PER,115,127,Michelagnolo,,,
michelagnolo:713,PER,131,134,son,,,
michelagnolo:713,PER,140,148,Domenico,,,
michelagnolo:713,PER,153,180,David di Tommaso di Currado,,,
michelagnolo:713,PER,260,272,Michelagnolo,,,
michelagnolo:713,PER,307,314,persons,,,
michelagnolo:713,PER,417,424,persons,,,
michelagnolo:713,PER,472,480,Domenico,,,
michelagnolo:713,PER,485,490,David,,,
michelagnolo:714,MYTH,47,51,Pope,,,
michelagnolo:714,MYTH,47,60,Pope Paul III,,,
michelagnolo:714,EVE,83,91,election,,,
michelagnolo:714,MYTH,95,99,Pope,,,
michelagnolo:714,MYTH,95,110,Pope Julius III,,,
michelagnolo:714,MYTH,112,120,Cardinal,,,
michelagnolo:714,MYTH,112,128,Cardinal Farnese,,,
michelagnolo:714,FAC,153,157,tomb,,,
michelagnolo:714,PER,177,184,kinsman,,,
michelagnolo:714,MYTH,185,189,Pope,,,
michelagnolo:714,MYTH,185,194,Pope Paul,,,
michelagnolo:714,MYTH,210,223,Fra Guglielmo,,,
michelagnolo:714,FAC,253,262,S. Pietro,,,
michelagnolo:714,FAC,280,284,arch,,,
michelagnolo:714,FAC,296,302,church,,,
michelagnolo:714,FAC,316,323,tribune,,,
michelagnolo:714,FAC,346,351,floor,,,
michelagnolo:714,FAC,359,365,church,,,
michelagnolo:715,PER,17,20,men,,,
michelagnolo:715,PER,60,72,Michelagnolo,,,
michelagnolo:715,PROD,89,94,story,,,
michelagnolo:715,MYTH,89,104,story of Judith,,,
michelagnolo:715,MYTH,98,104,Judith,,,
michelagnolo:715,MYTH,164,174,Holofernes,,,
