id,type,start_pos,end_pos,surface,wb_id,has_nested,is_nested
nanni:700,PER,0,23,"Jacopo, called L'Indaco",,,
nanni:700,PER,47,71,Domenico del Ghirlandajo,,,
nanni:700,GPE,91,95,Rome,,,
nanni:700,PER,101,113,Pinturicchio,,,
nanni:700,PROD,187,192,works,,,
nanni:700,PROD,300,305,works,,,
nanni:700,PER,375,381,fellow,,,
nanni:700,PER,388,393,lover,,,
nanni:700,PER,615,624,Christian,,,
nanni:700,PER,658,670,Michelagnolo,,,
nanni:700,PER,686,695,craftsman,,,
nanni:700,PER,930,933,man,,,
nanni:700,PER,935,941,Jacopo,,,
nanni:700,GPE,967,971,Rome,,,
nanni:700,GPE,1020,1024,Rome,,,
nanni:700,GPE,1068,1072,city,,,
nanni:700,FAC,1087,1093,chapel,,,
nanni:700,FAC,1130,1151,Church of S. Agostino,,,
nanni:700,FAC,1159,1163,door,,,
nanni:700,FAC,1171,1177,façade,,,
nanni:700,FAC,1186,1194,vaulting,,,
nanni:700,FAC,1204,1210,chapel,,,
nanni:700,MYTH,1219,1227,Apostles,,,
nanni:700,MYTH,1219,1253,Apostles receiving the Holy Spirit,,,
nanni:700,MYTH,1242,1253,Holy Spirit,,,
nanni:700,PROD,1285,1292,stories,,,
nanni:700,MYTH,1296,1302,Christ,,,
nanni:700,PER,1321,1326,Peter,,,
nanni:700,PER,1331,1337,Andrew,,,
nanni:700,PROD,1349,1353,nets,,,
nanni:700,MYTH,1376,1408,Feast of Simon and the Magdalene,,,
nanni:700,MYTH,1385,1390,Simon,,,
nanni:700,MYTH,1399,1408,Magdalene,,,
nanni:700,FAC,1430,1437,ceiling,,,
nanni:700,MAT,1441,1447,planks,,,
nanni:700,MAT,1452,1457,beams,,,
nanni:700,PROD,1491,1496,panel,,,
nanni:700,FAC,1509,1515,chapel,,,
nanni:700,MAT,1537,1540,oil,,,
nanni:700,MYTH,1547,1558,Dead Christ,,,
nanni:700,MYTH,1552,1558,Christ,,,
nanni:700,FAC,1621,1636,Trinità at Rome,,,
nanni:700,GPE,1632,1636,Rome,,,
nanni:700,MYTH,1693,1716,Coronation of Our  Lady,,,
nanni:700,MYTH,1707,1716,Our  Lady,,,
nanni:701,GPE,16,20,city,,,
nanni:701,PER,49,53,Duke,,,
nanni:701,PER,49,64,Duke Alessandro,,,
nanni:701,FAC,113,117,arch,,,
nanni:701,PROD,129,136,figures,,,
nanni:701,TECH,140,146,relief,,,
nanni:701,FAC,155,159,gate,,,
nanni:701,FAC,167,186,Palazzo de' Signori,,,
nanni:701,PER,224,232,painters,,,
nanni:701,PROD,264,269,works,,,
nanni:701,PER,296,300,Duke,,,
nanni:701,PROD,306,313,scenery,,,
nanni:701,PROD,322,336,representation,,,
nanni:701,PROD,342,346,play,,,
nanni:702,GPE,27,31,Rome,,,
nanni:702,PER,53,60,Emperor,,,
nanni:702,PER,53,70,Emperor Charles V,,,
nanni:702,PROD,104,111,figures,,,
nanni:702,MAT,115,119,clay,,,
nanni:702,PROD,127,131,coat,,,
nanni:702,PROD,135,139,arms,,,
nanni:702,TECH,143,149,fresco,,,
nanni:702,PER,158,170,Roman people,,,
nanni:702,GPE,178,189,Campidoglio,,,
nanni:704,PROD,13,17,work,,,
nanni:704,PER,58,64,master,,,
nanni:704,PROD,108,113,study,,,
nanni:704,TECH,125,131,stucco,,,
nanni:704,PER,140,147,Duchess,,,
nanni:704,PER,140,169,Duchess Margherita of Austria,,,
nanni:704,GPE,162,169,Austria,,,
nanni:704,FAC,177,183,Palace,,,
nanni:704,FAC,177,205,Palace of the Medici at Rome,,,
nanni:704,ORG,191,197,Medici,,,
nanni:704,GPE,201,205,Rome,,,
nanni:704,MAT,351,357,silver,,,
nanni:704,PER,363,371,L'Indaco,,,
nanni:704,PROD,384,388,work,,,
nanni:704,TECH,394,400,stucco,,,
