id,type,start_pos,end_pos,surface,coref_id
palma:722,ENT,72,77,works,
palma:722,ENT,106,109,man,
palma:722,ENT,117,120,art,
palma:722,PRON,126,128,he,
palma:722,ENT,180,189,craftsmen,
palma:722,ENT,194,200,judges,
palma:722,PRON,228,232,them,
palma:722,PRON,273,277,them,
palma:722,ENT,304,313,craftsman,
palma:722,PRON,327,331,them,
palma:722,PRON,341,343,we,
palma:722,ENT,372,380,Venetian,
palma:722,ENT,372,386,Venetian Palma,
palma:722,ENT,393,399,master,
palma:722,ENT,461,469,painting,
palma:722,PRON,527,534,himself,
palma:722,ENT,566,569,art,
palma:722,PRON,600,603,his,
palma:722,PRON,646,650,them,
palma:722,PRON,660,664,they,
palma:722,ENT,727,730,men,
palma:722,ENT,732,760,JACOPO PALMA (PALMA VECCHIO),
palma:722,ENT,762,772,S. BARBARA,
palma:722,ENT,825,830,Palma,
palma:722,PRON,860,863,his,
palma:722,ENT,930,936,design,
palma:722,PRON,942,944,he,
palma:722,ENT,1017,1023,Venice,
palma:722,ENT,1034,1042,pictures,
palma:722,ENT,1047,1056,portraits,
palma:722,PRON,1062,1064,he,
palma:722,ENT,1086,1095,gentlemen,
palma:722,PRON,1110,1111,I,
palma:722,PRON,1142,1143,I,
palma:722,PRON,1163,1169,myself,
palma:722,ENT,1198,1210,altar-pieces,
palma:722,ENT,1220,1224,head,
palma:722,PRON,1230,1231,I,
palma:722,ENT,1285,1297,altar-pieces,
palma:722,ENT,1313,1349,"S. Antonio, near Castello, at Venice",
palma:722,ENT,1330,1338,Castello,
palma:722,ENT,1343,1349,Venice,
palma:722,ENT,1367,1390,"S. Elena, near the Lido",
palma:722,ENT,1386,1390,Lido,
palma:722,ENT,1402,1407,Monks,
palma:722,ENT,1402,1424,Monks of Monte Oliveto,
palma:722,ENT,1411,1424,Monte Oliveto,
palma:722,ENT,1478,1488,high-altar,
palma:722,ENT,1497,1503,church,
palma:722,PRON,1505,1507,he,
palma:722,ENT,1520,1524,Magi,
palma:722,ENT,1555,1561,Christ,
palma:722,ENT,1585,1592,figures,
palma:722,ENT,1615,1620,heads,
palma:722,ENT,1661,1670,draperies,
palma:722,ENT,1730,1737,figures,
