id,start_pos,end_pos,surface,iconclass_ID
ridolfo:741,1625,1650,disputation of that Saint,
ridolfo:741,1838,1846,S. Lucia,
ridolfo:741,1870,1894,with the head of a friar,
ridolfo:745,91,113,Coronation of Our Lady,
ridolfo:745,134,170,Madonna surrounded by certain Saints,
ridolfo:746,293,315,stories of S. Benedict,
ridolfo:746,447,613,"same Saint, seated at table with two Angels beside him, is waiting for bread to be sent for him into the grotto by Romanus, but the Devil has cut the cord with stones",
ridolfo:746,623,670,same Saint investing a young man with the habit,
ridolfo:747,228,257,stories of the life of Joseph,
ridolfo:747,316,338,Visitation of Our Lady,
