id,type,start_pos,end_pos,surface,wb_id,has_nested,is_nested
zuccaro:759,PER,0,15,Francesco Maria,,,
zuccaro:759,PER,22,26,Duke,,,
zuccaro:759,PER,22,36,Duke of Urbino,,,
zuccaro:759,GPE,30,36,Urbino,,,
zuccaro:759,GPE,60,114,"township of Sant'Agnolo in Vado, a place in that State",,,
zuccaro:759,GPE,95,100,place,,,
zuccaro:759,GPE,109,114,State,,,
zuccaro:759,PER,165,191,painter Ottaviano Zucchero,,,
zuccaro:759,PER,200,205,child,,,
zuccaro:759,PER,234,240,Taddeo,,,
zuccaro:759,PER,248,251,boy,,,
zuccaro:759,PER,321,327,father,,,
zuccaro:759,PROD,390,396,design,,,
zuccaro:759,PER,423,426,son,,,
zuccaro:759,PER,489,495,master,,,
zuccaro:759,PER,540,549,Ottaviano,,,
zuccaro:759,PER,566,580,Pompeo da Fano,,,
zuccaro:759,GPE,576,580,Fano,,,
zuccaro:759,PER,604,610,friend,,,
zuccaro:759,PER,630,637,painter,,,
zuccaro:759,PER,639,645,Pompeo,,,
zuccaro:759,PROD,648,653,works,,,
zuccaro:759,PER,667,673,Taddeo,,,
zuccaro:759,GPE,713,724,Sant'Agnolo,,,
zuccaro:759,GPE,774,777,his,,,
zuccaro:759,PER,778,784,father,,,
zuccaro:759,PER,957,963,father,,,
zuccaro:759,PER,993,997,sons,,,
zuccaro:759,PER,1105,1111,father,,,
zuccaro:759,MYTH,1115,1117,he,,,
zuccaro:759,GPE,1180,1184,Rome,,,
zuccaro:759,PER,1317,1324,persons,,,
zuccaro:759,PER,1399,1428,"Francesco, called Sant'Agnolo",,,
zuccaro:759,PROD,1460,1470,grotesques,,,
zuccaro:759,PER,1477,1492,Perino del Vaga,,,
zuccaro:759,PER,1569,1576,kinsman,,,
zuccaro:759,PER,1637,1646,Francesco,,,
zuccaro:759,PER,1839,1842,boy,,,
zuccaro:759,GPE,1937,1941,Rome,,,
zuccaro:759,FAC,1992,1996,shop,,,
zuccaro:760,PER,34,40,Taddeo,,,
zuccaro:760,PROD,59,63,work,,,
zuccaro:760,GPE,95,99,Rome,,,
zuccaro:760,PER,142,150,Polidoro,,,
zuccaro:760,PER,152,160,Maturino,,,
zuccaro:760,PER,162,189,Vincenzio da  San Gimignano,,,
zuccaro:760,GPE,176,189,San Gimignano,,,
zuccaro:760,PER,195,215,Baldassarre da Siena,,,
zuccaro:760,GPE,210,215,Siena,,,
zuccaro:760,PROD,240,245,works,,,
zuccaro:760,PER,280,286,Taddeo,,,
zuccaro:760,PER,321,324,man,,,
zuccaro:761,PER,0,7,Maestro,,,
zuccaro:761,PER,0,41,"Maestro Mattivolo, the Master of the Post",,,
zuccaro:761,PER,23,29,Master,,,
zuccaro:761,ORG,37,41,Post,,,
zuccaro:761,MYTH,65,69,Pope,,,
zuccaro:761,MYTH,65,76,Pope Julius,,,
zuccaro:761,FAC,91,103,Campo Marzio,,,
zuccaro:761,FAC,149,154,house,,,
zuccaro:761,PER,178,184,Taddeo,,,
zuccaro:761,FAC,198,204,façade,,,
zuccaro:761,TECH,208,219,chiaroscuro,,,
zuccaro:761,PER,227,233,Taddeo,,,
zuccaro:761,PROD,255,262,stories,,,
zuccaro:761,MYTH,266,300,"Mercury, the Messenger of the Gods",,,
zuccaro:761,PER,279,288,Messenger,,,
zuccaro:761,MYTH,296,300,Gods,,,
zuccaro:761,PROD,382,389,designs,,,
zuccaro:762,PROD,8,12,work,,,
zuccaro:762,FAC,37,45,vaulting,,,
zuccaro:762,PER,47,53,Taddeo,,,
zuccaro:762,MYTH,66,83,"four Evangelists,",,,
zuccaro:762,MYTH,88,94,Sibyls,,,
zuccaro:762,MYTH,100,108,Prophets,,,
zuccaro:762,PROD,134,141,stories,,,
zuccaro:762,MYTH,145,157,Jesus Christ,,,
zuccaro:762,MYTH,169,186,Virgin His Mother,,,
zuccaro:763,PER,10,16,Taddeo,,,
zuccaro:763,FAC,32,38,Church,,,
zuccaro:763,FAC,32,66,Church of S. Ambrogio de' Milanesi,,,
zuccaro:763,MYTH,42,53,S. Ambrogio,,,
zuccaro:763,PER,58,66,Milanesi,,,
zuccaro:763,FAC,87,97,high-altar,,,
zuccaro:763,PROD,104,111,stories,,,
zuccaro:763,PROD,119,123,life,,,
zuccaro:763,MYTH,132,137,Saint,,,
zuccaro:763,TECH,151,157,fresco,,,
zuccaro:763,PROD,185,191,frieze,,,
zuccaro:763,PER,202,206,boys,,,
zuccaro:763,PER,212,217,women,,,
zuccaro:763,PROD,247,254,figures,,,
zuccaro:763,PROD,268,272,work,,,
zuccaro:764,PER,12,18,Taddeo,,,
zuccaro:764,FAC,49,70,Sala de' Palafrenieri,,,
zuccaro:764,MYTH,77,85,Apostles,,,
zuccaro:764,PER,92,101,Raffaello,,,
zuccaro:764,MAT,133,141,terretta,,,
zuccaro:764,MYTH,186,193,Paul IV,,,
zuccaro:764,PER,267,274,brother,,,
zuccaro:764,PER,275,283,Federigo,,,
