id,start_pos,end_pos,type,surface,wb_id,has_nested,is_nested,named_entity

1,10,20,PER,Buonarroti,Q5592,,,1

1,34,53,PER,Fra Giovanni Agnolo,Q27040,,,1

1,75,79,PER,Pope,Q19546,,,1

1,131,138,PER,General,Q103163,,1,1

1,131,159,PER,General of the Servite Order,NIL,1,,1

1,146,159,ORG,Servite Order,Q615923,,1,1

2,12,16,LOC,Rome,Q220,,,1

2,28,33,MISC,friar,Q548320,,,

2,52,57,MISC,rooms,Q180516,,,

2,65,74,LOC,Belvedere,Q2547111,,,1

2,105,109,PER,Pope,Q19546,,,1

2,144,152,MISC,left arm,Q24206676,,,

2,173,183,WORK_OF_ART,the Apollo,Q619135,1,,1

2,177,183,MISC,Apollo,Q37340,,1,1

2,192,201,MISC,right arm,Q24206677,,,

2,205,216,WORK_OF_ART,the Laocoon,Q465762,1,,1

2,209,216,PER,Laocoon,Q22878,1,,1

2,224,231,MISC,statues,Q179700,,,

2,294,306,WORK_OF_ART,the Hercules,NIL,1,,1

2,298,306,PER,Hercules,Q240679,0,,1

3,45,51,MISC,school,Q3914,,,

3,59,68,MISC,sculptors,Q1281618,,,

3,69,77,PER,Giovanni,Q314932,,,1

3,82,97,PER,Niccola of Pisa,Q364413,,,1

3,99,107,PER,Agostino,Q395759,,,1

3,112,118,PER,Agnolo,Q374428,,,1

3,120,129,MISC,sculptors,Q1281618,,,

3,133,138,LOC,Siena,Q2751,,,1

3,185,189,MISC,Life,Q3,,,1

4,50,56,MISC,father,Q7565,,,

4,61,67,MISC,mother,Q7560,,,

4,71,76,LOC,Siena,Q2751,,,1

4,88,99,MISC,forefathers,Q402152,,,

4,105,115,MISC,architects,Q42973,,,

4,157,161,MISC,rule,Q216200,,,

4,169,182,PER,three Consuls,NIL,,,1

4,215,226,LOC,Fontebranda,Q3747505,,,1

4,282,291,ORG,Consulate,NIL,,,1

4,297,310,LOC,Customs-house,Q182290,,,1

4,319,323,MISC,city,Q515,,,

4,334,343,MISC,buildings,Q41176,,,

5,22,26,MISC,wife,Q188830,,,

5,30,50,PER,Francesco Tornabuoni,Q56395996,,,1

5,63,73,MISC,childbirth,Q34581,,,

5,83,90,MISC,husband,Q212878,,,

5,144,149,MISC,death,Q4,,,

5,204,208,MISC,tomb,Q381885,,,

5,220,226,PER,Andrea,Q183458,,,1

5,244,248,MISC,slab,Q95969461,,,

5,256,267,MISC,sarcophagus,Q48634,,,

5,271,277,MISC,marble,Q40861,,,

5,282,286,MISC,lady,Q467,,,

5,318,325,MISC,passing,Q4,,,

5,339,343,MISC,life,Q3,,,

5,386,393,MISC,Virtues,Q3556272,,,1

5,441,445,MISC,work,Q838948,,,

5,470,476,MISC,marble,Q40861,,,

5,487,491,MISC,tomb,Q381885,,,

5,510,517,LOC,Minerva,Q823685,,,1

6,24,32,LOC,Florence,Q2044,,,1

6,38,43,MISC,money,Q1368,,,

6,45,49,MISC,fame,Q1519566,,,

6,55,61,MISC,honour,Q618779,,,

6,91,98,WORK_OF_ART,a David,Q2415504,1,,1

6,93,98,PER,David,Q41370,,1,1

6,102,108,MISC,bronze,Q34095,,,

6,184,190,LOC,Palace,,,,1

6,241,250,MISC,staircase,Q12511,,,

6,258,268,WORK_OF_ART,the Catena,Q107381420,,,1

7,21,30,MISC,right arm,Q24206677,,,

7,34,53,WORK_OF_ART,the ancient Laocoon,Q465762,1,,1

7,102,108,PER,Baccio,Q358348,,,1

7,138,141,MISC,wax,Q124695,,,

7,174,178,MISC,work,Q6958747,,,

7,186,193,MISC,muscles,Q7365,,,

7,198,203,MISC,force,Q11402,,,

7,212,218,MISC,manner,Q367293,,,

7,271,277,PER,Baccio,Q358348,,,1

7,293,296,MISC,art,Q735,,,

7,307,312,MISC,model,Q1979154,,,

7,329,336,MISC,pattern,Q2083958,,,

7,358,361,MISC,arm,Q43471,,,

7,373,380,WORK_OF_ART,Laocoon,NIL,,,1

8,123,127,PER,King,Q116,,,1

8,145,153,LOC,Florence,Q2044,,,1

8,162,198,PER,Cardinal Silvio Passerino of Cortona,Q1084763,1,,1

8,191,198,LOC,Cortona,Q52080,,1,1

8,204,210,PER,Legate,Q740369,,,1

8,214,222,LOC,Florence,Q2044,,,1

8,251,255,MISC,city,Q515,,,

8,297,304,WORK_OF_ART,Laocoon,NIL,,,1

8,312,316,MISC,head,Q23640,,,

8,331,336,MISC,court,Q309250,,,

8,344,364,LOC,Palace of the Medici,Q911047,1,,1

8,358,364,ORG,Medici,Q170022,,1,1

9,0,8,PER,Giuliano,Q2578459,,,1

9,29,53,PER,Cardinal Innocenzio Cibo,Q1386991,,,1

9,56,60,MISC,copy,Q23013246,,,

9,68,75,MISC,picture,Q478798,,,

9,85,104,PER,Raffaello da Urbino,Q5597,1,,1

9,126,199,WORK_OF_ART,"portraits of Pope Leo, Cardinal Giulio de' Medici, and Cardinal de' Rossi",Q2610729,1,,1

9,139,147,PER,Pope Leo,Q49237,,1,1

9,149,175,PER,Cardinal Giulio de' Medici,Q83159,,1,1

9,181,199,PER,Cardinal de' Rossi,Q733662,,1,1

9,217,235,PER,Cardinal de' Rossi,Q733662,,,1

9,251,255,MISC,head,Q23640,,,

9,259,272,PER,Cardinal Cibo,Q1386991,,,1

10,36,63,WORK_OF_ART,portrait of Cencio Guasconi,NIL,1,,1

10,48,63,PER,Cencio Guasconi,NIL,,1,1

10,135,157,LOC,villa of Baccio Valori,NIL,1,,1

10,144,157,PER,Baccio Valori,Q3181432,,1,1

10,162,177,LOC,Olmo a Castello,NIL,1,,1

10,169,177,LOC,Castello,Q2163936,,1,1

10,181,191,MISC,tabernacle,Q1670363,,,

10,195,201,MISC,fresco,Q134194,,,

11,47,50,MISC,man,Q8441,,,

11,52,60,PER,Giuliano,Q2578459,,,1

11,116,146,LOC,Church of S. Marco at Florence,Q1152774,1,,1

11,138,146,LOC,Florence,,,1,1

12,0,5,PER,Marco,Q2559941,,,

12,27,40,MISC,works in oils,Q174705,,,

12,48,54,MISC,fresco,Q134194,,,

12,103,106,MISC,man,Q8441,,,

12,135,138,MISC,art,Q735,,,

12,147,154,MISC,country,Q6256,,,

13,16,21,MISC,proof,Q516021,,,

13,29,33,MISC,work,Q838948,,,

13,54,60,LOC,Aversa,Q19279,,,1

13,85,91,LOC,Naples,Q2634,,,1

13,114,127,MISC,panel-picture,Q55439,,,

13,131,134,MISC,oil,Q42962,,,

13,143,153,MISC,high-altar,Q1621649,,,

13,161,182,LOC,Church of S. Agostino,NIL,1,,1

13,208,213,MISC,frame,,,,

13,227,235,MISC,pictures,Q478798,,,

13,249,255,MISC,scenes,Q88392887,,,

13,260,267,MISC,figures,Q207961,,,

13,293,305,PER,S. Augustine,Q95139,,1,1

13,325,333,MISC,heretics,NIL,,,

13,351,357,PER,Christ,Q642420,,,1

13,362,368,PER,Saints,Q43115,,,1

14,4,12,MISC,pictures,Q478798,,,

14,16,29,PER,Maestro Marco,Q2559941,,,1

15,40,45,PER,Piero,Q280851,,,1

15,64,74,MISC,commission,Q760089,,,

15,81,86,MISC,panel,Q55439,,,

15,94,122,LOC,Church of the Servite Friars,Q2287001,1,,1

15,108,122,ORG,Servite Friars,Q615923,,1,1

15,131,152,LOC,Chapel of the Tedaldi,NIL,1,,1

15,145,152,ORG,Tedaldi,NIL,,1,1

15,174,181,MISC,garment,Q11460,,,

15,190,196,MISC,pillow,Q99895,,,

15,200,210,PER,S. Filippo,Q141900,,,1

15,214,221,MISC,brother,Q548320,,,

15,231,236,ORG,Order,Q615923,,,1

15,258,266,PER,Our Lady,Q345,,,1

15,293,299,MISC,ground,Q21152267,,,

15,305,313,MISC,pedestal,Q12014132,,,

15,333,337,MISC,head,Q23640,,,

15,346,352,MISC,Heaven,Q4489450,,,1

15,361,365,MISC,book,Q571,,,

15,373,377,MISC,hand,Q33767,,,

