id,sentence
1,"Whereupon Buonarroti, remembering Fra Giovanni Agnolo, proposed him to the Pope, and his Holiness demanded him in a brief from the General of the Servite Order, who gave him up because he could not do otherwise, and very unwillingly."
2,"Arriving in Rome, then, the friar, labouring in the rooms of the Belvedere that were given to him by the Pope to live and work in, restored the left arm that was wanting to the Apollo and the right arm of the Laocoon, which statues are in that place, and likewise gave directions for restoring the Hercules."
3,"Among others who exercised themselves in the school of the sculptors Giovanni and Niccola of Pisa, Agostino and Agnolo, sculptors of Siena, of whom we are at present about to write the Life, became very excellent for those times."
4,"These, according to what I find, were born from a father and mother of Siena, and their forefathers were architects, seeing that in the year 1190, under the rule of the three Consuls, they brought to perfection the Fontebranda, and afterwards, in the following year, under the same Consulate, the Customs-house of that city and other buildings."
5,"Now in those days the wife of Francesco Tornabuoni had died in childbirth, and her husband, who had loved her much, and wished to honour her in death to the utmost of his power, entrusted the making of a tomb for her to Andrea, who carved on a slab over a sarcophagus of marble the lady herself, her delivery, and her passing to the other life; and beside this he made three figures of Virtues, which were held very beautiful, for the first work that he had executed in marble; and this tomb was set up in the Minerva."
6,"Having then returned to Florence with money, fame, and honour, he was commissioned to make a David of bronze, two braccia and a half in height, which, when finished, was placed in the Palace, with great credit to himself, at the head of the staircase, where the Catena was."
7,"He also restored the right arm of the ancient Laocoon, which had been broken off and never found, and Baccio made one of the full size in wax, which so resembled the ancient work in the muscles, in force, and in manner, and harmonized with it so well, that it showed how Baccio understood his art; and this model served him as a pattern for making the whole arm of his own Laocoon."
8,"This work seemed to his Holiness to be so good, that he changed his mind and resolved to send other ancient statues to the King, and this one to Florence; and to Cardinal Silvio Passerino of Cortona, his Legate in Florence, who was then governing the city, he sent orders that he should place the Laocoon at the head of the second court in the Palace of the Medici., This was in the year 1525."
9,"Giuliano afterwards made for Cardinal Innocenzio Cibo a copy of the picture in which Raffaello da Urbino had formerly painted portraits of Pope Leo, Cardinal Giulio de' Medici, and Cardinal de' Rossi; but in place of Cardinal de' Rossi he painted the head of Cardinal Cibo, in which he acquitted himself very well, and he executed the whole picture with great diligence and labour."
10,"At that time, likewise, he took the portrait of Cencio Guasconi, who was then a very beautiful youth. And after this he painted at the villa of Baccio Valori, at Olmo a Castello, a tabernacle in fresco, which, although it had not much design, was well and very carefully executed."
11,"Finally, after having always been that kind of man, Giuliano died at the age of seventy-five, and was buried in the Church of S. Marco at Florence, in the year 1556."
12,"Marco executed innumerable works in oils and in fresco, and he proved himself more able than any other man who was practising the same art in that country in his day."
13,"Of this we have proof in the work that he executed at Aversa, ten miles distant from Naples; and, above all, in a panel-picture in oils on the high-altar of the Church of S. Agostino, with a large ornamental frame, and various pictures painted with scenes and figures, in which he represented S. Augustine disputing with the heretics, with stories of Christ and Saints in various attitudes both above and at the sides."
14,The pictures of Maestro Marco were executed by him between 1508 and 1542.
15,"But to return to the art and actions of Piero; he was given the commission for a panel in the Church of the Servite Friars, in the Chapel of the Tedaldi, where they keep the garment and the pillow of S. Filippo, a brother of their Order; wherein he depicted Our Lady standing, raised from the ground on a pedestal, and uplifting her head towards Heaven, with a book in her hand, but without her Son; and above her is the Holy Spirit, bathing her with light."
16,"Piero painted, for the elder Filippo Strozzi, a picture with little figures of Perseus delivering Andromeda from the Monster, in which are some very beautiful things."
17,"He painted, also, a picture containing a nude Venus, with a Mars, likewise nude, who is sleeping in a meadow full of flowers, and all around are various Loves, who are carrying away, some here, some there, the helmet, armlets, and other pieces of armour of Mars; there is a grove of myrtle, with a Cupid that is afraid of a rabbit, and there are also the Doves of Venus and the other emblems of Love."
18,"Of Jacopo del Conte, a Florentine, who like those named above dwells in Rome, enough will have been said, what with this and other places, after certain other particulars have been given here."
19,"This Jacopo, then, having been much inclined from his earliest youth to portraying from the life, has desired that this should be his principal profession, although on occasions he has executed altar-pictures and works in fresco in some numbers, both in Rome and without."
20,"Of his portraits—not to speak of them all, which would make a very long story—I shall say only that he has portrayed all the Pontiffs that there have been from Pope Paul III to the present day, and all the lords and ambassadors of importance who have been at that Court, and likewise the military captains and great men of the house of Colonna and of the Orsini, Signor Piero Strozzi, and an infinite number of Bishops, Cardinals, and other great prelates and lords, not to speak of many men of letters and other men of quality; all which has caused him to acquire fame, honour, and profit in Rome, so that he lives honourably and much at his ease with his family in that city."
