id,lang,surface,title,label,redirect,disambiguation,anchor_text
Q223194,en,Faun,1,,,,
Q223194,en,faun,,1,,,
Q223194,en,Fauns,,1,,,
Q223194,en,Faune,,,1,,
Q223194,en,fauns,,,,,1
Q223194,en,Fauno,,,,,1
Q223194,en,Pan,,,,,1
Q223194,en,Greco-Roman mythological definition,,,,,1
Q223194,en,Roman mythology,,,,,1
Q223194,en,Pans,,,,,1
Q223194,it,Fauno,1,,,,
Q223194,it,Fauni,,1,,,
Q223194,it,Faunalia,,,,,1
Q223194,it,Fauno Pan,,,,,1
Q223194,it,fauni,,,,,1
Q223194,it,Antro del Fauno,,,,,1
Q223194,it,faunesche,,,,,1
Q223194,it,pan,,,,,1
Q223194,it,le foreste-Fauno,,,,,1
Q223194,it,fauna,,,,,1
Q223194,it,Faunalia rustica,,,,,1
Q223194,it,figlio,,,,,1
Q548445,en,Silvanus (mythology),1,,,,
Q548445,en,Silvanus,,1,,,
Q548445,en,Silvanus domesticus,,,1,,
Q548445,en,Silvanus (deity),,,1,,
Q548445,en,Sylvans,,,,,1
Q548445,en,sylvans,,,,,1
Q548445,en,sylvan,,,,,1
Q548445,en,Sylvanus,,,,,1
Q548445,en,Sylvan,,,,,1
Q548445,en,sylvains,,,,,1
Q548445,en,Syluanus,,,,,1
Q548445,en,Silvani,,,,,1
Q548445,en,Silvano,,,,,1
Q548445,en,Roman god's name,,,,,1
Q548445,en,silvani,,,,,1
Q548445,en,God Silvanus,,,,,1
Q548445,en,god of the wood Silvanus,,,,,1
Q548445,it,Silvano (divinità),1,,,,
Q548445,it,Silvano,,1,,,
Q548445,it,Sylvanus,,,,,1
Q548445,it,spirito silvestre,,,,,1
Q548445,it,Silvani,,,,,1
Q548445,it,dio Silvano,,,,,1
Q548445,it,Dio Silvano,,,,,1
Q548445,it,Silvanus,,,,,1
Q932292,en,Lorenzo the Elder,1,,,,
Q932292,en,Lorenzo di Giovanni di Medici,,,1,,
Q932292,en,Lorenzo di Giovanni de Medici,,,1,,
Q932292,en,Lorenzo di Giovanni de' Medici,,,1,,
Q932292,en,Lorenzo de Medici the Elder,,,1,,
Q932292,en,Lorenzo de' Medici the Elder,,,1,,
Q932292,en,Lorenzo il Vecchio,,,1,,
Q932292,en,Lorenzo de' Medici (The Elder),,,,,1
Q932292,en,Lorenzo de' Medici,,,,,1
Q932292,en,Lorenzo de' Medici the elder,,,,,1
Q932292,en,Lorenzo ''il Vecchio'',,,,,1
Q932292,en,Lorenzo,,,,,1
Q932292,en,Lorenzo de Medici,,,,,1
Q932292,it,Lorenzo il Vecchio,1,,,,
Q932292,it,Lorenzo di Giovanni de' Medici,,1,,,
Q932292,it,Lorenzo de' Medici (il Vecchio),,,,,1
Q932292,it,Lorenzo de' Medici,,,,,1
Q932292,it,LAURENTIUS,,,,,1
Q932292,it,Lorenzo de' Medici detto il Vecchio,,,,,1
Q932292,it,Lorenzo,,,,,1
Q932292,it,Lorenzo di Giovanni di Bicci,,,,,1
Q932292,it,Lorenzo il Vecchio de' Medici,,,,,1
Q165152,en,Myrtus,1,,,,
Q165152,en,myrte,,1,,,
Q165152,en,myrthe,,1,,,
Q165152,en,Myrtle,,1,,,
Q165152,en,Myrtleberry,,,1,,
Q165152,en,Saharan Myrtle,,,1,,
Q165152,en,Saharan myrtles,,,1,,
Q165152,en,Myrtle (genus),,,1,,
Q165152,en,Myrtus nivellei,,,1,,
Q165152,en,Saharan myrtle,,,1,,
Q165152,en,True Myrtle,,,1,,
Q165152,en,myrtle,,,,,1
Q165152,en,Myrte,,,,,1
Q165152,en,мирт,,,,,1
Q165152,en,Mirti,,,,,1
Q165152,en,myrtles,,,,,1
Q165152,en,Myrtus communis,,,,,1
Q165152,en,mirtem,,,,,1
Q165152,en,Myrtles,,,,,1
Q165152,en,myrtle bushes,,,,,1
Q165152,it,Myrtus,1,,,,
Q165152,it,Myrthus,,,1,,
Q165152,it,Mirto,,,,,1
Q165152,it,genere di pianta,,,,,1
Q165152,it,mirto,,,,,1
Q76557,en,Uncle,1,,,,
Q76557,en,brother-in-law of parent,,1,,,
Q76557,en,uncle,,1,,,
Q76557,en,parent's brother,,1,,,
Q76557,en,brother of parent,,1,,,
Q76557,en,parent's brother-in-law,,1,,,
Q76557,en,Grand-uncle,,,1,,
Q76557,en,Great-granduncle,,,1,,
Q76557,en,Oncle,,,1,,
Q76557,en,Half-uncle,,,1,,
Q76557,en,Great-grand-uncle,,,1,,
Q76557,en,Greatuncle,,,1,,
Q76557,en,Grand uncle,,,1,,
Q76557,en,Great uncle,,,1,,
Q76557,en,Granduncle,,,1,,
Q76557,en,Father's brother,,,1,,
Q76557,en,Strýc,,,1,,
Q76557,en,Great-uncle,,,1,,
Q76557,en,Uncle-in-law,,,1,,
Q76557,en,Uncles,,,1,,
Q76557,en,Great-uncles,,,1,,
Q76557,en,great-uncle,,,,,1
Q76557,en,uncles,,,,,1
Q76557,en,Nuncle,,,,,1
Q76557,en,дя́дько,,,,,1
Q76557,en,great granduncle,,,,,1
Q76557,en,maternal uncle,,,,,1
Q76557,en,''mama'',,,,,1
Q76557,en,great-great-uncle,,,,,1
Q76557,en,uncle's,,,,,1
Q76557,it,Zio,1,,,,
Q76557,it,zio,,1,,,
Q76557,it,zie,,,,,1
Q76557,it,zii,,,,,1
Q76557,it,zia,,,,,1
Q16824629,en,Brother (Christian),1,,,,
Q16824629,en,Brother,,1,,,
Q16824629,en,Brother (Catholic),,,1,,
Q16824629,en,Religious Brother,,,1,,
Q16824629,en,Religious brother,,,1,,
Q16824629,en,Reverend Brother,,,1,,
Q16824629,en,Frà,,,,,1
Q16824629,en,religious brothers,,,,,1
Q16824629,en,religious brother,,,,,1
Q16824629,en,brothers,,,,,1
Q16824629,en,Brothers,,,,,1
Q16824629,en,brother,,,,,1
Q10856,en,Columbidae,1,,,,
Q10856,en,pigeon family,,1,,,
Q10856,en,dove family,,1,,,
Q10856,en,pigeon,,1,,,
Q10856,en,Pigeons,,,1,,
Q10856,en,Pigeon,,,1,,
Q10856,en,Dove (bird),,,1,,
Q10856,en,Pidgeons,,,1,,
Q10856,en,Columbiiformes,,,1,,
Q10856,en,Rat with wings,,,1,,
Q10856,en,Doves and pigeons,,,1,,
Q10856,en,Pigeons and doves,,,1,,
Q10856,en,Columbiformes,,,1,,
Q10856,en,Columbiform,,,1,,
Q10856,en,Dove,,,1,,
Q10856,en,Columbid,,,1,,
Q10856,en,Dove (zoology),,,1,,
Q10856,en,Doves,,,1,,
Q10856,en,Doo (bird),,,1,,
Q10856,en,white doves,,,,,1
Q10856,en,pigeons and doves,,,,,1
Q10856,en,doves and pigeons,,,,,1
Q10856,en,pigeons,,,,,1
Q10856,en,pigeon and dove,,,,,1
Q10856,en,the whole family,,,,,1
Q10856,en,pigeons and dove,,,,,1
Q10856,en,Columbini,,,,,1
Q10856,en,columbiform,,,,,1
Q10856,en,doves,,,,,1
Q10856,en,California high desert mourning dove,,,,,1
Q10856,en,columbids,,,,,1
Q10856,en,white dove,,,,,1
Q10856,en,Columbines,,,,,1
Q10856,it,Columbidae,1,,,,
Q10856,it,picciona,,1,,,
Q10856,it,colombi,,1,,,
Q10856,it,colomba,,1,,,
Q10856,it,colombo,,1,,,
Q10856,it,piccione,,1,,,
Q10856,it,Columbidi,,,1,,
Q10856,it,Columbide,,,1,,
Q10856,it,Columbiformes,,,1,,
Q10856,it,Columbiformi,,,1,,
Q10856,it,Colombo selvatico,,,1,,
Q10856,it,colombiformi,,,,,1
Q10856,it,Colombidi,,,,,1
Q10856,it,piccioni,,,,,1
Q10856,it,columbidi,,,,,1
Q10856,it,Colombi,,,,,1
Q10856,it,Colomba,,,,,1
Q10856,it,Colombo,,,,,1
Q10856,it,colombidi,,,,,1
Q10856,it,Piccioni,,,,,1
Q10856,it,colombara,,,,,1
Q10856,it,colombe,,,,,1
Q10856,it,piccioni selvatici,,,,,1
Q10856,it,colomba col ramoscello d'ulivo,,,,,1
Q10856,it,columbiforme,,,,,1
Q10856,it,colombare,,,,,1
Q10856,it,Columbini,,,,,1
Q10856,it,colombaia,,,,,1
Q10856,it,tortora,,,,,1
Q10856,it,tortore,,,,,1
Q10856,it,columbiformi,,,,,1
Q10856,it,colombe bianche,,,,,1
Q10856,it,columbide,,,,,1
Q10856,it,Colombe,,,,,1
Q3196,en,Fire,1,,,,
Q3196,en,🔥,,1,,,
Q3196,en,fires,,1,,,
Q3196,en,fire,,1,,,
Q3196,en,Rapid oxidation,,,1,,
Q3196,en,Firetending,,,1,,
Q3196,en,Firee,,,1,,
Q3196,en,Fire energy,,,1,,
Q3196,en,Causes of fire,,,1,,
Q3196,en,Fires,,,1,,
Q3196,en,Fiery,,,1,,
Q3196,en,Fire damage,,,1,,
Q3196,en,Open flame,,,1,,
Q3196,en,Conflagration,,,,,1
Q3196,en,blaze,,,,,1
Q3196,en,citywide fires,,,,,1
Q3196,en,Fire (wild),,,,,1
Q3196,en,burning,,,,,1
Q3196,en,burns,,,,,1
Q3196,en,Fire (urban),,,,,1
Q3196,en,Ignite,,,,,1
Q3196,it,Fuoco,1,,,,
Q3196,it,fuoco,,1,,,
Q3196,it,altro,,,,,1
Q3196,it,fuochi,,,,,1
Q3196,it,fiamme,,,,,1
Q3196,it,fiore rosso,,,,,1
Q17297777,en,friend,,1,,,
Q17297777,en,friends,,1,,,
Q17297777,it,amica,,1,,,
Q17297777,it,amico,,1,,,
Q45722,en,Cardinal (Catholic Church),1,,,,
Q45722,en,cardinal,,1,,,
Q45722,en,Cardinal-Patriarch,,,1,,
Q45722,en,Cardinal priest,,,1,,
Q45722,en,Cardinal Priest,,,1,,
Q45722,en,Cardinal (RC),,,1,,
Q45722,en,Cardinal (Roman Catholic),,,1,,
Q45722,en,Cardinal (the Roman Catholic Church),,,1,,
Q45722,en,Roman Catholic cardinal,,,1,,
Q45722,en,Cardinal of the Roman Catholic Church,,,1,,
Q45722,en,Cardinal deacon,,,1,,
Q45722,en,Roman cardinal,,,1,,
Q45722,en,Cardinal-priest,,,1,,
