id,start_pos,end_pos,surface,type,score
1,74,83,Ser Piero,PER,0.9239256083965302
1,103,124,Andrea del Verrocchio,PER,0.9992161194483439
1,178,184,Christ,PER,0.9328406453132629
1,191,199,Leonardo,PER,0.9998559951782227
1,279,287,Leonardo,PER,0.9999610185623169
1,368,374,Andrea,PER,0.99835604429245
1,402,408,Andrea,PER,0.9997944235801697
2,84,92,Flanders,LOC,0.9996457099914551
2,157,161,Adam,PER,0.6678893566131592
2,166,169,Eve,PER,0.5023077726364136
2,185,201,Earthly Paradise,MISC,0.6533019989728928
2,211,219,Leonardo,PER,0.99718177318573
3,0,8,Leonardo,PER,0.9998134970664978
3,32,40,Our Lady,MISC,0.6822933256626129
3,96,112,Pope Clement VII,PER,0.8417331973711649
4,41,62,Palace of Duke Cosimo,LOC,0.8833040446043015
5,4,17,Antonio Segni,PER,0.9997447431087494
5,81,88,Neptune,MISC,0.8664226531982422
6,32,53,Adoration of the Magi,MISC,0.7885431349277496
6,167,185,Loggia de ' Peruzzi,PER,0.5426325872540474
7,19,24,Milan,LOC,0.999687671661377
7,84,95,Last Supper,MISC,0.903091698884964
7,160,168,Apostles,MISC,0.7641950249671936
7,227,233,Christ,PER,0.9118548035621643
7,339,345,Christ,PER,0.5436719655990601
8,51,62,Last Supper,MISC,0.8276541829109192
8,118,126,Leonardo,PER,0.9998846054077148
8,146,154,Lodovico,PER,0.9964998960494995
8,161,173,Massimiliano,PER,0.9994101524353027
8,242,251,Francesco,PER,0.9999054670333862
9,30,38,Leonardo,PER,0.9946445226669312
9,54,59,Milan,LOC,0.9791300892829895
9,104,112,Leonardo,PER,0.9994416832923889
10,43,50,Madonna,MISC,0.8442534804344177
10,73,79,Christ,MISC,0.9211190342903137
10,328,336,Leonardo,PER,0.9954707622528076
10,406,413,Madonna,PER,0.9191610217094421
10,526,542,Mother of Christ,MISC,0.6656909386316935
10,639,645,Virgin,MISC,0.8606376051902771
10,1027,1035,Leonardo,PER,0.9991944432258606
11,0,8,Leonardo,PER,0.9996346235275269
11,35,57,Francesco del Giocondo,PER,0.9967410564422607
11,230,243,Fontainebleau,LOC,0.9718021750450134
12,11,15,Rome,LOC,0.996616542339325
12,21,45,Duke Giuliano de ' Medici,PER,0.9955201506614685
12,66,74,Pope Leo,PER,0.9263024032115936
13,10,18,Leonardo,PER,0.999858021736145
13,77,90,Sala del Papa,LOC,0.8457581996917725
13,152,169,Niccolo Piccinino,PER,0.9995419383049011
14,71,77,Datary,MISC,0.4351993799209595
14,81,89,Pope Leo,PER,0.797071784734726
14,26,61,Messer Baldassarre Turini da Pescia,PER,0.9818158745765686
15,31,44,Marco Oggioni,PER,0.9998094737529755
15,87,106,Passing of Our Lady,MISC,0.5852532684803009
16,14,22,Leonardo,PER,0.9776862859725952
16,166,192,Church of the Misericordia,ORG,0.7919221669435501
16,202,209,Bologna,LOC,0.9229577779769897
16,275,294,S. John the Baptist,PER,0.9313321709632874
16,296,308,S. Sebastian,PER,0.9872712194919586
16,482,490,Leonardo,PER,0.9985883831977844
17,44,51,Cimabue,PER,0.9902087450027466
17,100,106,Assisi,LOC,0.9929012060165405
17,118,124,Umbria,LOC,0.9995591044425964
18,103,114,Vallombrosa,LOC,0.7903847098350525
18,162,181,S. John the Baptist,PER,0.94108647108078
18,183,204,S. Giovanni Gualberto,PER,0.999017616113027
18,229,244,S. Michelagnolo,PER,0.9937981367111206
18,250,261,S. Bernardo,PER,0.9933322668075562
18,265,273,Cardinal,MISC,0.8546966910362244
19,14,26,Michelagnolo,PER,0.9935325384140015
19,82,101,Messer Jacopo Galli,PER,0.9924519658088684
19,206,213,Bacchus,PER,0.7168529033660889
20,65,76,Mercatanzia,MISC,0.6584528684616089
20,80,88,Florence,LOC,0.678601861000061
20,112,119,Virtues,MISC,0.9708370566368103
20,141,148,Antonio,PER,0.9994403719902039
20,153,173,Piero del Pollaiuolo,PER,0.9990634322166443
21,23,33,Ognissanti,MISC,0.9337785243988037
21,231,251,Domenico Ghirlandajo,PER,0.9992785751819611
22,121,129,Castello,LOC,0.982822835445404
22,142,153,Duke Cosimo,PER,0.7488727271556854
22,261,267,Cupids,MISC,0.9933266639709473
22,290,295,Venus,MISC,0.7257360816001892
22,306,312,Graces,MISC,0.9924033880233765
23,84,90,Pallas,MISC,0.7826765179634094
24,45,70,Chapel of the Panciatichi,LOC,0.8329225108027458
24,98,103,Piet√,MISC,0.727327287197113
25,68,77,Boccaccio,PER,0.9710320234298706
25,88,109,Nastagio degli Onesti,PER,0.598381926616033
25,186,194,Epiphany,MISC,0.8860669732093811
26,13,19,Sandro,PER,0.9994237422943115
27,12,34,Chapel of Gino Capponi,LOC,0.7264290899038315
27,111,133,Visitation of Our Lady,MISC,0.8613404184579849
28,40,45,Piero,PER,0.9999086856842041
28,94,122,Church of the Servite Friars,ORG,0.7383949279785156
28,131,152,Chapel of the Tedaldi,LOC,0.8467625007033348
28,258,266,Our Lady,PER,0.8501679301261902
28,346,352,Heaven,LOC,0.5700982809066772
30,0,5,Piero,PER,0.9996613264083862
30,29,44,Filippo Strozzi,PER,0.9963498413562775
30,79,86,Perseus,MISC,0.7503761649131775
31,46,51,Venus,MISC,0.9702855944633484
31,60,64,Mars,MISC,0.8672232627868652
