id,start_pos,end_pos,surface,type,score
1,35,58,Mercatanzia di Fiorenza,ORG,0.9568727612495422
1,64,72,Fortezza,MISC,0.667670488357544
1,93,98,Virtù,MISC,0.9935832619667053
1,103,110,Antonio,PER,0.8887359499931335
1,113,133,Piero del Pollaiuolo,PER,0.993501603603363
2,3,13,Ogni Santi,PER,0.9674423038959503
2,77,85,Vespucci,ORG,0.4895501434803009
2,90,104,Santo Agostino,LOC,0.6166924834251404
3,8,14,Medici,ORG,0.8117502331733704
3,18,33,Lorenzo Vecchio,PER,0.9875826835632324
3,73,80,Pallade,MISC,0.997734785079956
3,182,183,S,MISC,0.4716109335422516
3,185,195,Sebastiano,PER,0.9779786467552185
3,199,230,Santa Maria Maggior di Fiorenza,LOC,0.7692599058151245
4,14,20,Sandro,PER,0.9997654557228088
4,123,142,Santa Maria Novella,LOC,0.986181914806366
4,268,287,Adorazione de ' Magi,PER,0.6429139152169228
4,360,374,Nostro Signore,LOC,0.6845689713954926
5,14,19,Piero,PER,0.9999531507492065
5,47,56,' Tedaldi,PER,0.6667158603668213
5,74,89,frati de ' Servi,LOC,0.8062833398580551
5,139,146,Filippo,PER,0.49946328997612
5,179,196,Nostra Donnaritta,LOC,0.7326965630054474
5,266,275,Figliuolo,MISC,0.7299426198005676
5,325,338,Spirito Santo,LOC,0.6663608551025391
6,11,19,Fiorenza,PER,0.7489126920700073
6,168,193,Santo Spirito di Fiorenza,LOC,0.7004176527261734
6,218,230,Gino Capponi,PER,0.9969031810760498
6,263,290,Visitazione di Nostra Donna,ORG,0.568954735994339
6,296,307,San Nicolao,LOC,0.6206705272197723
6,314,327,Santo Antonio,LOC,0.4807761311531067
7,35,41,Venere,MISC,0.7284407019615173
7,56,61,Marte,PER,0.8747499585151672
7,150,155,Amori,ORG,0.4294050931930542
7,235,240,Marte,PER,0.7118803858757019
7,272,278,Cupido,MISC,0.9392094016075134
7,334,340,Venere,MISC,0.7208231687545776
7,359,364,Amore,MISC,0.9975268244743347
8,11,26,Giovan Vespucci,PER,0.9750479161739349
8,51,52,S,MISC,0.8268221020698547
8,54,81,Michele della via de’ Servi,PER,0.7969449162483215
8,91,104,Pier Salviati,LOC,0.5720590054988861
9,0,13,Dipinse Piero,PER,0.8797204792499542
9,18,41,Filippo Strozzi Vecchio,PER,0.8415236473083496
9,79,85,Perseo,PER,0.7593660950660706
9,93,102,Andromeda,ORG,0.986903190612793
10,23,32,Ser Piero,PER,0.7369047999382019
10,77,97,Andrea del Verocchio,PER,0.9727413853009542
10,133,145,San Giovanni,MISC,0.9011604189872742
10,157,163,Cristo,PER,0.9986910223960876
10,165,173,Lionardo,PER,0.9999829530715942
10,331,339,Lionardo,PER,0.9081297516822815
11,0,2,Li,PER,0.8834328055381775
11,56,63,Fiandra,LOC,0.9771503210067749
11,104,120,Re di Portogallo,MISC,0.67723415295283
11,132,139,d'Adamo,MISC,0.7001782655715942
11,142,147,d'Èva,MISC,0.7311076521873474
11,160,168,Paradiso,MISC,0.9248508214950562
11,211,219,Lionardo,PER,0.9954777359962463
12,9,17,Lionardo,PER,0.9870190620422363
12,22,34,Nostra Donna,ORG,0.8384492695331573
12,65,82,Papa Clemente VII,PER,0.9454258481661478
13,3,16,Antonio Segni,PER,0.9961925745010376
13,58,65,Nettuno,MISC,0.9091859459877014
14,15,21,Milano,LOC,0.9999032020568848
14,35,47,San Domenico,LOC,0.7755526006221771
14,50,74,Santa Maria de le Grazie,LOC,0.9794857621192932
14,78,86,Cenacolo,MISC,0.8728305697441101
14,141,149,Apostoli,MISC,0.8535006642341614
14,196,202,Cristo,PER,0.9952697157859802
14,292,298,Cristo,PER,0.9969538450241089
15,46,58,Nostra Donna,ORG,0.5453991889953613
15,66,76,Santa Anna,LOC,0.7667035162448883
15,85,91,Cristo,MISC,0.8687220811843872
15,329,337,Lionardo,PER,0.9987586736679077
16,0,14,Prese Lionardo,PER,0.864578515291214
16,25,47,Francesco del Giocondo,PER,0.9506099621454874
16,63,72,Mona Lisa,PER,0.8978076279163361
16,165,188,Re Francesco di Francia,PER,0.5462497621774673
16,192,203,Fontanableo,LOC,0.9807108044624329
17,30,38,Lionardo,PER,0.9992560744285583
17,89,108,Santa Maria Novella,LOC,0.9802563985188802
17,132,149,Niccolò Piccinino,PER,0.9598167836666107
17,163,185,Duca Filippo di Milano,PER,0.8681235462427139
