id,start_pos,end_pos,surface,type,score
1,74,83,Ser Piero,PER,0.9980219900608063
1,103,124,Andrea del Verrocchio,PER,0.9988048473993937
1,160,167,S . John,PER,0.98086549838384
1,168,184,baptizing Christ,MISC,0.6345188319683075
1,191,199,Leonardo,PER,0.9999804496765137
1,279,287,Leonardo,PER,0.9999849796295166
1,368,374,Andrea,PER,0.9999915361404419
1,402,408,Andrea,PER,0.9999771118164062
2,84,92,Flanders,LOC,0.9998859167098999
2,144,152,Portugal,LOC,0.9991063475608826
2,166,169,Eve,PER,0.5711103677749634
2,211,219,Leonardo,PER,0.9994599223136902
3,0,8,Leonardo,PER,0.9999731779098511
3,32,40,Our Lady,MISC,0.9999807476997375
3,96,112,Pope Clement VII,PER,0.9999910990397135
4,41,62,Palace of Duke Cosimo,LOC,0.9675439596176147
5,4,17,Antonio Segni,PER,0.9999912977218628
5,81,88,Neptune,MISC,0.995039165019989
6,32,53,Adoration of the Magi,MISC,0.9999853849411011
6,139,152,Amerigo Benci,PER,0.9950248599052429
6,166,185,Loggia de ' Peruzzi,LOC,0.9999091148376464
7,19,24,Milan,LOC,0.9998610019683838
7,33,54,Friars of S . Dominic,MISC,0.9695565899213155
7,59,80,S . Maria delle Grazie,LOC,0.9995937824249268
8,51,62,Last Supper,MISC,0.99042276541392
8,91,98,Passion,MISC,0.7818537950515747
8,118,126,Leonardo,PER,0.9998990297317505
8,146,154,Lodovico,PER,0.9907710552215576
8,161,173,Massimiliano,PER,0.999988317489624
8,219,235,Duchess Beatrice,PER,0.9891876379648844
8,242,251,Francesco,PER,0.9999644756317139
8,310,315,Milan,LOC,0.9997279047966003
9,30,38,Leonardo,PER,0.9999854564666748
9,54,59,Milan,LOC,0.9999483823776245
9,86,92,France,LOC,0.9993636012077332
9,104,112,Leonardo,PER,0.9999785423278809
10,43,50,Madonna,PER,0.9996945858001709
10,56,64,S . Anne,PER,0.9998296350240707
10,73,79,Christ,PER,0.992254376411438
10,203,211,two days,DATE,0.9998566210269928
10,328,336,Leonardo,PER,0.999991774559021
10,406,413,Madonna,PER,0.9983288645744324
10,536,542,Christ,PER,0.5064284205436707
10,816,823,S . John,PER,0.9986116687456766
10,896,903,S . Anne,PER,0.9999496142069498
10,1027,1035,Leonardo,PER,0.9999891519546509
11,0,8,Leonardo,PER,0.9997511506080627
11,35,57,Francesco del Giocondo,PER,0.9999767541885376
11,75,85,Monna Lisa,MISC,0.9711372256278992
11,208,215,Francis,PER,0.9143653512001038
11,219,225,France,LOC,0.999834418296814
11,230,243,Fontainebleau,LOC,0.9999186992645264
12,11,15,Rome,LOC,0.9999644756317139
12,26,45,Giuliano de ' Medici,PER,0.999887689948082
12,66,74,Pope Leo,PER,0.7188239693641663
13,10,18,Leonardo,PER,0.9999468326568604
13,77,90,Sala del Papa,LOC,0.999815046787262
13,108,124,S . Maria Novella,LOC,0.9755464196205139
13,152,169,Niccolo Piccinino,PER,0.9997058808803558
13,187,194,Filippo,PER,0.9698039293289185
13,198,203,Milan,LOC,0.9998704195022583
14,33,61,Baldassarre Turini da Pescia,PER,0.9999266266822815
14,81,89,Pope Leo,PER,0.999954342842102
14,115,122,Madonna,PER,0.9969466328620911
15,31,44,Marco Oggioni,PER,0.9999582171440125
15,62,81,S . Maria della Pace,LOC,0.9053154826164246
15,87,110,Passing of Our Lady and,MISC,0.9936081568400065
15,115,142,Marriage of Cana in Galilee,MISC,0.9997440973917643
16,14,22,Leonardo,PER,0.9999641180038452
16,27,52,Giovan Antonio Boltraffio,PER,0.9999854564666748
16,56,61,Milan,LOC,0.9999918937683105
16,118,127,year 1500,DATE,0.9999526739120483
16,166,192,Church of the Misericordia,MISC,0.9999919414520264
16,202,209,Bologna,LOC,0.9863929152488708
16,238,273,Our Lady with the Child in her arms,MISC,0.9999698549509048
16,275,294,S. John the Baptist,PER,0.9999717772006989
16,296,308,S. Sebastian,PER,0.9999896287918091
16,482,490,Leonardo,PER,0.999972939491272
17,100,106,Assisi,LOC,0.9888284802436829
17,118,124,Umbria,LOC,0.9906108975410461
17,192,207,of S . Francesco,MISC,0.9876521229743958
17,296,306,S . Francis,PER,0.9996565381685892
18,103,114,Vallombrosa,LOC,0.7492630481719971
18,162,181,S. John the Baptist,PER,0.9999872148036957
18,183,204,S. Giovanni Gualberto,PER,0.9999024470647176
18,222,227,Order,MISC,0.7225997447967529
18,229,244,S. Michelagnolo,PER,0.9978092908859253
18,250,261,S. Bernardo,PER,0.9999611377716064
18,292,297,Order,MISC,0.9802523851394653
19,14,26,Michelagnolo,PER,0.9999247789382935
19,60,65,Roman,MISC,0.9980608820915222
19,89,101,Jacopo Galli,PER,0.9759786427021027
20,65,76,Mercatanzia,LOC,0.9140260815620422
20,80,88,Florence,LOC,0.9999904632568359
20,141,148,Antonio,PER,0.9999737739562988
20,153,173,Piero del Pollaiuolo,PER,0.9879069924354553
21,23,33,Ognissanti,MISC,0.9996570348739624
21,93,101,Vespucci,PER,0.9983990788459778
21,103,116,S . Augustine,MISC,0.9847606271505356
21,231,251,Domenico Ghirlandajo,PER,0.9997282922267914
21,267,277,S . Jerome,MISC,0.9947989732027054
22,121,129,Castello,LOC,0.9735803604125977
22,147,153,Cosimo,PER,0.9978291392326355
22,290,295,Venus,MISC,0.45943018794059753
23,39,45,Medici,PER,0.9998670816421509
23,60,67,Lorenzo,PER,0.9999502897262573
24,3,20,S. Maria Maggiore,LOC,0.9999802112579346
24,24,32,Florence,LOC,0.9999948740005493
24,45,70,Chapel of the Panciatichi,LOC,0.9999863862991333
25,20,25,Pucci,PER,0.9996472597122192
25,68,77,Boccaccio,PER,0.9999723434448242
25,88,109,Nastagio degli Onesti,PER,0.6626137495040894
25,186,194,Epiphany,MISC,0.9894875288009644
