id,start_pos,end_pos,surface,type,score
1,74,83,Ser Piero,PER,0.9980219900608063
1,103,124,Andrea del Verrocchio,PER,0.9988048473993937
1,160,167,S . John,PER,0.98086549838384
1,191,199,Leonardo,PER,0.9999804496765137
1,279,287,Leonardo,PER,0.9999849796295166
1,368,374,Andrea,PER,0.9999915361404419
1,402,408,Andrea,PER,0.9999771118164062
2,84,92,Flanders,LOC,0.9998859167098999
2,166,169,Eve,PER,0.5711103677749634
2,211,219,Leonardo,PER,0.9994599223136902
3,0,8,Leonardo,PER,0.9999731779098511
3,32,40,Our Lady,MISC,0.9999807476997375
3,96,112,Pope Clement VII,PER,0.9999910990397135
4,41,62,Palace of Duke Cosimo,LOC,0.9675439596176147
5,4,17,Antonio Segni,PER,0.9999912977218628
5,81,88,Neptune,MISC,0.995039165019989
6,32,53,Adoration of the Magi,MISC,0.9999853849411011
7,19,24,Milan,LOC,0.9998610019683838
7,59,80,S . Maria delle Grazie,LOC,0.9995937824249268
8,51,62,Last Supper,MISC,0.99042276541392
8,91,98,Passion,MISC,0.7818537950515747
8,118,126,Leonardo,PER,0.9998990297317505
8,146,154,Lodovico,PER,0.9907710552215576
8,161,173,Massimiliano,PER,0.999988317489624
8,219,235,Duchess Beatrice,PER,0.9891876379648844
8,242,251,Francesco,PER,0.9999644756317139
9,30,38,Leonardo,PER,0.9999854564666748
9,54,59,Milan,LOC,0.9999483823776245
9,104,112,Leonardo,PER,0.9999785423278809
10,43,50,Madonna,PER,0.9996945858001709
10,73,79,Christ,PER,0.992254376411438
10,328,336,Leonardo,PER,0.999991774559021
10,406,413,Madonna,PER,0.9983288645744324
10,816,823,S . John,PER,0.9986116687456766
10,896,903,S . Anne,PER,0.9999496142069498
10,1027,1035,Leonardo,PER,0.9999891519546509
11,0,8,Leonardo,PER,0.9997511506080627
11,35,57,Francesco del Giocondo,PER,0.9999767541885376
11,230,243,Fontainebleau,LOC,0.9999186992645264
12,11,15,Rome,LOC,0.9999644756317139
12,66,74,Pope Leo,PER,0.7188239693641663
13,10,18,Leonardo,PER,0.9999468326568604
13,77,90,Sala del Papa,LOC,0.999815046787262
13,108,124,S . Maria Novella,LOC,0.9755464196205139
13,152,169,Niccolo Piccinino,PER,0.9997058808803558
14,81,89,Pope Leo,PER,0.999954342842102
15,31,44,Marco Oggioni,PER,0.9999582171440125
15,62,81,S . Maria della Pace,LOC,0.9053154826164246
15,115,142,Marriage of Cana in Galilee,MISC,0.9997440973917643
16,14,22,Leonardo,PER,0.9999641180038452
16,166,192,Church of the Misericordia,MISC,0.9999919414520264
16,202,209,Bologna,LOC,0.9863929152488708
16,275,294,S. John the Baptist,PER,0.9999717772006989
16,296,308,S. Sebastian,PER,0.9999896287918091
16,482,490,Leonardo,PER,0.999972939491272
17,100,106,Assisi,LOC,0.9888284802436829
17,118,124,Umbria,LOC,0.9906108975410461
17,296,306,S . Francis,PER,0.9996565381685892
18,103,114,Vallombrosa,LOC,0.7492630481719971
18,162,181,S. John the Baptist,PER,0.9999872148036957
18,183,204,S. Giovanni Gualberto,PER,0.9999024470647176
18,229,244,S. Michelagnolo,PER,0.9978092908859253
18,250,261,S. Bernardo,PER,0.9999611377716064
19,14,26,Michelagnolo,PER,0.9999247789382935
20,65,76,Mercatanzia,LOC,0.9140260815620422
20,80,88,Florence,LOC,0.9999904632568359
20,141,148,Antonio,PER,0.9999737739562988
20,153,173,Piero del Pollaiuolo,PER,0.9879069924354553
21,23,33,Ognissanti,MISC,0.9996570348739624
21,93,101,Vespucci,PER,0.9983990788459778
21,231,251,Domenico Ghirlandajo,PER,0.9997282922267914
22,121,129,Castello,LOC,0.9735803604125977
22,290,295,Venus,MISC,0.45943018794059753
24,45,70,Chapel of the Panciatichi,LOC,0.9999863862991333
25,68,77,Boccaccio,PER,0.9999723434448242
25,88,109,Nastagio degli Onesti,PER,0.6626137495040894
25,186,194,Epiphany,MISC,0.9894875288009644
26,13,19,Sandro,PER,0.9997119307518005
27,12,34,Chapel of Gino Capponi,LOC,0.9999304294586182
27,111,133,Visitation of Our Lady,MISC,0.999960994720459
27,140,151,S . Nicholas,PER,0.9999080101648966
28,40,45,Piero,PER,0.9999402761459351
28,94,122,Church of the Servite Friars,MISC,0.9999538660049438
28,131,152,Chapel of the Tedaldi,MISC,0.9998255968093872
28,200,210,S . Filippo,PER,0.9805182814598083
29,102,113,S . Margaret,PER,0.9999905824661255
30,0,5,Piero,PER,0.999994158744812
30,29,44,Filippo Strozzi,PER,0.9999967813491821
30,79,86,Perseus,PER,0.9585336446762085
30,98,107,Andromeda,MISC,0.9999644756317139
31,46,51,Venus,MISC,0.9992198944091797
31,60,64,Mars,MISC,0.9999632835388184
31,257,261,Mars,MISC,0.999980092048645
32,4,21,Giovanni Vespucci,PER,0.9999761581420898
32,61,75,Piero Salviati,PER,0.9997894167900085
32,89,99,S . Michele,LOC,0.9999773104985555
33,0,5,Piero,PER,0.999992847442627
33,33,55,Francesco da San Gallo,PER,0.9999018311500549
33,126,131,Piero,PER,0.9999867677688599
33,147,156,Francesco,PER,0.9975727200508118
33,189,194,Piero,PER,0.9999885559082031
33,245,254,Cleopatra,PER,0.9999755620956421
33,327,335,Giuliano,PER,0.9999932050704956
33,370,389,Francesco Giamberti,PER,0.9998839795589447
34,156,160,1564,DATE,0.9999814033508301
35,35,44,Casentino,LOC,0.999619722366333
35,53,62,year 1474,DATE,0.997230052947998
35,135,173,Lodovico di Leonardo Buonarroti Simoni,PER,0.9999909639358521
36,6,18,Michelagnolo,PER,0.999982476234436
36,101,105,1529,DATE,0.9999359846115112
36,328,338,S . Miniato,MISC,0.9947632352511088
37,23,27,1488,DATE,0.9996484518051147
37,72,106,Lodovico di Leonardo di Buonarrota,PER,0.9976584434509277
