id,start_pos,end_pos,surface,type,wb_id,named_entity
2,136,152,King of Portugal,PER,Q51711012,1
2,157,161,Adam,PER,Q70899,1
2,166,169,Eve,PER,Q830183,1
3,96,112,Pope Clement VII,PER,Q83159,1
6,130,152,house of Amerigo Benci,MISC,Q16586386,1
8,219,235,Duchess Beatrice,PER,Q813280,1
8,301,315,Dukes of Milan,PER,Q692686,1
9,78,92,King of France,PER,Q18384454; Q60835574,1
11,63,85,portrait of Monna Lisa,MISC,Q12418,1
11,203,225,King Francis of France,PER,Q129857,1
12,21,45,Duke Giuliano de' Medici,PER,Q333340,1
12,66,74,Pope Leo,PER,Q49237,1
13,182,203,Duke Filippo of Milan,PER,Q289285,1
14,81,89,Pope Leo,PER,Q49237,1
14,115,137,Madonna with the Child,MISC,Q9309699,1
15,115,142,Marriage of Cana in Galilee,MISC,Q32066758,1
16,27,61,Giovan Antonio Boltraffio of Milan,PER,Q442528,1
17,263,283,life of Jesus Christ,MISC,Q4923891,1
18,183,204,S. Giovanni Gualberto,PER,Q707172,1
22,142,153,Duke Cosimo,PER,Q48547,1
22,178,192,birth of Venus,MISC,Q19760026,1
23,26,45,house of the Medici,MISC,Q911047,1
23,54,67,elder Lorenzo,PER,Q932292,1
24,3,32,S. Maria Maggiore in Florence,LOC,Q849356,1
24,98,103,Piet�,MISC,Q223689,1
25,7,25,house of the Pucci,LOC,Q3360912,1
26,175,191,S. Maria Novella,LOC,Q51175,1
26,273,294,Adoration of the Magi,MISC,Q488841,1
26,373,381,Our Lord,PER,Q190,1
27,43,75,Church of S. Spirito at Florence,LOC,Q1519975,1
28,421,432,Holy Spirit,MISC,Q37302,1
31,364,369,Venus,MISC,Q47652,1
34,39,66,seventeenth day of February,DATE,Q2341,1
34,75,84,year 1563,DATE,Q6629,1
34,156,160,1564,DATE,Q6632,1
35,53,62,year 1474,DATE,Q6600,1
36,101,105,1529,DATE,Q6421,1
36,110,127,siege of Florence,MISC,Q981042,1
37,23,27,1488,DATE,Q4853,1
37,44,62,first day of April,DATE,Q2510,1
38,7,19,year 1533[1],DATE,Q6443,1
38,38,50,Pope Clement,PER,Q83159,1
38,90,110,sacristy in Florence,MISC,Q660876,1
39,15,19,June of the year 1557,DATE,Q6595,1
40,71,88,Giant in Florence,MISC,Q179900,1
40,141,150,year 1503,DATE,Q6141,1
40,152,169,Pope Alexander VI,PER,Q108316,1
