id,start_pos,end_pos,surface,type
2,144,152,Portugal,LOC
2,157,169,Adam and Eve,PER
3,101,112,Clement VII,PER
6,139,152,Amerigo Benci,PER
8,227,235,Beatrice,PER
8,310,315,Milan,LOC
9,86,92,France,LOC
11,75,85,Monna Lisa,PER
11,208,215,Francis,PER
11,219,225,France,LOC
12,26,45,Giuliano de'Medici,PER
12,71,74,Leo,PER
13,187,194,Filippo,PER
13,198,203,Milan,LOC
14,86,89,Leo,PER
14,115,127,Madonna with,PER
14,128,137,the Child,MISC
15,115,131,Marriage of Cana,MISC
15,135,142,Galilee,LOC
16,27,52,Giovan Antonio Boltraffio,PER
16,56,61,Milan,LOC
17,157,162,Greek,MISC
17,271,283,Jesus Christ,PER
18,183,184,S,PER
18,186,204,Giovanni Gualberto,PER
18,222,227,Order,ORG
18,292,297,Order,ORG
19,60,65,Roman,MISC
21,358,363,Saint,PER
22,147,153,Cosimo,PER
22,187,192,Venus,PER
23,39,45,Medici,PER
23,60,67,Lorenzo,PER
24,3,20,S. Maria Maggiore,LOC
24,24,32,Florence,LOC
25,20,25,Pucci,PER
26,177,185,S. Maria,LOC
26,186,193,Novella,PER
26,275,296,Adoration of the Magi,MISC
26,375,383,Our Lord,PER
27,43,63,Church of S. Spirito,LOC
27,67,75,Florence,LOC
28,231,236,Order,MISC
28,421,425,Holy,MISC
28,426,432,Spirit,PER
30,117,124,Monster,PER
31,355,369,Doves of Venus,MISC
34,96,106,Florentine,MISC
34,141,146,Roman,MISC
35,263,270,Canossa,LOC
36,119,127,Florence,LOC
38,43,50,Clement,PER
38,102,110,Florence,LOC
40,71,76,Giant,MISC
40,80,88,Florence,LOC
40,157,169,Alexander VI,PER
