id,start_pos,end_pos,surface,type
1,74,83,Ser Piero,PER
1,103,124,Andrea del Verrocchio,PER
1,160,167,S. John,PER
1,178,184,Christ,PER
1,191,199,Leonardo,PER
1,279,287,Leonardo,PER
1,368,374,Andrea,PER
1,402,408,Andrea,PER
2,84,92,Flanders,LOC
2,144,152,Portugal,LOC
2,157,169,Adam and Eve,PER
2,185,201,Earthly Paradise,MISC
2,211,219,Leonardo,PER
3,0,8,Leonardo,PER
3,32,40,Our Lady,PER
3,101,112,Clement VII,PER
4,41,62,Palace of Duke Cosimo,LOC
5,4,17,Antonio Segni,PER
5,81,88,Neptune,MISC
6,32,53,Adoration of the Magi,MISC
6,139,152,Amerigo Benci,PER
6,167,185,Loggia de'Peruzzi,LOC
7,19,24,Milan,LOC
7,34,54,Friars of S. Dominic,MISC
7,59,80,S. Maria delle Grazie,LOC
7,84,95,Last Supper,MISC
7,160,168,Apostles,PER
7,227,233,Christ,PER
7,339,345,Christ,PER
8,51,62,Last Supper,MISC
8,91,98,Passion,MISC
8,118,126,Leonardo,PER
8,146,154,Lodovico,PER
8,161,173,Massimiliano,PER
8,227,235,Beatrice,PER
8,242,251,Francesco,PER
8,310,315,Milan,LOC
9,30,38,Leonardo,PER
9,54,59,Milan,LOC
9,86,92,France,LOC
9,104,112,Leonardo,PER
10,43,50,Madonna,PER
10,57,64,S. Anne,PER
10,73,79,Christ,PER
10,328,336,Leonardo,PER
10,406,413,Madonna,PER
10,526,542,Mother of Christ,PER
10,639,645,Virgin,PER
10,707,710,Son,PER
10,816,823,S. John,PER
10,896,903,S. Anne,PER
10,1027,1035,Leonardo,PER
11,0,8,Leonardo,PER
11,35,57,Francesco del Giocondo,PER
11,75,85,Monna Lisa,PER
11,208,215,Francis,PER
11,219,225,France,LOC
11,230,243,Fontainebleau,LOC
12,11,15,Rome,LOC
12,26,45,Giuliano de'Medici,PER
12,71,74,Leo,PER
13,10,18,Leonardo,PER
13,77,90,Sala del Papa,LOC
13,108,124,S. Maria Novella,LOC
13,152,169,Niccolo Piccinino,PER
13,187,194,Filippo,PER
13,198,203,Milan,LOC
14,26,61,Messer Baldassarre Turini da Pescia,PER
14,86,89,Leo,PER
14,115,127,Madonna with,PER
14,128,137,the Child,MISC
15,31,44,Marco Oggioni,PER
15,62,81,S. Maria della Pace,LOC
15,87,106,Passing of Our Lady,MISC
15,115,131,Marriage of Cana,MISC
15,135,142,Galilee,LOC
16,14,22,Leonardo,PER
16,27,52,Giovan Antonio Boltraffio,PER
16,56,61,Milan,LOC
16,166,192,Church of the Misericordia,LOC
16,202,209,Bologna,LOC
16,238,261,Our Lady with the Child,PER
16,275,294,S. John the Baptist,PER
16,296,308,S. Sebastian,PER
16,482,490,Leonardo,PER
17,44,51,Cimabue,PER
17,100,106,Assisi,LOC
17,118,124,Umbria,LOC
17,157,162,Greek,MISC
17,185,207,Church of S. Francesco,LOC
17,271,283,Jesus Christ,PER
17,296,306,S. Francis,PER
18,103,114,Vallombrosa,LOC
18,162,181,S. John the Baptist,PER
18,183,184,S,PER
18,186,204,Giovanni Gualberto,PER
18,222,227,Order,ORG
18,229,244,S. Michelagnolo,PER
18,250,261,S. Bernardo,PER
18,292,297,Order,ORG
19,14,26,Michelagnolo,PER
19,60,65,Roman,MISC
19,82,101,Messer Jacopo Galli,PER
19,149,154,Cupid,PER
19,206,213,Bacchus,PER
20,48,57,Fortitude,LOC
20,65,76,Mercatanzia,LOC
20,80,88,Florence,LOC
20,112,119,Virtues,MISC
20,141,148,Antonio,PER
20,153,173,Piero del Pollaiuolo,PER
21,23,33,Ognissanti,LOC
21,93,101,Vespucci,PER
21,104,116,S. Augustine,PER
21,231,251,Domenico Ghirlandajo,PER
21,268,277,S. Jerome,PER
21,358,363,Saint,PER
22,121,129,Castello,LOC
22,147,153,Cosimo,PER
22,187,192,Venus,PER
22,205,210,Winds,PER
22,215,222,Zephyrs,PER
22,261,267,Cupids,PER
22,290,295,Venus,PER
22,306,312,Graces,PER
23,39,45,Medici,PER
23,60,67,Lorenzo,PER
23,84,90,Pallas,PER
23,197,209,S. Sebastian,PER
24,3,20,S. Maria Maggiore,LOC
24,24,32,Florence,LOC
24,45,70,Chapel of the Panciatichi,LOC
25,20,25,Pucci,PER
25,68,77,Boccaccio,PER
25,88,109,Nastagio degli Onesti,PER
25,186,194,Epiphany,PER
26,13,19,Sandro,PER
26,177,185,S. Maria,LOC
26,186,193,Novella,PER
26,275,296,Adoration of the Magi,MISC
26,375,383,Our Lord,PER
27,12,34,Chapel of Gino Capponi,LOC
27,43,63,Church of S. Spirito,LOC
27,67,75,Florence,LOC
27,111,133,Visitation of Our Lady,MISC
27,140,151,S. Nicholas,PER
27,159,169,S. Anthony,PER
28,40,45,Piero,PER
28,94,122,Church of the Servite Friars,LOC
28,131,152,Chapel of the Tedaldi,LOC
28,200,210,S. Filippo,PER
28,231,236,Order,MISC
28,258,266,Our Lady,PER
28,346,352,Heaven,MISC
28,395,398,Son,MISC
28,421,425,Holy,MISC
28,426,432,Spirit,PER
29,102,113,S. Margaret,PER
29,144,150,Dragon,PER
30,0,5,Piero,PER
30,29,44,Filippo Strozzi,PER
30,79,86,Perseus,PER
30,98,107,Andromeda,PER
30,117,124,Monster,PER
31,46,51,Venus,PER
31,60,64,Mars,LOC
31,153,158,Loves,PER
31,257,261,Mars,LOC
31,298,303,Cupid,PER
31,355,369,Doves of Venus,MISC
31,395,399,Love,MISC
32,4,21,Giovanni Vespucci,PER
32,61,75,Piero Salviati,PER
32,89,99,S. Michele,LOC
32,108,121,Via de'Servi,LOC
33,0,5,Piero,PER
33,33,55,Francesco da San Gallo,PER
33,126,131,Piero,PER
33,147,156,Francesco,PER
33,189,194,Piero,PER
33,245,254,Cleopatra,PER
33,327,335,Giuliano,PER
33,370,389,Francesco Giamberti,PER
34,96,106,Florentine,MISC
34,141,146,Roman,MISC
35,35,44,Casentino,LOC
35,135,173,Lodovico di Leonardo Buonarroti Simoni,PER
35,263,270,Canossa,LOC
36,6,18,Michelagnolo,PER
36,119,127,Florence,LOC
36,328,338,S. Miniato,LOC
37,72,106,Lodovico di Leonardo di Buonarrota,PER
37,115,127,Michelagnolo,PER
37,140,148,Domenico,PER
37,153,180,David di Tommaso di Currado,PER
37,260,272,Michelagnolo,PER
37,471,479,Domenico,PER
37,484,489,David,PER
38,43,50,Clement,PER
38,102,110,Florence,LOC
39,146,164,Chapel of the King,LOC
39,399,411,Michelagnolo,PER
39,444,450,Vasari,PER
40,12,24,Michelagnolo,PER
40,43,48,Pieta,MISC
40,71,76,Giant,MISC
40,80,88,Florence,LOC
40,157,169,Alexander VI,PER
40,186,195,Julius II,PER
40,231,243,Michelagnolo,PER
40,322,331,Julius II,PER
