id,start_pos,end_pos,surface,type
1,64,72,Fortezza,LOC
1,93,98,Virtù,PER
1,103,110,Antonio,PER
1,113,133,Piero del Pollaiuolo,PER
2,3,13,Ogni Santi,MISC
2,77,85,Vespucci,MISC
2,90,104,Santo Agostino,PER
3,18,33,Lorenzo Vecchio,PER
3,73,80,Pallade,PER
3,182,195,S. Sebastiano,LOC
4,14,20,Sandro,PER
4,123,142,Santa Maria Novella,LOC
4,268,287,Adorazione de'Magi,MISC
5,14,19,Piero,PER
5,266,275,Figliuolo,PER
5,325,338,Spirito Santo,PER
6,11,19,Fiorenza,LOC
6,158,193,chiesa di Santo Spirito di Fiorenza,LOC
6,263,290,Visitazione di Nostra Donna,MISC
6,296,307,San Nicolao,PER
6,314,327,Santo Antonio,PER
7,35,41,Venere,PER
7,56,61,Marte,PER
7,150,155,Amori,PER
7,235,240,Marte,PER
7,272,278,Cupido,PER
7,334,340,Venere,PER
7,359,364,Amore,PER
8,11,26,Giovan Vespucci,PER
8,91,104,Pier Salviati,PER
9,8,13,Piero,PER
9,18,41,Filippo Strozzi Vecchio,PER
9,79,85,Perseo,PER
9,93,102,Andromeda,PER
10,23,32,Ser Piero,PER
10,77,97,Andrea del Verocchio,PER
10,133,145,San Giovanni,PER
10,157,163,Cristo,PER
10,165,173,Lionardo,PER
10,331,339,Lionardo,PER
11,56,63,Fiandra,PER
11,160,178,Paradiso terrestre,MISC
11,211,219,Lionardo,PER
11,134,139,Adamo,PER
11,144,147,Èva,PER
12,9,17,Lionardo,PER
12,22,34,Nostra Donna,MISC
12,65,82,Papa Clemente VII,PER
13,58,65,Nettuno,PER
13,3,16,Antonio Segni,PER
14,15,21,Milano,LOC
14,50,74,Santa Maria de le Grazie,LOC
14,78,86,Cenacolo,MISC
14,141,149,Apostoli,PER
14,196,202,Cristo,PER
14,292,298,Cristo,PER
15,46,58,Nostra Donna,PER
15,66,76,Santa Anna,PER
15,85,91,Cristo,PER
15,329,337,Lionardo,PER
16,6,14,Lionardo,PER
16,25,47,Francesco del Giocondo,PER
16,192,203,Fontanableo,LOC
17,30,38,Lionardo,PER
17,89,108,Santa Maria Novella,LOC
17,132,149,Niccolò Piccinino,PER
17,163,185,Duca Filippo di Milano,PER
18,0,8,Lionardo,PER
18,42,49,Francia,LOC
19,104,117,Marco Uggioni,PER
19,126,148,Santa Maria della Pace,LOC
20,129,146,Passion di Cristo,MISC
20,175,180,Marie,PER
20,209,222,Vergine Maria,PER
21,12,21,Raffaello,PER
21,47,59,Lorenzo Nasi,PER
21,115,123,Rafaello,PER
21,152,164,Nostra Donna,PER
21,250,262,San Giovanni,PER
22,15,34,Signoria di Vinezia,LOC
22,79,100,Bartolomeo da Bergamo,PER
22,195,201,Senato,ORG
22,283,314,piazza di Santo Giovanni e Polo,LOC
22,361,367,Italia,LOC
22,413,421,Fiorenza,LOC
22,438,445,Venezia,LOC
22,337,343,Andrea,PER
23,144,152,Fiorenza,LOC
23,186,192,Venere,PER
23,286,292,Venere,PER
23,300,306,Grazie,PER
23,335,344,Primavera,PER
23,102,110,Castello,LOC
23,122,133,Duca Cosimo,PER
24,18,26,Fiorenza,LOC
24,63,87,Lodovico Simon Buonaroti,PER
24,121,135,Michele Agnolo,PER
25,7,20,Michel Agnolo,PER
25,24,37,Pier Soderini,PER
25,233,240,Francia,LOC
25,313,326,Taddeo Taddei,PER
25,351,367,Bartolomeo Pitti,PER
25,513,531,Luigi Guicciardini,PER
26,384,390,Giotto,PER
27,6,20,Andrea Orgagna,PER
28,204,226,Ogni Santi di Fiorenza,LOC
29,140,148,S. Rocco,PER
29,189,208,Fraternita d'Arezzo,ORG
