id,start_pos,end_pos,surface,type,score
2,144,152,Portugal,LOC,0.9870389
2,157,169,Adam and Eve,PER,0.7625707
3,101,112,Clement VII,PER,0.9942118
6,139,152,Amerigo Benci,PER,0.9943824
8,227,235,Beatrice,PER,0.8502349
8,310,315,Milan,LOC,0.9923774
9,86,92,France,LOC,0.9924535
11,75,85,Monna Lisa,PER,0.9870414
11,208,215,Francis,PER,0.9048473
11,219,225,France,LOC,0.9096443
12,26,45,Giuliano de'Medici,PER,0.9997326
12,71,74,Leo,PER,0.9805617
13,187,194,Filippo,PER,0.7583911
13,198,203,Milan,LOC,0.9920332
14,26,61,Messer Baldassarre Turini da Pescia,PER,0.96293485
14,86,89,Leo,PER,0.7511637
14,115,127,Madonna with,PER,0.5121269
14,128,137,the Child,MISC,0.44199583
15,115,131,Marriage of Cana,MISC,0.9333875
15,135,142,Galilee,LOC,0.818477
16,27,52,Giovan Antonio Boltraffio,PER,0.98701584
16,56,61,Milan,LOC,0.9991043
17,157,162,Greek,MISC,0.721888
17,271,283,Jesus Christ,PER,0.97242594
18,183,184,S,PER,0.6117696
18,186,204,Giovanni Gualberto,PER,0.93260324
19,60,65,Roman,MISC,0.57365686
19,82,101,Messer Jacopo Galli,PER,0.99000275
22,147,153,Cosimo,PER,0.9850932
22,187,192,Venus,PER,0.93101716
23,39,45,Medici,PER,0.97800726
23,60,67,Lorenzo,PER,0.9963696
24,3,20,S. Maria Maggiore,LOC,0.99685526
24,24,32,Florence,LOC,0.99977905
24,98,102,Piet,LOC,0.40175292
25,20,25,Pucci,PER,0.8529417
26,176,192,S. Maria Novella,PER,0.74857354
26,274,295,Adoration of the Magi,MISC,0.94715804
26,374,382,Our Lord,PER,0.5178059
27,43,63,Church of S. Spirito,LOC,0.9972674
27,67,75,Florence,LOC,0.99959975
28,421,425,Holy,MISC,0.66605794
28,426,432,Spirit,PER,0.5058181
31,355,369,Doves of Venus,MISC,0.76313806
