id,start_pos,end_pos,surface,type,wb_id,named_entity
1,62,70,instance,MISC,OOV,0
1,143,156,panel-picture,MISC,Q55439,0
2,44,56,door-hanging,MISC,Q5297203,0
2,136,152,King of Portugal,PER,Q51711012,1
2,157,161,Adam,PER,Q70899,1
2,166,169,Eve,PER,Q830183,1
2,275,285,lead-white,MISC,Q656004,0
2,308,313,kinds,MISC,Q21146257,0
2,419,429,divine wit,MISC,Q7501062,0
3,96,112,Pope Clement VII,PER,Q83159,1
3,291,300,dew-drops,MISC,Q41097,0
4,119,122,arm,MISC,Q43471,0
5,116,131,draughtsmanship,MISC,OOV,0
6,11,24,panel-picture,MISC,Q55439,0
6,130,152,house of Amerigo Benci,MISC,Q16586386,1
7,182,189,majesty,MISC,Q669458,0
8,219,235,Duchess Beatrice,PER,Q813280,1
8,301,315,Dukes of Milan,PER,Q692686,1
9,21,26,works,MISC,Q17537576,0
9,78,92,King of France,PER,Q18384454; Q60835574,1
9,188,193,steps,MISC,Q16511984,0
10,317,324,marvels,MISC,Q977433,0
10,693,699,beauty,MISC,Q7242,0
11,63,85,portrait of Monna Lisa,MISC,Q12418,1
11,203,225,King Francis of France,PER,Q129857,1
12,21,45,Duke Giuliano de' Medici,PER,Q333340,1
12,66,74,Pope Leo,PER,Q49237,1
12,120,127,studies,MISC,Q1782301,0
13,182,203,Duke Filippo of Milan,PER,Q289285,1
13,227,232,group,MISC,Q16887380,0
14,81,89,Pope Leo,PER,Q49237,1
14,115,137,Madonna with the Child,MISC,Q9309699,1
14,311,318,grounds,MISC,Q21152267,0
15,115,142,Marriage of Cana in Galilee,MISC,Q32066758,1
16,27,61,Giovan Antonio Boltraffio of Milan,PER,Q442528,1
16,213,226,panel in oils,MISC,Q174705,0
17,110,114,city,MISC,Q515,0
17,163,170,masters,MISC,Q3276357,0
17,263,283,life of Jesus Christ,MISC,Q4923891,1
18,92,99,General,MISC,Q103163,0
18,117,130,panel-picture,MISC,Q55439,0
18,183,204,S. Giovanni Gualberto,PER,Q707172,1
21,532,539,matters,MISC,Q26256810,0
22,82,87,nudes,MISC,Q40446,0
22,142,153,Duke Cosimo,PER,Q48547,1
22,178,192,birth of Venus,MISC,Q19760026,1
23,26,45,house of the Medici,MISC,Q911047,1
23,54,67,elder Lorenzo,PER,Q932292,1
23,171,175,size,MISC,Q322481,0
24,3,32,S. Maria Maggiore in Florence,LOC,Q849356,1
24,98,103,Pietà,MISC,Q223689,1
24,116,123,figures,MISC,Q29527347,0
25,7,25,house of the Pucci,LOC,Q3360912,1
26,165,171,façade,MISC,Q183061,0
26,175,191,S. Maria Novella,LOC,Q51175,1
26,223,229,church,MISC,Q16970,0
26,237,241,door,MISC,Q36794,0
26,249,255,centre,MISC,Q23595,0
26,273,294,Adoration of the Magi,MISC,Q488841,1
26,339,346,old man,MISC,Q191089,0
26,310,317,feeling,MISC,Q205555,0
26,365,369,foot,MISC,Q15807,0
26,373,381,Our Lord,PER,Q190,1
26,400,410,tenderness,MISC,Q19816620,0
26,456,459,end,MISC,Q12769393,0
26,472,479,journey,MISC,Q61509,0
27,43,75,Church of S. Spirito at Florence,LOC,Q1519975,1
27,192,196,pair,MISC,Q2570803,0
28,21,24,art,MISC,Q735,0
28,29,36,actions,MISC,Q4026292,0
28,214,221,brother,MISC,Q16824629,0
28,421,432,Holy Spirit,MISC,Q37302,1
29,131,136,belly,MISC,Q66505048,0
29,173,179,animal,MISC,Q729,0
31,274,279,grove,MISC,Q1510380,0
31,355,360,Doves,MISC,Q10856,0
31,364,369,Venus,MISC,Q47652,1
31,384,391,emblems,MISC,Q112110,0
32,290,296,marvel,MISC,Q977433,0
32,382,390,features,MISC,Q1207505,0
