id,start_pos,end_pos,surface,type
2,144,152,Portugal,LOC
2,157,169,Adam and Eve,PER
3,101,112,Clement VII,PER
6,139,152,Amerigo Benci,PER
8,227,235,Beatrice,PER
8,310,315,Milan,LOC
9,86,92,France,LOC
11,75,85,Monna Lisa,PER
11,208,215,Francis,PER
11,219,225,France,LOC
12,26,45,Giuliano de'Medici,PER
12,71,74,Leo,PER
13,187,194,Filippo,PER
13,198,203,Milan,LOC
14,86,89,Leo,PER
14,115,127,Madonna with,PER
14,128,137,the Child,MISC
15,115,131,Marriage of Cana,MISC
15,135,142,Galilee,LOC
16,27,52,Giovan Antonio Boltraffio,PER
16,56,61,Milan,LOC
17,157,162,Greek,MISC
17,271,283,Jesus Christ,PER
18,183,184,S,PER
18,186,204,Giovanni Gualberto,PER
19,60,65,Roman,MISC
22,147,153,Cosimo,PER
22,187,192,Venus,PER
23,39,45,Medici,PER
23,60,67,Lorenzo,PER
24,3,20,S. Maria Maggiore,LOC
24,24,32,Florence,LOC
24,98,102,Piet,LOC
25,20,25,Pucci,PER
26,176,192,S. Maria Novella,PER
26,274,295,Adoration of the Magi,MISC
26,374,382,Our Lord,PER
27,43,63,Church of S. Spirito,LOC
27,67,75,Florence,LOC
28,421,425,Holy,MISC
28,426,432,Spirit,PER
31,355,369,Doves of Venus,MISC
8,71,74,end,MISC
10,207,211,days,MISC
10,296,301,order,MISC
11,63,71,portrait,MISC
11,132,137,years,MISC
12,21,25,duke,MISC
12,98,102,time,MISC
13,182,186,duke,MISC
16,118,127,year 1500,MISC
16,213,218,panel,MISC
16,222,226,oils,MISC
18,65,71,praise,MISC
19,218,223,palms,MISC
22,75,87,female nudes,MISC
24,117,124,figures,MISC
26,8,12,time,MISC
26,94,101,braccio,MISC
26,224,230,church,MISC
26,238,242,door,MISC
26,250,256,centre,MISC
26,311,318,feeling,MISC
26,340,347,old man,MISC
26,366,370,foot,MISC
26,401,411,tenderness,MISC
26,457,460,end,MISC
26,473,480,journey,MISC
31,20,27,picture,MISC
31,41,45,nude,MISC
