id,start_pos,end_pos,surface,type,score
1,163,167,John,PER,0.9819934964179993
2,144,152,Portugal,LOC,0.4439886212348938
6,139,152,Amerigo Benci,PER,0.7040388584136963
7,34,45,Friars of S,MISC,0.5395364662011465
7,47,54,Dominic,PER,0.5707515478134155
7,62,80,Maria delle Grazie,PER,0.9678601622581482
8,227,235,Beatrice,PER,0.5032399296760559
8,310,315,Milan,LOC,0.9141762852668762
9,86,92,France,LOC,0.6726341843605042
10,60,64,Anne,PER,0.9708024859428406
10,819,823,John,PER,0.9994903802871704
10,899,903,Anne,PER,0.9993166923522949
11,75,85,Monna Lisa,PER,0.9970622062683105
11,208,215,Francis,PER,0.48768350481987
11,219,225,France,LOC,0.9995139837265015
13,111,124,Maria Novella,PER,0.9601358473300934
13,182,194,Duke Filippo,PER,0.9476626813411713
13,198,203,Milan,LOC,0.9992315769195557
14,71,77,Datary,MISC,0.4351993799209595
14,115,122,Madonna,PER,0.41054779291152954
15,65,81,Maria della Pace,PER,0.9817580580711365
15,115,131,Marriage of Cana,MISC,0.7578979134559631
15,135,142,Galilee,LOC,0.9981777667999268
16,27,52,Giovan Antonio Boltraffio,PER,0.9982001781463623
16,56,61,Milan,LOC,0.9995604157447815
16,238,246,Our Lady,PER,0.5282264649868011
17,157,162,Greek,MISC,0.9945100545883179
17,185,196,Church of S,LOC,0.7158084114392599
17,198,207,Francesco,PER,0.9981264472007751
17,271,283,Jesus Christ,PER,0.8464143574237823
17,299,306,Francis,PER,0.5312514305114746
18,265,273,Cardinal,MISC,0.8546966910362244
19,60,65,Roman,MISC,0.9890114068984985
21,93,105,Vespucci a S,MISC,0.6388152639071146
21,107,116,Augustine,PER,0.7905479073524475
21,271,277,Jerome,PER,0.9958223104476929
22,187,192,Venus,PER,0.506610631942749
22,205,222,Winds and Zephyrs,MISC,0.6686190664768219
23,39,45,Medici,PER,0.7127295136451721
23,60,67,Lorenzo,PER,0.9270287156105042
23,200,209,Sebastian,PER,0.9984240531921387
24,3,20,S. Maria Maggiore,LOC,0.7284965316454569
24,24,32,Florence,LOC,0.9994926452636719
25,20,25,Pucci,PER,0.7791601419448853
26,179,192,Maria Novella,PER,0.9761230647563934
26,291,295,Magi,MISC,0.6775169968605042
26,378,382,Lord,PER,0.36552074551582336
27,43,63,Church of S . Spirito,LOC,0.737960946559906
27,67,75,Florence,LOC,0.9993263483047485
27,143,151,Nicholas,PER,0.9856535792350769
27,162,169,Anthony,PER,0.9943757057189941
28,203,210,Filippo,PER,0.792843222618103
29,105,113,Margaret,PER,0.965146541595459
30,98,124,Andromeda from the Monster,MISC,0.6434722691774368
31,355,360,Doves,MISC,0.7201659083366394
32,92,99,Michele,PER,0.9709504246711731
