id,start_pos,end_pos,surface,type,score
1,35,58,Mercatanzia di Fiorenza,ORG,0.9597692688306173
1,64,72,Fortezza,MISC,0.5896926522254944
1,93,98,Virt√,MISC,0.33270859718322754
1,104,111,Antonio,PER,0.8748385310173035
1,114,134,Piero del Pollaiuolo,PER,0.9929240743319193
2,3,13,Ogni Santi,PER,0.9657579660415649
2,77,85,Vespucci,PER,0.5367196202278137
2,90,104,Santo Agostino,LOC,0.6184372901916504
3,8,14,Medici,ORG,0.8566668629646301
3,18,33,Lorenzo Vecchio,PER,0.983557403087616
3,74,81,Pallade,MISC,0.9896111488342285
3,183,184,S,MISC,0.6517053246498108
3,186,196,Sebastiano,PER,0.9484094977378845
3,200,231,Santa Maria Maggior di Fiorenza,LOC,0.7950539231300354
4,14,20,Sandro,PER,0.9997714161872864
4,123,142,Santa Maria Novella,LOC,0.9859560132026672
4,269,288,Adorazione de ' Magi,PER,0.47463707625865936
4,361,375,Nostro Signore,LOC,0.6541134119033813
5,14,19,Piero,PER,0.9999533891677856
5,47,56,' Tedaldi,PER,0.662423700094223
5,74,89,frati de ' Servi,LOC,0.8164960294961929
5,139,146,Filippo,PER,0.5440894961357117
5,179,196,Nostra Donnaritta,LOC,0.7335685789585114
5,267,276,Figliuolo,MISC,0.6824074983596802
5,327,340,Spirito Santo,LOC,0.5923675000667572
6,11,19,Fiorenza,PER,0.8399012088775635
6,169,194,Santo Spirito di Fiorenza,LOC,0.6287959888577461
6,220,232,Gino Capponi,PER,0.9949785470962524
6,266,293,Visitazione di Nostra Donna,MISC,0.7030345499515533
6,299,310,San Nicolao,LOC,0.621536374092102
6,317,330,Santo Antonio,ORG,0.45758552849292755
7,38,44,Venere,ORG,0.9710785746574402
7,59,64,Marte,PER,0.8979638814926147
7,153,158,Amori,ORG,0.4718285799026489
7,241,246,Marte,PER,0.6137194633483887
7,279,285,Cupido,MISC,0.9838428497314453
7,344,350,Venere,ORG,0.3696095049381256
7,371,376,Amore,MISC,0.9848487973213196
8,12,27,Giovan Vespucci,PER,0.9708759188652039
8,52,53,S,MISC,0.7757915258407593
8,55,84,Michele della via de‚ Äô Servi,PER,0.7145717342694601
8,94,107,Pier Salviati,LOC,0.8189294040203094
9,0,13,Dipinse Piero,PER,0.8639551401138306
9,18,41,Filippo Strozzi Vecchio,PER,0.845750113328298
9,79,85,Perseo,PER,0.8652234673500061
9,93,102,Andromeda,ORG,0.973097562789917
10,23,32,Ser Piero,PER,0.7448578178882599
10,77,97,Andrea del Verocchio,PER,0.9718805352846781
10,133,145,San Giovanni,MISC,0.9253209829330444
10,157,163,Cristo,PER,0.9984105825424194
10,165,173,Lionardo,PER,0.9999583959579468
10,333,341,Lionardo,PER,0.9302133321762085
11,0,2,Li,PER,0.8529579639434814
11,56,63,Fiandra,LOC,0.9747822880744934
11,104,120,Re di Portogallo,MISC,0.6749537587165833
11,161,169,Paradiso,MISC,0.8948358297348022
11,212,220,Lionardo,PER,0.9954333901405334
12,9,17,Lionardo,PER,0.9870190620422363
12,22,34,Nostra Donna,ORG,0.8384492695331573
12,65,82,Papa Clemente VII,PER,0.9454258481661478
13,3,16,Antonio Segni,PER,0.9961925745010376
13,58,65,Nettuno,MISC,0.9091859459877014
14,15,21,Milano,LOC,0.9999011754989624
14,35,47,San Domenico,LOC,0.7667473256587982
14,50,74,Santa Maria de le Grazie,LOC,0.9777011752128602
14,78,86,Cenacolo,MISC,0.8836403489112854
14,141,149,Apostoli,MISC,0.7864886522293091
14,197,203,Cristo,PER,0.9963579773902893
14,295,301,Cristo,PER,0.9981862902641296
15,46,58,Nostra Donna,ORG,0.5453991889953613
15,66,76,Santa Anna,LOC,0.7667035162448883
15,85,91,Cristo,MISC,0.8687220811843872
15,329,337,Lionardo,PER,0.9987586736679077
16,0,14,Prese Lionardo,PER,0.8666299879550934
16,25,47,Francesco del Giocondo,PER,0.9416898091634115
16,63,72,Mona Lisa,PER,0.8669334352016449
16,167,190,Re Francesco di Francia,PER,0.533218540251255
16,194,205,Fontanableo,LOC,0.9550514817237854
17,30,38,Lionardo,PER,0.9998900890350342
17,90,109,Santa Maria Novella,LOC,0.9843131303787231
17,133,140,Niccol√,PER,0.8572613000869751
17,142,151,Piccinino,PER,0.5229631066322327
17,165,187,Duca Filippo di Milano,PER,0.8987421244382858
18,0,8,Lionardo,PER,0.9999383687973022
18,44,51,Francia,LOC,0.9999191761016846
18,162,172,Santa Anna,LOC,0.9212713837623596
19,16,49,Lionardo Giovanantonio Boltraffio,PER,0.8716555833816528
19,104,117,Marco Uggioni,PER,0.9931609034538269
19,126,148,Santa Maria della Pace,LOC,0.9837414473295212
19,157,181,Transito di Nostra Donna,MISC,0.757402315735817
19,187,207,Nozze di Canagalilee,MISC,0.8746842940648397
20,48,62,Santa Caterina,LOC,0.9769823551177979
20,91,99,Itiranno,PER,0.4909619987010956
20,129,146,Passion di Cristo,MISC,0.8072992563247681
20,175,180,Marie,PER,0.9971446394920349
20,209,222,Vergine Maria,PER,0.6216211318969727
21,12,21,Raffaello,PER,0.9775220155715942
21,47,59,Lorenzo Nasi,PER,0.9961772263050079
21,115,123,Rafaello,PER,0.9947056174278259
21,152,164,Nostra Donna,ORG,0.5638836920261383
21,250,262,San Giovanni,LOC,0.6495114862918854
22,15,34,Signoria di Vinezia,ORG,0.5641642908255259
22,80,101,Bartolomeo da Bergamo,PER,0.8906818628311157
22,198,204,Senato,ORG,0.9966346621513367
22,286,310,piazza di Santo Giovanni,LOC,0.9088392853736877
22,313,317,Polo,LOC,0.4648755192756653
22,338,346,d'Andrea,PER,0.6637253761291504
22,364,370,Italia,LOC,0.9795944094657898
22,416,424,Fiorenza,LOC,0.7953076362609863
22,441,448,Venezia,LOC,0.9999653100967407
23,103,111,Castello,LOC,0.9863538146018982
23,123,134,Duca Cosimo,LOC,0.6128683835268021
23,142,153,di Fiorenza,PER,0.6706249564886093
23,187,193,Venere,ORG,0.375188946723938
23,290,296,Venere,MISC,0.5228977203369141
23,304,310,Grazie,MISC,0.5316088199615479
