id,start_pos,end_pos,surface,type
1,46,53,boyhood,MISC
1,74,83,Ser Piero,PER
1,94,97,art,MISC
1,103,124,Andrea del Verrocchio,PER
1,160,167,S. John,PER
1,178,184,Christ,PER
1,191,199,Leonardo,PER
1,211,216,angel,MISC
1,238,246,garments,MISC
1,274,277,lad,MISC
1,279,287,Leonardo,PER
1,310,316,manner,MISC
1,326,331,angel,MISC
1,357,364,figures,MISC
1,368,374,Andrea,PER
1,390,396,reason,MISC
1,402,408,Andrea,PER
1,433,439,colour,MISC
1,459,464,child,MISC
2,30,37,cartoon,MISC
2,84,92,Flanders,LOC
2,103,107,gold,MISC
2,112,116,silk,MISC
2,185,201,Earthly Paradise,MISC
2,211,219,Leonardo,PER
2,234,239,brush,MISC
2,243,254,chiaroscuro,MISC
2,265,271,lights,MISC
2,289,295,meadow,MISC
2,317,324,herbage,MISC
2,336,343,animals,MISC
2,389,398,diligence,MISC
2,403,408,truth,MISC
2,412,418,nature,MISC
2,358,363,truth,MISC
3,0,8,Leonardo,PER
3,21,28,picture,MISC
3,32,40,Our Lady,PER
3,59,63,work,MISC
3,82,92,possession,MISC
3,180,184,vase,MISC
3,131,137,things,MISC
3,193,198,water,MISC
3,216,223,flowers,MISC
3,258,269,naturalness,MISC
3,308,315,flowers,MISC
3,354,361,reality,MISC
4,21,33,works of art,MISC
4,41,62,Palace of Duke Cosimo,LOC
4,82,86,head,MISC
4,93,98,angel,MISC
4,130,133,air,MISC
4,184,192,shoulder,MISC
4,200,205,elbow,MISC
4,240,244,hand,MISC
4,252,258,breast,MISC
5,4,17,Antonio Segni,PER
5,41,47,friend,MISC
5,63,77,sheet of paper,MISC
5,81,88,Neptune,MISC
6,32,53,Adoration of the Magi,MISC
6,81,87,things,MISC
6,106,111,heads,MISC
6,167,185,Loggia de'Peruzzi,LOC
6,239,244,works,MISC
7,19,24,Milan,LOC
7,34,54,Friars of S. Dominic,MISC
7,59,80,S. Maria delle Grazie,LOC
7,84,95,Last Supper,MISC
7,129,134,thing,MISC
7,147,152,heads,MISC
7,160,168,Apostles,PER
7,194,200,beauty,MISC
7,219,223,head,MISC
7,227,233,Christ,PER
7,300,303,air,MISC
7,330,335,image,MISC
7,339,345,Christ,PER
8,12,21,refectory,MISC
8,51,62,Last Supper,MISC
8,75,79,wall,MISC
8,91,98,Passion,MISC
8,110,116,manner,MISC
8,118,126,Leonardo,PER
8,146,154,Lodovico,PER
8,161,173,Massimiliano,PER
8,186,189,son,MISC
8,209,213,side,MISC
8,242,251,Francesco,PER
8,265,268,son,MISC
9,30,38,Leonardo,PER
9,54,59,Milan,LOC
9,68,72,time,MISC
9,104,112,Leonardo,PER
9,148,153,thing,MISC
9,162,166,lion,MISC
9,214,220,breast,MISC
9,244,250,lilies,MISC
10,7,10,end,MISC
10,22,29,cartoon,MISC
10,43,50,Madonna,PER
10,57,64,S. Anne,PER
10,73,79,Christ,PER
10,111,120,craftsmen,MISC
10,159,162,men,MISC
10,167,172,women,MISC
10,227,232,sight,MISC
10,246,250,room,MISC
10,283,291,festival,MISC
10,328,336,Leonardo,PER
10,361,367,people,MISC
10,393,397,face,MISC
10,406,413,Madonna,PER
10,471,481,simplicity,MISC
10,486,492,beauty,MISC
10,500,505,grace,MISC
10,511,518,picture,MISC
10,526,542,Mother of Christ,PER
10,573,580,modesty,MISC
10,590,598,humility,MISC
10,626,631,image,MISC
10,639,645,Virgin,PER
10,670,678,gladness,MISC
10,707,710,Son,PER
10,756,759,lap,MISC
10,738,748,tenderness,MISC
10,787,791,gaze,MISC
10,816,823,S. John,PER
10,837,840,boy,MISC
10,865,869,lamb,MISC
10,885,890,smile,MISC
10,896,903,S. Anne,PER
10,927,930,joy,MISC
10,958,965,progeny,MISC
10,981,986,ideas,MISC
10,1007,1012,brain,MISC
10,1017,1023,genius,MISC
10,1027,1035,Leonardo,PER
11,0,8,Leonardo,PER
11,35,57,Francesco del Giocondo,PER
11,91,95,wife,MISC
11,170,174,work,MISC
11,189,199,collection,MISC
11,230,243,Fontainebleau,LOC
12,11,15,Rome,LOC
