id,start_pos,end_pos,surface,type,score
1,74,83,Ser Piero,PER,0.9669188
1,103,124,Andrea del Verrocchio,PER,0.9996276
1,160,167,S. John,PER,0.7879479
1,178,184,Christ,PER,0.89505774
1,191,199,Leonardo,PER,0.9987483
1,279,287,Leonardo,PER,0.9989743
1,368,374,Andrea,PER,0.99748766
1,402,408,Andrea,PER,0.9975649
2,84,92,Flanders,LOC,0.9993789
2,185,201,Earthly Paradise,MISC,0.9102066
2,211,219,Leonardo,PER,0.9971777
3,0,8,Leonardo,PER,0.99900347
3,32,40,Our Lady,PER,0.434129
4,41,62,Palace of Duke Cosimo,LOC,0.99427027
5,4,17,Antonio Segni,PER,0.9999024
5,81,88,Neptune,MISC,0.34486955
6,32,53,Adoration of the Magi,MISC,0.9121563
6,167,185,Loggia de'Peruzzi,LOC,0.9977388
7,19,24,Milan,LOC,0.9996055
7,34,54,Friars of S. Dominic,MISC,0.43697992
7,59,80,S. Maria delle Grazie,LOC,0.9930655
7,84,95,Last Supper,MISC,0.87741995
7,160,168,Apostles,PER,0.49926606
7,227,233,Christ,PER,0.9582359
7,339,345,Christ,PER,0.960777
8,51,62,Last Supper,MISC,0.8334198
8,91,98,Passion,MISC,0.47039518
8,118,126,Leonardo,PER,0.99949694
8,146,154,Lodovico,PER,0.9724665
8,161,173,Massimiliano,PER,0.9620593
8,242,251,Francesco,PER,0.9978375
9,30,38,Leonardo,PER,0.9994172
9,54,59,Milan,LOC,0.9996848
9,104,112,Leonardo,PER,0.99839157
10,43,50,Madonna,PER,0.94033676
10,57,64,S. Anne,PER,0.7938083
10,73,79,Christ,PER,0.9110191
10,328,336,Leonardo,PER,0.9977264
10,406,413,Madonna,PER,0.99024
10,526,542,Mother of Christ,PER,0.64823395
10,639,645,Virgin,PER,0.64619154
10,707,710,Son,PER,0.51909655
10,816,823,S. John,PER,0.7976187
10,896,903,S. Anne,PER,0.75715977
10,1027,1035,Leonardo,PER,0.998321
11,0,8,Leonardo,PER,0.9992155
11,35,57,Francesco del Giocondo,PER,0.9988889
11,230,243,Fontainebleau,LOC,0.99865496
12,11,15,Rome,LOC,0.9994791
13,10,18,Leonardo,PER,0.9991591
13,77,90,Sala del Papa,LOC,0.9980772
13,108,124,S. Maria Novella,LOC,0.98888224
13,152,169,Niccolo Piccinino,PER,0.99392146
14,26,61,Messer Baldassarre Turini da Pescia,PER,0.96293485
15,31,44,Marco Oggioni,PER,0.9999027
15,62,81,S. Maria della Pace,LOC,0.9954999
15,87,106,Passing of Our Lady,MISC,0.9292185
16,14,22,Leonardo,PER,0.99935836
16,166,192,Church of the Misericordia,LOC,0.8849699
