id,sentence
agnolo:608,"To one Michele d'Agnolo of Poggibonzi, in the village of Montorsoli, which is three miles distant from Florence on the road to Bologna, where he had a good farm of some size, there was born a male child, to whom he gave the name of his father, Agnolo. That child, growing up, and having an inclination for design, as could be readily seen, was placed by his father, according to the advice of friends, to learn stone-cutting under some masters who worked at the quarries of Fiesole, almost opposite to Montorsoli. Agnolo continuing to ply the chisel with those masters, in company with Francesco del Tadda, who was then a lad, and with others, not many months had passed before he knew very well how to handle the tools and to execute many kinds of work in that profession. Having then contracted a friendship by means of Francesco del Tadda with Maestro Andrea, a sculptor of Fiesole, the genius of the child so pleased that master, that he conceived an affection for him, and began to teach him; and thus he kept him in his workshop for three years. After which time, his father Michele being dead, Agnolo went off in company with other young stone-cutters to Rome, where, having been set to work on the building of S. Pietro, he carved some of those rosettes that are in the great cornices which encircle the interior of that temple, with much profit to himself and a good salary. Having then departed from Rome, I know not why, he placed himself in Perugia with a master stone-cutter, who at the end of a year left him in charge of all his works. But, recognizing that to stay at Perugia was not the life for him, and that he was not learning, he went off, when the opportunity to depart presented itself, to work on the tomb of M. Raffaello Maffei, called Il  Volterrano, at Volterra; and in that work, which was being made in marble, he carved some things which showed that his genius was destined some day to achieve a good result."
agnolo:609,"These buildings being then suspended in the year 1527 on account of the plague and for other reasons, Agnolo, not knowing what else to do, went to Poggibonzi, from which place his father and grandfather had their origin; and there he remained for a time with M. Giovanni Norchiati, his uncle, a pious and well-lettered man, doing nothing but draw and study."
agnolo:610,"That Fra Martino, having recognized the young man's genius, reflected that he was little able to exercise it among those Fathers, who do nothing but say Paternosters, make windows of glass, distil waters, and lay out gardens, with other suchlike pursuits, and do not study or give their attention to letters; and he contrived to say and do so much that the young man, going forth from the Ingesuati, assumed the habit among the Servite Friars of the Nunziata in Florence on the seventh day of October in the year 1530, receiving the name of Fra Giovanni Agnolo."
agnolo:611,"When Michelagnolo, with the assistance of Fra Giovanni Agnolo, had finished and placed in position the statues of Duke Giuliano and Duke Lorenzo, being summoned by the Pope, who wished that arrangements should be made for executing in marble the façade of S. Lorenzo, he went to Rome; but he had not made a long stay there, when, Pope Clement dying, everything was left unfinished."
agnolo:613,"These were executed under the direction of the Frate, who, having at the last constructed a fish-pond in front of that Palace, made a sea monster of marble in full-relief, which pours water in great abundance into that fish-pond; and after the likeness of that monster he made for those lords another, which was sent into Spain to Granvela."
agnolo:614,"Finally Fra Giovanni Agnolo departed from Genoa and went to Naples, where he set up in the place already mentioned the tomb of Sannazzaro, which is composed in this fashion."
agnolo_and_agostino:615,"Among others who exercised themselves in the school of the sculptors Giovanni and Niccola of Pisa, Agostino and Agnolo, sculptors of Siena, of whom we are at present about to write the Life, became very excellent for those times. These, according to what I find, were born from a father and mother of Siena, and their forefathers were architects, seeing that in the year 1190, under the rule of the three Consuls, they brought to perfection the Fontebranda, and afterwards, in the following year, under the same Consulate, the Customs-house of that city and other buildings. And in truth it is clear that very often the seeds of talent germinate in the houses where they have lain for some time, and throw out shoots which afterwards produce greater and better fruits than the first plants had done. Agostino and Agnolo, then, adding great betterment to the manner of Giovanni and Niccola of Pisa, enriched the art with better design and invention, as their works clearly demonstrate. It is said that the aforesaid Giovanni, returning from Naples to Pisa in the year 1284, stayed in Siena in order to make the design and foundation for the façade of the Duomo, wherein are the three principal doors, to the end that it might be all adorned very richly with marbles; and that then Agostino, being no more than fifteen years of age, went to be with him in order to apply himself to sculpture, whereof he had learnt the first principles, being no less inclined to this art than to the matters of architecture. And so, under the teaching of Giovanni, by means of continual study he surpassed all his fellow-disciples in design, grace, and manner, so greatly that it was said by all that he was the right eye of his master. And because, between people who love each other, there is no gift, whether of nature, or of soul, or of fortune, that is mutually desired so much as excellence, which alone makes men great and noble, and what is more, most happy both in this life and in the other, therefore Agostino, seizing this occasion of assistance from Giovanni, drew his brother Agnolo into the same pursuit."
agnolo_and_agostino:618,"And seeing that he applied himself not only to sculpture but to architecture as well, no long time passed before, under the rule of the Nine in Siena, Agostino made the design of their Palace in Malborghetto, which was in the year 1308."
agnolo_and_agostino:619,"A disciple of Maestro Cione, also, was Leonardo di Ser Giovanni, a Florentine, who wrought many works in chasing and soldering, with better design than the others before him had shown, and in particular the altar and panel of silver in S. Jacopo at Pistoia; in which work, besides the scenes, which are numerous, there was much praise given to a figure in the round that he made in the middle, representing S. James, more than one braccio in height, and wrought with so great finish that it appears rather to have been made by casting than by chasing."
baccio_bandinelli:627,"In the days when the arts of design flourished in Florence by the favour and assistance of the elder Lorenzo de' Medici the Magnificent, there lived in the city a goldsmith called Michelagnolo di Viviano of Gaiuole, who worked excellently well at chasing and incavo for enamels and niello, and was very skilful in every sort of work in gold and silver plate. This Michelagnolo had a great knowledge of jewels, and set them very well; and on account of his talents and his versatility all the foreign masters of his art used to have recourse to him, and he gave them hospitality, as well as to the young men of the city, insomuch that his workshop was held to be, as it was, the first in Florence. Of him the Magnificent Lorenzo and all the house of Medici availed themselves; and for the tourney that Giuliano, the brother of that Magnificent Lorenzo, held on the Piazza di S. Croce, he executed with subtle craftsmanship all the ornaments of helmets, crests, and devices. Wherefore he acquired a great name and much intimacy with the sons of the Magnificent Lorenzo, to whom his work was ever afterwards very dear, and no less useful to him their acquaintance and friendship, by reason of which, and also by the many works that he executed throughout the whole city and dominion, he became a man of substance as well as one of much repute in his art. To this Michelagnolo the Medici, on their departure from Florence in the year 1494, entrusted much plate in silver and gold, which was all kept in safe hiding by him and faithfully preserved until their return, when he was much extolled by them for his fidelity, and afterwards recompensed with rewards. In the year 1487 there was born to Michelagnolo a son, whom he called Bartolommeo, but afterwards, according to the Florentine custom, he was called by everyone Baccio. Michelagnolo, desiring to leave his son heir to his art and connection, took him into his own workshop in company with other young men who were learning to draw; for that was the custom in those times, and no one was held to be a good goldsmith who was not a good draughtsman and able to work well in relief."
