id,start_pos,end_pos,surface,entity,wb_id,score
0,74,82,florence,Florence,Q2044,84.37399
0,123,144,library of s. lorenzo,"San Lorenzo, Florence",Q573881,83.33096
0,134,144,s. lorenzo,"San Lorenzo, Florence",Q573881,82.67793
0,485,491,loreto,"Loreto, Marche",Q124110,80.000656
0,541,549,florence,Florence,Q2044,82.171814
0,593,605,duke lorenzo,Lorenzo de' Medici,Q177854,82.97109
0,610,623,duke giuliano,Giuliano de' Medici,Q298877,83.301094
0,1098,1120,raffaello da montelupo,Raffaello da Montelupo,Q1370859,88.569756
0,1528,1534,arezzo,Arezzo,Q13378,81.10879
0,1544,1550,vasari,Giorgio Vasari,Q128027,84.735435
0,2038,2051,duke giuliano,Giuliano de' Medici,Q298877,83.248474
0,2180,2190,s. lorenzo,"San Lorenzo, Florence",Q573881,83.90566
0,2203,2207,rome,Rome,Q220,82.6004
0,2309,2317,florence,Florence,Q2044,82.033295
1,27,37,poggibonzi,Poggibonsi,Q91350,83.337715
1,103,111,florence,Florence,Q2044,85.89071
1,127,134,bologna,Bologna,Q1891,85.415146
1,474,481,fiesole,Fiesole,Q82670,83.34883
1,877,884,fiesole,Fiesole,Q82670,82.146774
1,1162,1166,rome,Rome,Q220,82.89274
1,1410,1414,rome,Rome,Q220,82.29054
1,1453,1460,perugia,Perugia,Q3437,84.19241
1,1584,1591,perugia,Perugia,Q3437,83.03975
1,1733,1752,m. raffaello maffei,Raffaello Maffei,Q3417362,86.26786
1,1780,1788,volterra,Volterra,Q103305,82.977295
2,69,77,giovanni,Giovanni Pisano,Q314932,77.259964
2,93,97,pisa,Pisa,Q13375,83.19803
2,133,138,siena,Siena,Q2751,83.32803
2,301,306,siena,Siena,Q2751,82.998184
2,445,456,fontebranda,"Fontebranda, Siena",Q3747505,79.475746
2,527,540,customs-house,Custom house,Q218653,81.01052
2,868,876,giovanni,Giovanni Pisano,Q314932,77.619965
2,892,896,pisa,Pisa,Q13375,82.54656
2,1040,1046,naples,Naples,Q2634,83.37807
2,1050,1054,pisa,Pisa,Q13375,84.663734
2,1083,1088,siena,Siena,Q2751,83.77281
3,541,545,pisa,Pisa,Q13375,82.6266
3,712,717,siena,Siena,Q2751,83.22615
3,719,727,agostino,Agostino da Siena,Q395759,81.6337
3,890,895,siena,Siena,Q2751,81.982086
3,1377,1389,porta a tufi,"Porta Tufi, Siena",Q3908860,82.93541
3,1709,1716,orvieto,Orvieto,Q541,82.89072
4,50,58,florence,Florence,Q2044,83.3745
4,101,135,lorenzo de' medici the magnificent,Lorenzo de' Medici,Q177854,85.04905
4,687,695,florence,Florence,Q2044,84.34243
4,708,727,magnificent lorenzo,Lorenzo de' Medici,Q177854,82.43879
4,749,755,medici,House of Medici,Q170022,80.32627
4,801,809,giuliano,Giuliano de' Medici,Q298877,83.86476
4,831,850,magnificent lorenzo,Lorenzo de' Medici,Q177854,81.748405
4,1047,1066,magnificent lorenzo,Lorenzo de' Medici,Q177854,81.25897
4,1377,1383,medici,House of Medici,Q170022,80.43585
4,1409,1417,florence,Florence,Q2044,83.311844
5,104,110,loreto,"Loreto, Marche",Q124110,80.57001
5,144,186,maestro andrea contucci of monte sansovino,Andrea Sansovino,Q495011,82.80456
5,321,325,rome,Rome,Q220,81.28872
5,374,379,david,David,Q41370,83.43422
5,396,403,goliath,Goliath,Q192785,84.54039
5,555,561,medici,House of Medici,Q170022,78.81856
5,565,573,florence,Florence,Q2044,83.89435
5,648,661,medici palace,Palazzo Medici Riccardi,Q911047,82.187836
5,810,815,david,David,Q41370,78.486244
5,829,835,loreto,"Loreto, Marche",Q124110,79.96218
5,938,944,loreto,"Loreto, Marche",Q124110,79.599075
5,2210,2216,loreto,"Loreto, Marche",Q124110,82.046364
5,2250,2256,ancona,Ancona,Q3415,83.43259
5,2393,2415,raffaello da montelupo,Raffaello da Montelupo,Q1370859,87.30387
6,1125,1151,filippo di ser brunellesco,Filippo Brunelleschi,Q174330,79.39622
6,1227,1233,giotto,Giotto,Q7814,83.6351
6,1313,1319,heaven,Heaven,Q4489450,81.14669
6,1639,1645,heaven,Heaven,Q4489450,81.00042
6,2004,2010,heaven,Heaven,Q4489450,79.87564
7,29,37,florence,Florence,Q2044,82.1093
7,1963,1970,pistoia,Pistoia,Q13376,82.753784
8,11,28,siege of florence,Siege of Florence (1529–30),Q981042,80.13185
8,20,28,florence,Florence,Q2044,83.21928
8,518,537,giuliano bugiardini,Giuliano Bugiardini,Q2578459,85.378334
8,730,736,medici,House of Medici,Q170022,80.034676
8,823,831,bertoldo,Bertoldo di Giovanni,Q828363,85.38765
8,1932,1940,granacci,Francesco Granacci,Q717097,84.18242
8,1948,1968,domenico ghirlandajo,Domenico Ghirlandaio,Q191423,82.941635
8,2017,2033,s. maria novella,Santa Maria Novella,Q51175,85.79547
9,29,53,cardinal innocenzio cibo,Innocenzo Cybo,Q1386991,87.14472
9,181,199,cardinal de' rossi,Luigi de' Rossi,Q733662,83.33047
9,217,235,cardinal de' rossi,Luigi de' Rossi,Q733662,85.044106
10,769,784,marco calavrese,Marco Cardisco,Q2559941,81.7359
10,872,878,naples,Naples,Q2634,82.107445
10,943,947,rome,Rome,Q220,80.907814
10,1036,1041,siren,Siren (mythology),Q150986,79.3407
10,1145,1151,sebeto,Sebeto,Q3953836,79.46107
10,1257,1263,heaven,Heaven,Q4489450,81.60165
10,1516,1522,aversa,Aversa,Q19279,81.58813
10,1547,1553,naples,Naples,Q2634,83.7433
10,1756,1768,s. augustine,Augustine of Hippo,Q8018,81.66055
10,1814,1820,christ,Jesus,Q302,80.561745
10,1825,1831,saints,Saint,Q43115,80.76249
11,116,124,calabria,Calabria,Q1458,82.85887
11,129,135,ascoli,Ascoli Piceno,Q6624,79.98407
11,144,150,norcia,Norcia,Q20494,82.11171
11,483,487,rome,Rome,Q220,80.25403
11,533,539,ascoli,Ascoli Piceno,Q6624,81.76366
11,726,732,ascoli,Ascoli Piceno,Q6624,79.88574
11,749,762,pope paul iii,Pope Paul III,Q133001,89.50456
11,1288,1294,ascoli,Ascoli Piceno,Q6624,80.95507
11,1456,1481,signor alessandro vitelli,Alessandro Vitelli,Q621395,84.21527
11,1506,1513,matrice,Matrice,Q277684,80.77827
11,1557,1574,città di castello,Città di Castello,Q20413,85.541595
11,1731,1738,matrice,Matrice,Q277684,79.645035
12,6,15,giorgione,Giorgione,Q8459,84.6904
12,20,29,correggio,Antonio da Correggio,Q8457,84.000275
12,98,106,lombardy,Lombardy,Q1210,85.225296
12,108,115,tuscany,Tuscany,Q1273,81.88862
12,273,288,cosimo rosselli,Cosimo Rosselli,Q29447,82.55713
12,322,337,piero di cosimo,Piero di Cosimo,Q280851,80.13769
13,108,122,servite friars,Servite Order,Q615923,81.37162
13,346,352,heaven,Heaven,Q4489450,82.40509
13,421,432,holy spirit,Holy Spirit,Q37302,85.56885
13,583,594,s. margaret,Margaret the Virgin,Q297742,82.97543
13,601,613,s. catherine,Catherine of Alexandria,Q179718,82.32077
13,658,666,s. peter,Saint Peter,Q33923,84.29082
13,671,693,s. john the evangelist,John the Evangelist,Q328804,86.053986
13,757,764,servite,Servite Order,Q615923,82.551476
13,776,787,s. antonino,Antoninus of Florence,Q773822,82.33818
13,789,799,archbishop,Archbishop,Q49476,82.14541
13,803,811,florence,Florence,Q2044,82.36338
13,1273,1284,s. margaret,Margaret the Virgin,Q297742,81.471176
13,1315,1321,dragon,Dragon,Q7559,82.66191
13,1747,1778,magnificent giuliano de' medici,Giuliano de' Medici,Q298877,82.73529
13,1877,1883,nature,Nature,Q7860,81.57817
13,2240,2257,m. cosimo bartoli,Cosimo Bartoli,Q1136048,85.06807
14,23,27,rome,Rome,Q220,82.37044
14,83,115,girolamo siciolante of sermoneta,Girolamo Siciolante da Sermoneta,Q2296884,86.541016
14,106,115,sermoneta,Sermoneta,Q128202,84.68088
14,174,189,perino del vaga,Perino del Vaga,Q918778,84.155426
14,244,260,castel s. angelo,Castel Sant'Angelo,Q486382,87.194046
14,597,606,sermoneta,Sermoneta,Q128202,85.16041
