id,start_pos,end_pos,surface,type,value,has_nested,is_nested
0,74,82,Florence,LOC,Q2044,,
0,123,144,library of S. Lorenzo,LOC,Q573881,True,
0,134,144,S. Lorenzo,LOC,Q573881,,True
0,541,549,Florence,LOC,Q2044,,
0,593,605,Duke Lorenzo,PER,Q177854,,
0,610,623,Duke Giuliano,PER,Q298877,,
0,1098,1120,Raffaello da Montelupo,PER,Q1370859,,
0,1528,1534,Arezzo,LOC,Q13378,,
0,1544,1550,Vasari,PER,Q128027,,
0,2038,2051,Duke Giuliano,PER,Q298877,,
0,2092,2096,Pope,PER,Q83159;Q19546,,
0,2180,2190,S. Lorenzo,LOC,Q573881,,
0,2203,2207,Rome,LOC,Q220,,
0,2309,2317,Florence,LOC,Q2044,,
1,27,37,Poggibonzi,LOC,Q91350,,True
1,103,111,Florence,LOC,Q2044,,
1,127,134,Bologna,LOC,Q1891,,
1,474,481,Fiesole,LOC,Q82670,,
1,877,884,Fiesole,LOC,Q82670,,
1,1162,1166,Rome,LOC,Q220,,
1,1410,1414,Rome,LOC,Q220,,
1,1453,1460,Perugia,LOC,Q3437,,
1,1584,1591,Perugia,LOC,Q3437,,
1,1733,1752,M. Raffaello Maffei,PER,Q3417362,,
1,1780,1788,Volterra,LOC,Q103305,,
2,69,77,Giovanni,PER,Q314932;NIL,,
2,93,97,Pisa,LOC,Q13375,,True
2,99,107,Agostino,PER,Q395759;NIL,,
2,133,138,Siena,LOC,Q2751,,
2,301,306,Siena,LOC,Q2751,,
2,445,456,Fontebranda,LOC,Q3747505,,
2,868,876,Giovanni,PER,Q314932;NIL,,
2,892,896,Pisa,LOC,Q13375,,True
2,1040,1046,Naples,LOC,Q2634,,
2,1050,1054,Pisa,LOC,Q13375,,
2,1083,1088,Siena,LOC,Q2751,,
3,541,545,Pisa,LOC,Q13375,,
3,712,717,Siena,LOC,Q2751,,
3,719,727,Agostino,PER,Q395759;NIL,,
3,890,895,Siena,LOC,Q2751,,
3,1377,1389,Porta a Tufi,LOC,Q3908860,,
3,1709,1716,Orvieto,LOC,Q541,,
4,50,58,Florence,LOC,Q2044,,
4,101,135,Lorenzo de' Medici the Magnificent,PER,Q177854,,
4,687,695,Florence,LOC,Q2044,,
4,708,727,Magnificent Lorenzo,PER,Q177854,,
4,749,755,Medici,ORG,Q170022,,
4,801,809,Giuliano,PER,Q298877;NIL,,
4,831,850,Magnificent Lorenzo,PER,Q177854,,
4,1047,1066,Magnificent Lorenzo,PER,Q177854,,
4,1377,1383,Medici,ORG,Q170022,,
4,1409,1417,Florence,LOC,Q2044,,
5,104,110,Loreto,LOC,Q124110,,True
5,321,325,Rome,LOC,Q220,,
5,374,379,David,PER,Q41370;NIL,,
5,396,403,Goliath,PER,Q192785,,
5,555,561,Medici,ORG,Q170022,,True
5,565,573,Florence,LOC,Q2044,,True
5,648,661,Medici Palace,LOC,Q911047,,
5,810,815,David,PER,Q41370;NIL,,
5,829,835,Loreto,LOC,Q124110,,
5,938,944,Loreto,LOC,Q124110,,
5,2210,2216,Loreto,LOC,Q124110,,
5,2250,2256,Ancona,LOC,Q3415,,
5,2393,2415,Raffaello da Montelupo,PER,Q1370859,,
6,1125,1151,Filippo di Ser Brunellesco,PER,Q174330,True,
6,1227,1233,Giotto,PER,Q7814,,
6,1313,1319,Heaven,LOC,Q4489450,,
6,1639,1645,Heaven,LOC,Q4489450,,
6,2004,2010,Heaven,LOC,Q4489450,,
7,29,37,Florence,LOC,Q2044,,
7,1963,1970,Pistoia,LOC,Q13376,,True
8,20,28,Florence,LOC,Q2044,,True
8,518,537,Giuliano Bugiardini,PER,Q2578459,,
8,730,736,Medici,ORG,Q170022,,True
8,823,831,Bertoldo,PER,Q828363,,
8,1932,1940,Granacci,PER,Q717097;NIL,,
8,1948,1968,Domenico Ghirlandajo,PER,Q191423,,
8,2017,2033,S. Maria Novella,LOC,Q51175,,
9,29,53,Cardinal Innocenzio Cibo,PER,Q1386991,,
9,181,199,Cardinal de' Rossi,PER,Q733662,,
9,217,235,Cardinal de' Rossi,PER,Q733662,,
10,769,784,Marco Calavrese,PER,Q2559941,,
10,872,878,Naples,LOC,Q2634,,
10,943,947,Rome,LOC,Q220,,
10,1036,1041,Siren,PER,Q150986,,
10,1145,1151,Sebeto,LOC,Q3953836,,
10,1257,1263,Heaven,LOC,Q4489450,,
10,1516,1522,Aversa,LOC,Q19279,,
10,1547,1553,Naples,LOC,Q2634,,
10,1756,1768,S. Augustine,PER,Q8018,,
10,1814,1820,Christ,PER,Q302,,
