id,surface,start_pos,end_pos,type
0,Life of Michelagnolo,225,245,WORK_OF_ART
0,Madonna di Loreto,474,491,WORK_OF_ART
2,Life,185,189,WORK_OF_ART
3,State,983,988,WORK_OF_ART
14,Life of Perino del Vaga,166,189,WORK_OF_ART
14,Dead Christ,838,849,WORK_OF_ART
14,Magdalene,874,883,WORK_OF_ART
14,Nativity,1119,1127,WORK_OF_ART
14,Nativity,1465,1473,WORK_OF_ART
14,Descent of the Holy Spirit,1616,1642,WORK_OF_ART
14,German,1763,1769,WORK_OF_ART
14,scenes of the Life of Our Lady,1913,1943,WORK_OF_ART
14,Christ on the Cross,2044,2063,WORK_OF_ART
15,Pontiffs,590,598,WORK_OF_ART
19,Florentines,1718,1729,WORK_OF_ART
20,Old Testament,1642,1655,WORK_OF_ART
22,Life of,1142,1149,WORK_OF_ART
24,Lives of the Painters,680,701,WORK_OF_ART
25,Venetian gentleman,2143,2161,WORK_OF_ART
28,Triumph of Paulus Emilius,2192,2217,WORK_OF_ART
29,Trinity,668,675,WORK_OF_ART
29,Madonna,869,876,WORK_OF_ART
30,Feast of Simon,1376,1390,WORK_OF_ART
30,Magdalene,1399,1408,WORK_OF_ART
34,Mercury and Venus,3096,3113,WORK_OF_ART
36,Oratory of Orsanmichele,762,785,WORK_OF_ART
37,Oratory of Orsanmichele,60,83,WORK_OF_ART
45,Dead Christ,1109,1120,WORK_OF_ART
45,Assumption of Our Lady,1160,1182,WORK_OF_ART
45,Our Lady,1843,1851,WORK_OF_ART
49,Our Lady,387,395,WORK_OF_ART
51,Crucifix,1745,1753,WORK_OF_ART
53,Centurion,1281,1290,WORK_OF_ART
