id,start_pos,end_pos,surface,type,value
0,582,605,statues of Duke Lorenzo,WORK,Q3937601
0,610,623,Duke Giuliano,WORK,Q3937559
0,980,989,S. Cosimo,WORK,NIL
0,996,1006,S. Damiano,WORK,NIL
0,1084,1094,S. Damiano,WORK,NIL
0,1154,1163,S. Cosimo,WORK,NIL
0,2027,2051,statues of Duke Giuliano,WORK,Q3937559
0,2056,2068,Duke Lorenzo,WORK,Q3937601
5,810,815,David,WORK,NIL
9,139,199,"Pope Leo, Cardinal Giulio de' Medici, and Cardinal de' Rossi",WORK,Q733662
9,430,445,Cencio Guasconi,WORK,NIL
10,1756,1796,S. Augustine disputing with the heretics,WORK,NIL
13,1273,1321,S. Margaret issuing from the belly of the Dragon,WORK,NIL
14,636,704,"S. Peter, S. Stephen, and S. John the Baptist, with certain children",WORK,NIL
14,2233,2253,S. James the Apostle,WORK,NIL
14,2258,2279,S. Alfonso the Bishop,WORK,NIL
15,1607,1612,Saint,WORK,NIL
15,2437,2458,Signora Livia Colonna,WORK,NIL
16,1895,1905,S. Antonio,WORK,NIL
16,2311,2331,head of Appius Cæcus,WORK,NIL
17,120,138,stories of S. Paul,WORK,NIL
19,941,1006,"S. Filippo, the founder of that Servite Order, assuming the habit",WORK,Q4015931
20,1627,1655,stories of the Old Testament,WORK,NIL
24,2157,2164,De Asse,WORK,NIL
24,2212,2220,Pandects,WORK,Q838526
27,2045,2053,Crucifix,WORK,NIL
27,2122,2130,Crucifix,WORK,NIL
29,513,542,Joseph ministering to Pharaoh,WORK,Q3771677
30,1285,1305,stories of Christ—in,WORK,NIL
35,43,48,Pietà,WORK,Q235242
36,697,706,S. Philip,WORK,Q3947052
37,28,33,S. Lo,WORK,Q3948822
37,257,304,"S. Lo, the Farrier, is shoeing a frenzied horse",WORK,Q3948822
39,1057,1062,Saint,WORK,NIL
39,1238,1305,S. Peter leaving the ship and walking over the water towards Christ,WORK,NIL
39,1536,1580,"S. Cantius, S. Cantianus, and S. Cantianilla",WORK,NIL
39,1706,1725,S. John the Baptist,WORK,NIL
39,1731,1743,S. Sebastian,WORK,NIL
39,1974,2001,S. Catharine and S. Francis,WORK,NIL
39,2415,2441,S. Laurence and S. Francis,WORK,Q17590
41,94,147,Madonna who has under her mantle the people of Arezzo,WORK,NIL
41,1862,1874,Annunciation,WORK,NIL
41,2011,2023,S. Catherine,WORK,NIL
41,2128,2145,S. Mary Magdalene,WORK,NIL
41,2418,2447,stories of S. Nicholas—namely,WORK,NIL
41,2449,2493,his throwing the golden balls to the maidens,WORK,NIL
41,2499,2603,"his delivering two from death, while the executioner is seen apparelled and ready to cut off their heads",WORK,NIL
43,423,646,"S. Cecilia, who, entranced by a choir of angels on high, stands listening to the sound, wholly absorbed in the harmony; and in her countenance is seen that abstraction which is found in the faces of those who are in ecstasy",WORK,Q1103801
44,1611,1621,S. Stephen,WORK,NIL
44,1625,1650,disputation of that Saint,WORK,NIL
44,1838,1846,S. Lucia,WORK,NIL
45,1544,1584,"Our Lady, S. Anne, and many other Saints",WORK,NIL
45,1728,1740,Annunciation,WORK,NIL
45,1802,1851,"S. Rocco, S. Sebastian, and between them Our Lady",WORK,NIL
45,1968,2004,"Our Lady, S. Sebastian, and S. James",WORK,NIL
45,1978,1990,S. Sebastian,WORK,NIL
45,2101,2108,S. Anne,WORK,NIL
51,1745,1753,Crucifix,WORK,NIL
53,1281,1313,Centurion kneeling before Christ,WORK,NIL
53,2834,2841,Justice,WORK,NIL
53,2846,2852,Equity,WORK,NIL
