id,surface,start_pos,end_pos,type
0,the Life,221,229,WORK
0,at work,843,850,WORK
0,the figure,1375,1385,WORK
1,in the village,39,53,WORK
1,on the road,112,123,WORK
1,male child,192,202,WORK
1,the child,900,909,WORK
1,the building,1202,1214,WORK
1,the life,1600,1608,WORK
2,the school,41,51,WORK
2,the Life,181,189,WORK
2,a father,278,286,WORK
2,the end,1203,1210,WORK
3,the State,979,988,WORK
3,the north,1109,1118,WORK
3,the Church,1528,1538,WORK
4,the elder,91,100,WORK
4,in the city,149,160,WORK
4,the city,610,618,WORK
4,the tourney,784,795,WORK
4,a man,1291,1296,WORK
5,the Palace,676,686,WORK
5,the end,858,865,WORK
5,the model,1200,1209,WORK
5,the hands,1739,1748,WORK
6,the marvel,252,262,WORK
6,a man,631,636,WORK
6,the earth,715,724,WORK
7,a man,38,43,WORK
7,the son,246,253,WORK
7,young woman,383,394,WORK
7,the boy,990,997,WORK
7,the end,1556,1563,WORK
7,the altar,1937,1946,WORK
8,the siege of Florence,7,28,WORK
8,the city,365,373,WORK
8,the way,412,419,WORK
8,in the garden,709,722,WORK
8,the study,787,796,WORK
8,the sculptor,810,822,WORK
8,the chapel,2003,2013,WORK
9,the portrait,414,426,WORK
10,a man,637,642,WORK
10,the painter,757,768,WORK
10,the end,970,977,WORK
10,the student,991,1002,WORK
11,a woman,585,592,WORK
11,young woman,894,905,WORK
11,the life,1016,1024,WORK
11,the husband,1232,1243,WORK
11,the rest,1387,1395,WORK
11,an old man,1542,1552,WORK
12,the son,221,228,WORK
12,a man,386,391,WORK
12,the secret,427,437,WORK
12,young man,938,947,WORK
12,the end,1227,1234,WORK
12,the beginning,1284,1297,WORK
13,in the Church,87,100,WORK
13,a landscape,837,848,WORK
13,as is,2018,2023,WORK
13,a man,2348,2353,WORK
14,the Life,162,170,WORK
14,in the Church,1709,1722,WORK
14,the Chapel,1812,1822,WORK
14,the altar,1884,1893,WORK
15,the life,281,289,WORK
15,the present,642,653,WORK
15,in the Church,1467,1480,WORK
15,the Chapel,1536,1546,WORK
15,men and women,2168,2181,WORK
16,the prodigal,92,104,WORK
16,a well,202,208,WORK
16,Ponte of Florence,832,849,WORK
16,the Chapel,1843,1853,WORK
16,to the ground,2037,2050,WORK
16,the city,2277,2285,WORK
16,the bridge,2806,2816,WORK
16,the flood,2838,2847,WORK
16,the beginning,2957,2970,WORK
16,the altar,3097,3106,WORK
17,the Chapel,22,32,WORK
18,a father,1413,1421,WORK
19,the wall,813,821,WORK
19,The friar,1135,1144,WORK
19,the rest,1176,1184,WORK
19,a man,2147,2152,WORK
19,The friar,2404,2413,WORK
19,the painter,2738,2749,WORK
20,the Duke,597,605,WORK
22,the Life,1138,1146,WORK
22,the son,1201,1208,WORK
22,the hands,2016,2025,WORK
23,the building,952,964,WORK
23,the church,1266,1276,WORK
23,the craftsman,2110,2123,WORK
23,to do,2417,2422,WORK
24,the past,211,219,WORK
24,the father,523,533,WORK
24,a man,824,829,WORK
24,a man,2021,2026,WORK
25,the life,236,244,WORK
25,the city,522,530,WORK
25,the city,781,789,WORK
25,the beginning,808,821,WORK
25,the city,2017,2025,WORK
25,the beginning,2971,2984,WORK
26,the gift,481,489,WORK
26,a father,1018,1026,WORK
26,in the village,1433,1447,WORK
26,on the ground,1682,1695,WORK
26,The child,2181,2190,WORK
27,a man,450,455,WORK
27,the sculptor,775,787,WORK
27,the Monastery,2259,2272,WORK
28,the workshop,1280,1292,WORK
28,the altar,1574,1583,WORK
28,in the city,1996,2007,WORK
28,the Triumph of Paulus Emilius,2188,2217,WORK
29,in the Church,738,751,WORK
29,the Madonna,865,876,WORK
29,The figure,899,909,WORK
29,two figures,1080,1091,WORK
30,the Church,1126,1136,WORK
30,the door,1155,1163,WORK
30,the Apostles receiving the Holy Spirit,1215,1253,WORK
30,the wall,1262,1270,WORK
30,the Coronation of Our Lady,1689,1716,WORK
31,a painter,169,178,WORK
