doc_id,doc_start_pos,doc_end_pos,sentence_id,sent_start_pos,sent_end_pos,surface,type,score
0,14,21,0,14,21,Clement,PER,0.9982261061668396
0,46,56,0,46,56,Buonarroti,PER,0.9999955892562866
0,74,82,0,74,82,Florence,LOC,0.9999983310699463
0,134,144,0,134,144,S . Lorenzo,PER,0.9989483753840128
0,225,245,0,225,245,Life of Michelagnolo,MISC,0.8604164918263754
0,350,365,0,350,365,Giovanni Agnolo,PER,0.9999923706054688
0,417,437,0,417,437,Antonio da San Gallo,PER,0.9999869763851166
0,474,491,0,474,491,Madonna di Loreto,MISC,0.999917467435201
0,541,549,1,48,56,Florence,LOC,0.9999978542327881
0,551,563,1,58,70,Michelagnolo,PER,0.9999918937683105
0,593,605,1,100,112,Duke Lorenzo,PER,0.9918124079704285
0,610,614,1,117,121,Duke,PER,0.9964269995689392
0,615,623,1,122,130,Giuliano,PER,0.6199381947517395
0,741,756,1,248,263,Giovanni Agnolo,PER,0.999435156583786
0,980,989,2,95,104,S . Cosimo,PER,0.9992162187894186
0,996,1006,2,111,121,S . Damiano,PER,0.9960650404294332
0,1049,1056,2,164,171,Madonna,PER,0.9999600648880005
0,1062,1074,2,177,189,Michelagnolo,PER,0.9999839067459106
0,1084,1085,2,199,200,S,PER,0.9999858140945435
0,1085,1094,2,200,209,. Damiano,PER,0.8005876243114471
0,1098,1120,2,213,235,Raffaello da Montelupo,PER,0.9999885559082031
0,1154,1163,2,269,278,S . Cosimo,PER,0.996469517548879
0,1410,1420,3,134,144,Buonarroti,PER,0.9999940395355225
0,1444,1456,3,168,180,Michelagnolo,PER,0.9999933242797852
0,1528,1534,3,252,258,Arezzo,LOC,0.999995231628418
0,1544,1550,3,268,274,Vasari,PER,0.9999918937683105
0,1663,1675,4,55,67,Michelagnolo,PER,0.9999945163726807
0,1845,1857,4,237,249,Michelagnolo,PER,0.9999946355819702
0,1929,1941,5,5,17,Michelagnolo,PER,0.9999910593032837
0,1970,1985,5,46,61,Giovanni Agnolo,PER,0.9999775886535645
0,2038,2051,5,114,127,Duke Giuliano,PER,0.9370944201946259
0,2056,2060,5,132,136,Duke,PER,0.5963846445083618
0,2061,2068,5,137,144,Lorenzo,PER,0.989415168762207
0,2180,2190,5,256,266,S . Lorenzo,PER,0.9068814714749655
0,2203,2207,5,279,283,Rome,LOC,0.9999979734420776
0,2259,2266,5,335,342,Clement,PER,0.999969482421875
0,2309,2317,6,3,11,Florence,LOC,0.9999979734420776
0,2530,2542,6,224,236,Michelagnolo,PER,0.9999920129776001
0,2610,2629,6,304,323,Fra Giovanni Agnolo,PER,0.9771396319071451
1,7,23,0,7,23,Michele d'Agnolo,PER,0.9999908208847046
1,27,37,0,27,37,Poggibonzi,LOC,0.9998657703399658
1,57,67,0,57,67,Montorsoli,LOC,0.9999948740005493
1,103,111,0,103,111,Florence,LOC,0.9999979734420776
1,127,134,0,127,134,Bologna,LOC,0.9999974966049194
1,244,250,0,244,250,Agnolo,PER,0.999984860420227
1,474,481,1,222,229,Fiesole,LOC,0.9999908208847046
1,502,512,1,250,260,Montorsoli,LOC,0.9999945163726807
1,514,520,2,0,6,Agnolo,PER,0.9999943971633911
1,586,605,2,72,91,Francesco del Tadda,PER,0.9999916156133016
1,822,841,3,48,67,Francesco del Tadda,PER,0.9999891916910807
1,847,861,3,73,87,Maestro Andrea,PER,0.9989834725856781
1,877,884,3,103,110,Fiesole,LOC,0.9999790191650391
1,1081,1088,4,29,36,Michele,PER,0.9999675750732422
1,1101,1107,4,49,55,Agnolo,PER,0.9999934434890747
1,1162,1166,4,110,114,Rome,LOC,0.9999978542327881
1,1218,1227,4,166,175,S . Pietro,LOC,0.9361088077227274
1,1410,1414,5,26,30,Rome,LOC,0.9999982118606567
1,1453,1460,5,69,76,Perugia,LOC,0.9999971389770508
1,1584,1591,6,33,40,Perugia,LOC,0.9999948740005493
1,1733,1734,6,182,183,M,PER,0.9999814033508301
1,1736,1752,6,185,201,Raffaello Maffei,PER,0.9999104738235474
1,1761,1775,6,210,224,Il Volterrano,MISC,0.993419885635376
1,1780,1788,6,229,237,Volterra,LOC,0.999996542930603
2,69,77,0,69,77,Giovanni,PER,0.9999887943267822
2,82,89,0,82,89,Niccola,PER,0.9999374151229858
2,93,97,0,93,97,Pisa,LOC,0.9999967813491821
2,99,107,0,99,107,Agostino,PER,0.999984860420227
2,112,118,0,112,118,Agnolo,PER,0.9999170303344727
2,133,138,0,133,138,Siena,LOC,0.9999948740005493
2,185,189,0,185,189,Life,MISC,0.9961148500442505
2,301,306,1,71,76,Siena,LOC,0.9999871253967285
2,445,456,1,215,226,Fontebranda,MISC,0.935235321521759
2,800,808,3,0,8,Agostino,PER,0.9999890327453613
2,813,819,3,13,19,Agnolo,PER,0.9999760389328003
2,868,876,3,68,76,Giovanni,PER,0.9999929666519165
2,881,888,3,81,88,Niccola,PER,0.9999794960021973
2,892,896,3,92,96,Pisa,LOC,0.9999954700469971
2,1015,1023,4,30,38,Giovanni,PER,0.9999940395355225
2,1040,1046,4,55,61,Naples,LOC,0.9999977350234985
2,1050,1054,4,65,69,Pisa,LOC,0.9999980926513672
2,1083,1088,4,98,103,Siena,LOC,0.9999970197677612
2,1154,1159,4,169,174,Duomo,LOC,0.9726190567016602
2,1280,1288,4,295,303,Agostino,PER,0.999993085861206
2,1537,1545,5,30,38,Giovanni,PER,0.9999934434890747
2,1994,2002,6,275,283,Agostino,PER,0.9999908208847046
2,2045,2053,6,326,334,Giovanni,PER,0.9999940395355225
2,2072,2078,6,353,359,Agnolo,PER,0.9999923706054688
