id,start_pos,end_pos,label,alias,wb_id,score
2,144,152,LOC,Portugal >> en,Q45,-0.2875243127346039
2,157,169,PER,Adam and Eve >> en,Q58701,-0.19730547070503235
3,101,112,PER,Pope Clement VII >> en,Q83159,-0.2006055861711502
7,34,36,MISC,Franciscans >> en,Q165005,-0.7074621319770813
7,36,54,LOC,Our Lady of Sorrows >> en,Q1196075,-1.2970645427703857
8,227,235,PER,Beatrice d'Este >> en,Q813280,-0.2429584562778473
8,310,315,LOC,Milan >> en,Q490,-0.2969284653663635
9,86,92,LOC,France >> en,Q142,-0.2658996880054474
11,208,215,PER,Francis I of France >> en,Q129857,-0.3759436011314392
11,219,225,LOC,France >> en,Q142,-0.37168097496032715
12,26,45,PER,"Giuliano de' Medici, Duke of Nemours >> en",Q333340,-0.36617520451545715
12,71,74,PER,Pope Leo I >> en,Q43954,-0.7793117761611938
13,187,194,PER,Filippo Buonarroti >> en,Q5448705,-1.2614094018936157
13,198,203,LOC,Milan >> en,Q490,-0.2606953978538513
14,26,61,PER,Baldassare Turini >> en,Q2295190,-0.9592617750167847
14,86,89,PER,Pope Leo I >> en,Q43954,-0.6573249697685242
14,115,127,PER,Madonna (art) >> en,Q926743,-0.2947370707988739
14,128,137,MISC,Christ Child >> en,Q942467,-0.3697448968887329
17,157,162,MISC,Greeks >> en,Q539051,-0.33371859788894653
17,271,283,PER,Jesus >> en,Q302,-0.136368066072464
18,183,184,PER,Pope >> en,Q19546,-1.5920557975769043
18,186,204,PER,John Gualbert >> en,Q707172,0.2700011730194092
19,60,65,MISC,Rome >> en,Q220,-0.3703017830848694
19,82,101,PER,Jacopo Galli >> en,Q43383009,-1.6454155445098877
19,149,152,PER,Cup >> en,Q81727,-0.20450076460838318
19,152,154,MISC,"Id, ego and super-ego >> en",Q486893,-0.18655069172382355
20,48,52,LOC,Fortification >> en,Q57821,-0.00704801082611084
20,52,57,MISC,Iudea >> en,Q104028,-3.729020357131958
22,147,153,PER,"Cosimo I de' Medici, Grand Duke of Tuscany >> en",Q48547,-0.4113166630268097
22,187,192,PER,Venus (mythology) >> en,Q47652,-0.19736115634441376
22,205,209,PER,Wind >> en,Q8094,-0.3099076449871063
22,209,210,MISC,Anemoi >> en,Q476682,-0.9231426119804382
22,215,219,PER,Anemoi >> en,Q476682,-0.5967106819152832
22,219,221,MISC,Yr >> en,Q1061912,-1.1682956218719482
22,221,222,PER,Zephyr >> en,Q191368,-0.6251161098480225
23,39,45,PER,House of Medici >> en,Q170022,-0.15596428513526917
23,60,67,PER,Lorenzo de' Medici >> en,Q177854,-0.23235106468200684
25,88,91,PER,Nas >> en,Q194220,-0.24178320169448853
25,91,94,MISC,Tag >> en,Q224745,-1.5470964908599854
25,94,107,PER,The Book of Lost Souls >> en,Q7719267,-2.796302080154419
25,107,109,MISC,Nastagio degli Onesti >> en,Q1232587,-3.722214460372925
25,186,187,PER,Epiphany (holiday) >> en,Q132001,-1.0347089767456055
25,187,194,MISC,Epiphany (feeling) >> en,Q2312056,-1.0556343793869019
28,94,122,LOC,Servite Order >> en,Q615923,-0.6698958873748779
28,421,425,MISC,Sacred >> en,Q1151419,-0.5100138187408447
28,426,432,PER,Holy Spirit >> en,Q37302,-0.6012861728668213
30,29,44,PER,Filippo Strozzi the Elder >> en,Q323993,-0.2149343192577362
31,355,369,MISC,Venus (mythology) >> en,Q47652,-1.0794754028320312
