id,start_pos,end_pos,type,alias,wb_id,score
1,35,58,LOC,Fiorenza >> it,Q1418626,-2.2629973888397217
1,93,96,PER,Vir >> it,Q350494,-1.2383806705474854
1,96,98,MISC,Madonna col Bambino >> it,Q9309699,-1.8719677925109863
2,3,13,MISC,Cattedrale dei Santi Erasmo e Marciano e di Santa Maria Assunta >> it,Q428463,-1.2542203664779663
3,8,14,PER,Medici >> it,Q170022,-0.1362205147743225
3,18,33,PER,Palazzo Medici Riccardi >> it,Q911047,-2.163900375366211
3,73,76,PER,Pala d'altare >> it,Q15711026,-1.173966884613037
3,76,80,LOC,Lade >> it,Q243832,-0.46273601055145264
3,199,218,LOC,Basilica di Santa Maria Maggiore >> it,Q186282,-2.1694741249084473
3,222,230,LOC,Fiorenza >> it,Q1418626,-0.7386826276779175
4,268,287,MISC,Adorazione dei Magi >> it,Q522792,-0.5486888885498047
4,360,363,PER,Nozze >> it,Q49836,-1.7330402135849
4,363,366,MISC,Tro >> it,Q3357328,-0.8261663317680359
4,367,374,PER,Nomi di Dio nella Bibbia >> it,Q821090,-0.7691759467124939
5,14,19,PER,Piero di Cosimo de' Medici >> it,Q299663,-0.38723188638687134
5,36,44,LOC,Cappella >> it,Q108325,-0.22396177053451538
5,49,56,LOC,Tedaldo >> it,Q7693924,-3.65643310546875
5,84,89,LOC,Servi di Maria >> it,Q615923,-1.0078622102737427
5,139,146,PER,Filippo >> it,Q15727164,-0.25191375613212585
5,179,185,PER,Maria (madre di Gesù) >> it,Q345,-0.0799681544303894
5,186,196,MISC,Donna >> it,Q467,-1.5697524547576904
5,266,268,PER,Figlio di Dio >> it,Q472768,-1.0313544273376465
5,268,275,MISC,Giglio (araldica) >> it,Q211568,-1.9213796854019165
5,325,331,PER,Spirito Santo >> it,Q37302,-0.4174102246761322
5,331,338,MISC,Santo >> it,Q43115,-0.7508878111839294
6,11,19,LOC,Fiorenza >> it,Q1418626,-0.7936092615127563
6,218,230,PER,Gino Capponi >> it,Q719985,0.13645681738853455
6,296,307,PER,San Nicolao >> it,Q3947724,-0.23905600607395172
6,314,327,PER,Antonio di Padova >> it,Q167477,-0.242140531539917
7,334,340,PER,Venere (astronomia) >> it,Q313,-0.4450629651546478
8,11,26,PER,Vespucci >> it,Q4010390,-1.6884944438934326
8,51,81,LOC,Chiesa di San Michele in Foro >> it,Q1809639,-1.2248040437698364
8,91,104,PER,Piero >> it,Q3903143,-6.134181976318359
9,8,13,PER,Piero il Fatuo >> it,Q262212,-0.7050701975822449
10,23,32,PER,Piero della Francesca >> it,Q5822,-1.123742938041687
10,133,145,PER,Giovanni apostolo ed evangelista >> it,Q44015,-0.22503036260604858
10,157,163,PER,Cristo >> it,Q642420,-0.26760202646255493
10,305,308,PER,Andy >> it,Q525194,-1.6461213827133179
10,331,339,PER,Leonardo di Noblac >> it,Q558148,-0.6067984700202942
11,56,63,PER,Contea delle Fiandre >> it,Q157070,-0.19002662599086761
11,104,109,PER,Sovrani del Portogallo >> it,Q183426,0.1721590757369995
11,110,120,LOC,Portogallo >> it,Q45,-0.19802606105804443
11,134,139,PER,Adamo >> it,Q70899,-0.21139708161354065
11,144,147,PER,Eva >> it,Q830183,-2.3069326877593994
11,211,219,PER,Leonardo (personaggio) >> it,Q323934,-0.5772339105606079
13,3,16,PER,Antonio Segni >> it,Q1240,0.022889554500579834
14,35,38,PER,Domenico di Guzmán >> it,Q44091,-0.43861496448516846
14,39,47,LOC,Domenico di Guzmán >> it,Q44091,-0.14826613664627075
14,141,149,PER,Apostolo >> it,Q43412,-0.14420977234840393
14,196,202,PER,Cristo >> it,Q642420,-0.255357027053833
14,292,298,PER,Cristo >> it,Q642420,-0.2858017683029175
15,85,91,PER,Cristo >> it,Q642420,-0.27523258328437805
16,63,72,PER,Mona Lisa >> it,Q574057,-0.18560351431369781
16,165,167,PER,Sovrani di Francia >> it,Q79868,-0.28353938460350037
16,168,188,PER,Francesco I di Francia >> it,Q129857,-0.32798802852630615
16,192,203,LOC,Mona Lisa >> it,Q574057,-3.5183990001678467
17,163,185,PER,Filippo I d'Asburgo >> it,Q157098,-0.646169126033783
18,0,8,PER,Lionardo >> it,Q18220847,-1.7454113960266113
18,160,170,PER,Santa Anna >> it,Q164294,-0.01038677990436554
19,16,49,PER,Giovanni Antonio Boltraffio >> it,Q442528,-1.8306559324264526
19,104,117,PER,Marc'Aurelio >> it,Q3845343,-5.512422561645508
19,157,207,MISC,Chiesa di Santa Maria della Pace (Roma) >> it,Q1514683,-1.664077877998352
20,48,67,PER,Caterina d'Alessandria >> it,Q179718,-0.15375031530857086
20,175,180,PER,Maria (madre di Gesù) >> it,Q345,-0.18774685263633728
21,47,59,PER,Lorenzo Savioli >> en,Q17041762,-7.064355373382568
21,250,262,PER,Giovanni apostolo ed evangelista >> it,Q44015,-0.21828162670135498
22,15,34,LOC,Signoria cittadina >> it,Q914425,-2.2740139961242676
22,79,100,PER,Bartolomeo della Scala >> it,Q38239872,-2.512730836868286
22,195,201,ORG,Consiglio dei Pregadi >> it,Q767590,-0.6139284372329712
22,283,314,LOC,Piazza San Marco >> it,Q217527,-1.6106899976730347
22,337,343,PER,Andrea >> it,Q493293,-0.36687788367271423
22,413,421,LOC,Fiorenza >> it,Q1418626,-0.7538803815841675
23,102,110,LOC,Castello >> it,Q23413,-0.6854443550109863
23,144,152,LOC,Fiorenza >> it,Q1418626,-0.9235506057739258
