id;start_pos;end_pos;type;alias;wb_id;score
1;35;58;LOC;Fiorenza >> it;Q1418626;-2.2629973888397217
1;64;72;LOC;Fortezza (virtù) >> it;Q605035;-0.8556458353996277
1;93;96;PER;Vir >> it;Q350494;-1.2383806705474854
1;96;98;MISC;Madonna col Bambino >> it;Q9309699;-1.8719677925109863
1;103;110;PER;Antonio del Pollaiolo >> it;Q318640;0.3284161686897278
1;113;133;PER;Piero del Pollaiolo >> it;Q707046;0.26198169589042664
2;3;13;MISC;Cattedrale dei Santi Erasmo e Marciano e di Santa Maria Assunta >> it;Q428463;-1.2542203664779663
2;77;85;MISC;Vespucci >> it;Q4010390;-0.1192542165517807
2;90;104;PER;Agostino d'Ippona >> it;Q8018;-0.14112281799316406
3;8;14;PER;Medici >> it;Q170022;-0.1362205147743225
3;18;33;PER;Palazzo Medici Riccardi >> it;Q911047;-2.163900375366211
3;73;76;PER;Pala d'altare >> it;Q15711026;-1.173966884613037
3;76;80;LOC;Lade >> it;Q243832;-0.46273601055145264
3;182;195;LOC;San Sebastiano >> it;Q183332;-0.2519127428531647
3;199;218;LOC;Basilica di Santa Maria Maggiore >> it;Q186282;-2.1694741249084473
3;222;230;LOC;Fiorenza >> it;Q1418626;-0.7386826276779175
4;14;20;PER;Sandro >> it;Q2221177;-0.9881445169448853
4;123;142;LOC;Basilica di Santa Maria Novella >> it;Q51175;-0.06671927869319916
4;268;287;MISC;Adorazione dei Magi >> it;Q522792;-0.5486888885498047
4;360;363;PER;Nozze >> it;Q49836;-1.7330402135849
4;363;366;MISC;Tro >> it;Q3357328;-0.8261663317680359
4;367;374;PER;Nomi di Dio nella Bibbia >> it;Q821090;-0.7691759467124939
5;14;19;PER;Piero di Cosimo de' Medici >> it;Q299663;-0.38723188638687134
5;36;44;LOC;Cappella >> it;Q108325;-0.22396177053451538
5;49;56;LOC;Tedaldo >> it;Q7693924;-3.65643310546875
5;84;89;LOC;Servi di Maria >> it;Q615923;-1.0078622102737427
5;139;146;PER;Filippo >> it;Q15727164;-0.25191375613212585
5;179;185;PER;Maria (madre di Gesù) >> it;Q345;-0.0799681544303894
5;186;196;MISC;Donna >> it;Q467;-1.5697524547576904
