id,start_pos,end_pos,type,alias,wb_id,score
1,64,72,LOC,Fortezza (virtù) >> it,Q605035,-0.8556458353996277
1,103,110,PER,Antonio del Pollaiolo >> it,Q318640,0.3284161686897278
1,113,133,PER,Piero del Pollaiolo >> it,Q707046,0.26198169589042664
2,77,85,MISC,Vespucci >> it,Q4010390,-0.1192542165517807
2,90,104,PER,Agostino d'Ippona >> it,Q8018,-0.14112281799316406
3,182,195,LOC,San Sebastiano >> it,Q183332,-0.2519127428531647
4,14,20,PER,Sandro >> it,Q2221177,-0.9881445169448853
4,123,142,LOC,Basilica di Santa Maria Novella >> it,Q51175,-0.06671927869319916
6,158,193,LOC,Basilica di Santo Spirito >> it,Q1519975,-1.000117301940918
6,263,290,MISC,Visitazione della Beata Vergine Maria >> it,Q691810,-0.19837075471878052
7,35,41,PER,Venere (divinità) >> it,Q47652,-0.3279358446598053
7,56,61,PER,Marte (divinità) >> it,Q112,-0.3238338828086853
7,150,155,PER,Cupido >> it,Q5011,-0.6376825571060181
7,235,240,PER,Marte (divinità) >> it,Q112,-0.4046246111392975
7,272,278,PER,Cupido >> it,Q5011,-0.19467167556285858
7,359,364,PER,Cupido >> it,Q5011,-0.3733886778354645
9,18,41,PER,Filippo Strozzi il Vecchio >> it,Q323993,-0.20698650181293488
9,79,85,PER,Perseo >> it,Q130832,-0.1342087686061859
9,93,102,PER,Andromeda (mitologia) >> it,Q161582,-0.16923969984054565
10,77,97,PER,Andrea del Verrocchio >> it,Q183458,-0.23483136296272278
10,165,173,PER,Leonardo da Vinci >> it,Q762,-0.6682145595550537
11,160,178,MISC,Giardino dell'Eden >> it,Q19014,-0.16906331479549408
12,9,17,PER,Leonardo da Vinci >> it,Q762,-0.7025237083435059
12,22,34,MISC,Maria (madre di Gesù) >> it,Q345,0.0006423890590667725
12,65,82,PER,Papa Clemente VII >> it,Q83159,-0.18611282110214233
13,58,65,PER,Nettuno (divinità) >> it,Q3954,-0.3082866072654724
14,15,21,LOC,Milano >> it,Q490,-0.1508675217628479
14,50,74,LOC,Chiesa di Santa Maria delle Grazie (Milano) >> it,Q244952,-0.2985551953315735
14,78,86,MISC,Cenacolo >> it,Q318972,-0.24786020815372467
15,46,58,PER,Maria (madre di Gesù) >> it,Q345,-0.00036647915840148926
15,66,76,PER,Santa Anna >> it,Q164294,0.03496447205543518
15,329,337,PER,Leonardo da Vinci >> it,Q762,-0.5502335429191589
16,6,14,PER,Leonardo da Vinci >> it,Q762,-0.7746725082397461
16,25,47,PER,Francesco del Giocondo >> it,Q1395822,-0.04373541474342346
17,30,38,PER,Leonardo da Vinci >> it,Q762,-0.8719364404678345
17,89,108,LOC,Basilica di Santa Maria Novella >> it,Q51175,-0.060604825615882874
17,132,149,PER,Niccolò Piccinino >> it,Q979543,-0.04232396185398102
18,42,49,LOC,Francia >> it,Q142,-0.22157546877861023
19,126,148,LOC,Chiesa di Santa Maria della Pace (Milano) >> it,Q3673878,-0.4807804524898529
20,129,146,MISC,Passione di Gesù >> it,Q623306,-0.06200341880321503
20,209,222,PER,Maria (madre di Gesù) >> it,Q345,-0.2598619759082794
21,12,21,PER,Raffaello Sanzio >> it,Q5597,-0.1837114542722702
21,115,123,PER,Raffaello Sanzio >> it,Q5597,-0.2488684505224228
21,152,164,PER,Maria (madre di Gesù) >> it,Q345,-0.07924479246139526
22,361,367,LOC,Italia >> it,Q38,-0.2205633670091629
22,438,445,LOC,Venezia >> it,Q641,-0.2932318449020386
23,122,133,PER,Cosimo I de' Medici >> it,Q48547,-0.2907925248146057
23,186,192,PER,Venere (divinità) >> it,Q47652,-0.184750035405159
23,286,292,PER,Venere (divinità) >> it,Q47652,-0.1682545244693756
23,300,306,PER,Grazie (mitologia) >> it,Q184353,-0.28188031911849976
23,335,344,PER,Primavera >> it,Q1312,-0.22480259835720062
