id,start_pos,end_pos,type,alias,wb_id,score
0,9,21,PER,Pope Clement I >> en,Q42887,-0.6009114384651184
0,46,56,PER,Buonarroti >> en,Q21507056,-0.6703737378120422
0,110,118,LOC,Sacristy >> en,Q468939,-0.28432196378707886
0,346,365,PER,Agnolo Bronzino >> en,Q7803,-2.3266711235046387
0,417,437,PER,Antonio da Sangallo the Elder >> en,Q456861,-0.49934422969818115
0,485,491,LOC,Basilica della Santa Casa >> en,Q654996,-0.34385308623313904
0,532,537,PER,"San Lorenzo, Florence >> en",Q573881,-1.8131961822509766
0,610,623,PER,"Giuliano de' Medici, Duke of Nemours >> en",Q333340,-0.8713225722312927
0,638,643,PER,Fraile >> en,Q41094654,-1.6361281871795654
0,737,756,PER,Agnolo Bronzino >> en,Q7803,-2.3657381534576416
0,980,989,PER,Saint Cosmas >> en,Q19688364,-1.7456281185150146
0,996,1006,PER,San Damiano >> en,Q395220,-1.0006693601608276
0,1049,1056,PER,Madonna (art) >> en,Q926743,-0.390523225069046
0,1084,1094,PER,San Damiano >> en,Q395220,-1.1141453981399536
0,1144,1149,PER,Fraile >> en,Q41094654,-2.55781626701355
0,1154,1163,PER,Cosmas and Damian >> en,Q76486,-1.644129991531372
0,1347,1352,PER,Fraile >> en,Q41094654,-2.3894829750061035
0,1410,1420,PER,Buonarroti >> en,Q21507056,-0.7160817384719849
0,1901,1906,PER,Fraile >> en,Q41094654,-2.5947024822235107
0,1966,1985,PER,Agnolo Bronzino >> en,Q7803,-1.8877358436584473
0,2038,2051,PER,"Giuliano de' Medici, Duke of Nemours >> en",Q333340,-0.741733193397522
0,2092,2096,PER,Pope >> en,Q19546,-0.23918431997299194
0,2254,2266,PER,Pope Clement I >> en,Q42887,-0.5819544792175293
0,2336,2341,PER,"San Lorenzo, Florence >> en",Q573881,-1.7677737474441528
0,2610,2629,PER,Fra Giovanni da Verona >> en,Q3749194,-3.189417839050293
1,7,37,PER,Michelangelo >> en,Q5592,-1.5608354806900024
1,244,250,PER,Agnolo >> en,Q2826951,-1.784832239151001
1,514,520,PER,Agnolo >> en,Q2826951,-1.273126482963562
1,847,861,PER,Andrea del Sarto >> en,Q5571,-1.5761208534240723
1,1081,1088,PER,Michele Agnolo >> en,Q27040,-1.5262619256973267
1,1101,1107,PER,Agnolo >> en,Q2826951,-1.6299630403518677
1,1761,1775,PER,Volterrano >> en,Q2403504,0.0248909592628479
2,99,107,PER,Agostino da Siena >> en,Q395759,-0.5258464217185974
2,112,118,PER,Agnolo Bronzino >> en,Q7803,-0.4164980947971344
2,399,412,ORG,Consularis >> en,Q782648,-3.0751307010650635
2,512,521,LOC,Consul >> en,Q4489757,-0.3947998881340027
2,813,819,PER,Agnolo Bronzino >> en,Q7803,-0.7086729407310486
2,1015,1023,PER,Giovanni da Siena >> en,Q3768439,-1.3088046312332153
2,2072,2078,PER,Agnolo Bronzino >> en,Q7803,-0.75765061378479
3,46,54,PER,Giovanni Tolomei >> en,Q731956,-0.2828963100910187
3,100,119,LOC,Roman Catholic Diocese of Arezzo-Cortona-Sansepolcro >> en,Q645542,0.24351683259010315
3,193,199,PER,Agnolo Bronzino >> en,Q7803,-1.8483678102493286
3,399,407,PER,Giovanni Tolomei >> en,Q731956,-0.3689972758293152
3,529,536,LOC,Pistola >> en,Q7198490,-0.2188161462545395
3,704,708,ORG,Capetian House of Anjou >> en,Q939200,-1.146397590637207
3,753,775,LOC,Malborghetto-Valbruna >> it,Q53278,-2.0228004455566406
3,763,775,LOC,Malborghetto-Valbruna >> it,Q53278,-1.0498862266540527
3,915,923,PER,Giovanni Tolomei >> en,Q731956,-0.31260618567466736
3,983,988,ORG,State (polity) >> en,Q7275,-0.6643750071525574
3,1335,1351,LOC,Porta di Sant'Andrea >> it,Q21164295,-4.765219211578369
3,1377,1389,LOC,Tufi >> en,Q7851499,-3.0393080711364746
3,1417,1443,LOC,Porta Sant'Agata >> it,Q3908817,-2.442440986633301
3,1504,1510,PER,Tolomei >> en,Q21450788,-2.4910190105438232
3,1672,1679,PER,Tolomei >> en,Q21450788,-0.41833844780921936
3,1731,1737,PER,Tolomei >> en,Q21450788,-1.2072995901107788
3,1795,1803,LOC,"Santa Maria Assunta, Siena >> en",Q282554,-0.9458109736442566
4,180,214,PER,Michelangelo >> en,Q5592,-1.5669989585876465
4,196,214,PER,Viviano >> en,Q21507491,-2.3009257316589355
4,207,214,LOC,Gaio Lelio >> it,Q706305,-6.585511207580566
4,364,376,PER,Michelangelo >> en,Q5592,-1.2544411420822144
4,801,809,PER,"Giuliano de' Medici, Duke of Nemours >> en",Q333340,-0.10775420069694519
4,864,882,LOC,Piazza Santa Croce >> en,Q1017385,-0.8591640591621399
4,1360,1372,PER,Michelangelo >> en,Q5592,-1.237523078918457
4,1691,1703,PER,Michelangelo >> en,Q5592,-1.4320685863494873
4,1726,1737,PER,Bartolommeo >> en,Q7780,-1.2154433727264404
4,1817,1823,PER,Baccio >> en,Q4838662,-0.8463364243507385
4,1825,1837,PER,Michelangelo >> en,Q5592,-1.3466097116470337
5,0,8,PER,Pope Leo I >> en,Q43954,-0.6366300582885742
5,104,110,LOC,Basilica della Santa Casa >> en,Q654996,-0.08682486414909363
5,171,186,LOC,Sansovino >> en,Q447269,-2.8878471851348877
5,306,312,PER,Baccio >> en,Q4838662,-0.8970117568969727
5,335,339,PER,Pope >> en,Q19546,-0.3578173816204071
5,542,573,LOC,House of Medici >> en,Q170022,-0.5606645941734314
5,610,616,PER,Donato >> en,Q411627,-1.119760274887085
5,680,686,LOC,Palazzo Medici Riccardi >> en,Q911047,-0.5043491125106812
5,726,730,PER,Pope >> en,Q19546,-0.49058258533477783
5,810,815,PER,David (Michelangelo) >> en,Q179900,-0.6056593656539917
5,829,835,LOC,Basilica della Santa Casa >> en,Q654996,-0.37322017550468445
5,839,853,PER,Andrea Contucci >> en,Q495011,-0.035395920276641846
5,871,877,PER,Andrea Contucci >> en,Q495011,-0.682380735874176
5,938,944,LOC,Basilica della Santa Casa >> en,Q654996,-0.33347371220588684
5,1058,1062,PER,Pope >> en,Q19546,-0.39785391092300415
5,1604,1610,PER,Baccio >> en,Q4838662,-1.4540817737579346
5,1909,1915,PER,Baccio >> en,Q4838662,-1.4189435243606567
5,2210,2216,LOC,Basilica della Santa Casa >> en,Q654996,-0.15310831367969513
5,2456,2470,PER,Maestro >> en,Q1836630,-0.7203322649002075
6,1136,1151,PER,Filippo Brunelleschi >> en,Q174330,-0.017327547073364258
6,1198,1222,PER,Messer >> en,Q673300,-4.009090900421143
6,1215,1222,LOC,Rabatta >> it,Q2124855,-2.545614004135132
6,1747,1754,PER,Filippo >> en,Q15727164,-1.79472017288208
7,145,174,PER,Filippo Brunelleschi >> en,Q174330,-0.3676729202270508
7,164,174,PER,Filippo Lippi >> en,Q205148,-1.5110470056533813
7,209,215,PER,Cambio >> en,Q1028149,-0.6430066823959351
7,303,328,PER,Brunelleschi >> en,Q174330,-2.6058921813964844
7,334,349,PER,Filippo Brunelleschi >> en,Q174330,-0.4015568494796753
7,424,429,ORG,Spini >> en,Q1087553,-1.0785223245620728
7,578,597,LOC,San Michele a Ripa >> en,Q3685181,-1.8343852758407593
7,619,636,LOC,Piazza dei Miracoli >> en,Q750245,-1.9248442649841309
7,1224,1239,PER,Filippo Brunelleschi >> en,Q174330,-0.1455044150352478
7,1950,1970,LOC,Basilica of San Giacomo Maggiore >> en,Q2446870,-2.6587002277374268
7,2046,2062,ORG,"Orders, decorations, and medals of Italy >> en",Q7100734,-1.452150583267212
8,716,762,LOC,"San Marco, Florence >> en",Q1152774,-0.8115705251693726
8,823,831,PER,Bertoldo >> en,Q3638934,-0.7936380505561829
8,937,947,PER,Buonarroti >> en,Q21507056,-0.7119895219802856
8,1312,1322,PER,Buonarroti >> en,Q21507056,-0.6269730925559998
8,1917,1927,PER,Buonarroti >> en,Q21507056,-0.8074721097946167
9,0,8,PER,Giuliano de' Medici >> en,Q298877,-1.142445683479309
