id;start_pos;end_pos;surface;type;true_id;output_id;output_wiki;score;relation
1;35;46;Mercatanzia;LOC;Q3998632;Q3361358;Palazzo della Mercanzia >> it;-3.1467013359069824;
1;50;58;Fiorenza;LOC;Q2044;Q1418626;Fiorenza >> it;-0.7380908131599426;Disambiguation
1;80;86;tavole;MISC;Q55439;Q3981604;Tavola (fumetto) >> it;-0.6354411244392395;
1;93;98;Virtù;MISC;Q904802;Q2568776;Virtù (Raffaello) >> it;-1.3036491870880127;
1;17;27;giovanetto;PER;Q3010;Q37223765;Giannetto >> it;-1.5786571502685547;
2;3;13;Ogni Santi;LOC;Q2778991;Q428463;Cattedrale dei Santi Erasmo e Marciano e di Santa Maria Assunta >> it;-1.2542215585708618;
2;215;220;opera;MISC;Q838948;Q1344;Opera >> it;-0.30200013518333435;
2;309;320;cogitazione;MISC;Q108458;Q2200417;Cognizione >> it;-1.6946653127670288;Related
2;335;347;sottigliezza;MISC;Q49396791;Q205194;Grazia (teologia) >> it;-2.5609123706817627;
2;372;379;persone;MISC;Q5;Q215627;Persona (filosofia) >> it;-0.6106337904930115;Close
2;420;434;investigazione;MISC;Q21004260;Q3800942;Investigazione >> it;-0.19903741776943207;
2;438;442;cose;MISC;Q26256810;Q15290;Bene (filosofia) >> it;-0.3659549653530121;
3;18;33;Lorenzo Vecchio;PER;Q932292;Q911047;Palazzo Medici Riccardi >> it;-2.163898468017578;
3;48;52;cose;MISC;Q35120;Q636109;Cosa (diritto) >> it;-0.3250834345817566;
3;3;14;casa Medici;LOC;Q911047;Q170022;Medici >> it;-0.13155122101306915;
3;73;80;Pallade;MISC;Q457294;Q3361501;Pallade >> it;-0.8964434266090393;
3;99;107;bronconi;MISC;Q2923673;Q181602;Bronco >> it;-0.6605731844902039;
3;122;127;fuoco;MISC;Q3196;Q2723512;Fuoco (elemento) >> it;-0.37761059403419495;Exact
3;199;218;Santa Maria Maggior;LOC;Q849356;Q186282;Basilica di Santa Maria Maggiore >> it;-2.16947340965271;
3;222;230;Fiorenza;LOC;Q2044;Q1418626;Fiorenza >> it;-0.7386863231658936;Disambiguation
4;14;20;Sandro;PER;Q5669;Q2221177;Sandro >> it;-0.9881551265716553;
4;41;50;tavoletta;MISC;Q55439;Q1570005;Tavoletta (supporto) >> it;-1.2443814277648926;
4;63;69;figure;MISC;Q29527347;Q56324329;Figura araldica >> it;-0.6019948720932007;
4;193;199;chiesa;LOC;Q16970;Q51175;Chiesa di Santa Maria Novella >> it;-0.09412741661071777;
4;268;287;Adorazione de' Magi;MISC;Q488841;Q522792;Adorazione dei Magi >> it;-0.5486889481544495;Disambiguation
4;232;237;mezzo;MISC;Q23595;Q168182;Mezzogiorno (parte del giorno) >> it;-0.985363781452179;
4;393;402;tenerezza;MISC;Q19816620;Q64577189;Tenerezza >> it;-1.0096824169158936;Disambiguation
4;443;447;fine;MISC;Q12769393;Q1036775;Fine del mondo >> it;-1.1653856039047241;
4;87;94;braccio;MISC;Q280164;Q379859;Braccio >> it;-0.6230493783950806;
5;14;19;Piero;PER;Q280851;Q299663;Piero di Cosimo de' Medici >> it;-0.38722842931747437;
5;126;135;guanciale;MISC;Q99895;Q3778173;Guanciale >> it;-0.17448988556861877;
5;216;221;terra;MISC;Q21152267;Q2;Terra >> it;-0.3527348041534424;
5;228;232;dado;MISC;Q12014132;Q284053;Dado (architettura) >> it;-0.2308763712644577;Exact
5;266;275;Figliuolo;PER;Q942467;Q472768;Figlio di Dio >> it;-2.7996017932891846;Close
5;63;89;chiesa de' frati de' Servi;LOC;Q2287001;Q1021897;Basilica di Santa Maria dei Servi >> it;-0.7284862995147705;
5;179;196;Nostra Donnaritta;PER;Q345;Q1065053;Nostra Signora del Monte Carmelo >> it;-1.6087831258773804;
5;139;146;Filippo;PER;Q141900;Q15727164;Filippo >> it;-0.2519141137599945;
6;11;19;Fiorenza;LOC;Q2044;Q1418626;Fiorenza >> it;-0.7936118841171265;Disambiguation
6;26;32;quadri;MISC;Q3305213;Q11629;Pittura >> it;-0.19620129466056824;Related
6;39;48;cittadini;MISC;Q2472587;Q42138;Cittadinanza >> it;-0.46562910079956055;Related
6;122;126;cose;MISC;Q35120;Q868404;Bene (economia) >> it;-0.4995606541633606;
6;141;148;persone;MISC;Q2472587;Q215627;Persona (filosofia) >> it;-0.5962804555892944;Close
6;296;307;San Nicolao;PER;Q44269;Q3947724;San Nicolao >> it;-0.23905566334724426;Disambiguation
6;314;327;Santo Antonio;PER;Q170547;Q167477;Antonio di Padova >> it;-0.24214105308055878;
6;345;348;par;MISC;Q2570803;Q230125;Par >> it;-1.2940139770507812;Disambiguation
7;18;24;quadro;MISC;Q55439;Q11629;Pittura >> it;-0.20729203522205353;Related
7;106;111;prato;MISC;Q7777019;Q13377;Prato >> it;-0.2152528315782547;
7;197;203;celata;MISC;Q397436;Q3723584;Celata >> it;-0.4117330014705658;Close
7;227;231;arme;MISC;Q20793164;Q728;Arma >> it;-0.43616554141044617;Related
7;259;264;mirto;MISC;Q165152;Q6122027;Myrtus communis >> it;-0.30569693446159363;Close
7;334;340;Venere;MISC;Q47652;Q313;Venere (astronomia) >> it;-0.4450629949569702;
7;351;355;cose;MISC;Q35120;Q15290;Bene (filosofia) >> it;-0.8104474544525146;
8;11;26;Giovan Vespucci;PER;Q17064119;Q4010390;Vespucci >> it;-1.6884944438934326;
8;91;104;Pier Salviati;PER;OOV;Q3903143;Piero >> it;-6.134200572967529;
8;154;160;camera;MISC;Q1906705;Q3651286;Camera di commercio, industria, artigianato e agricoltura >> it;-1.5326286554336548;
8;224;232;baccanti;MISC;Q2878203;Q209599;Menadi >> it;-0.08019278943538666;Close
8;267;276;diversità;MISC;Q36793538;Q190656;Multiculturalismo >> it;-0.9216352701187134;
8;281;286;zaini;MISC;Q1380786;Q5843;Zaino >> it;-0.23177827894687653;Related
8;343;349;grazia;MISC;Q17148382;Q205194;Grazia (teologia) >> it;-0.2973111867904663;
8;307;314;varietà;MISC;Q36793538;Q203920;Varietà (geometria) >> it;-0.6631878018379211;
8;113;119;storie;MISC;Q1185607;Q3974436;Storie >> it;-1.3111238479614258;Disambiguation
8;321;325;cere;MISC;Q1207505;Q124695;Cera >> it;-0.21853101253509521;
9;8;13;Piero;PER;Q3903143;Q262212;Piero il Fatuo >> it;-0.7050701975822449;
9;109;116;monstro;MISC;Q209489;Q1237652;Monstro >> it;-0.24922023713588715;
9;139;143;cose;MISC;Q35120;Q15290;Bene (filosofia) >> it;-0.5300554633140564;
9;56;62;figure;MISC;Q29527347;Q56324329;Figura araldica >> it;-0.7333189249038696;
9;46;52;quadro;MISC;Q3305213;Q11629;Pittura >> it;-0.22212763130664825;Related
10;23;32;Ser Piero;PER;Q371916;Q5822;Piero della Francesca >> it;-1.1237475872039795;
10;51;63;fanciullezza;MISC;Q190007;Q7569;Bambino >> it;0.11526107788085938;Related
10;133;145;San Giovanni;PER;Q40662;Q44015;Giovanni apostolo ed evangelista >> it;-0.22503022849559784;
10;157;163;Cristo;PER;Q302;Q642420;Cristo >> it;-0.26760342717170715;Close
10;233;243;giovanetto;MISC;Q3010;Q37223765;Giannetto >> it;-1.412221908569336;
10;264;271;maniera;MISC;Q367293;Q131808;Manierismo >> it;-0.1822005957365036;
10;305;312;And rea;PER;Q183458;Q2846290;Andrea d'Assisi >> it;-1.6552248001098633;
10;331;339;Lionardo;PER;Q762;Q558148;Leonardo di Noblac >> it;-0.6067969799041748;
10;296;302;figure;MISC;Q29527347;Q56324329;Figura araldica >> it;-0.6241529583930969;
11;23;31;portiera;MISC;Q5297203;Q1276284;Portiera >> it;-0.3292703628540039;
11;56;63;Fiandra;LOC;Q234;Q157070;Contea delle Fiandre >> it;-0.19002565741539001;Exact
11;197;205;pennello;MISC;Q614467;Q193897;Pennello >> it;-0.2171824872493744;Exact
11;211;219;Lionardo;PER;Q762;Q323934;Leonardo (personaggio) >> it;-0.5772371292114258;
11;223;237;chiaro e scuro;MISC;Q219540;Q3053322;Attributi araldici di posizione >> it;-1.1202036142349243;
11;262;267;prato;MISC;Q7777019;Q13377;Prato >> it;-0.2612569034099579;
11;345;355;naturalità;MISC;Q7949;Q56000;Naturalismo (filosofia) >> it;-1.0827765464782715;
11;359;364;mondo;MISC;Q1;Q16502;Mondo >> it;-0.1946820765733719;Exact
11;365;379;divino ingegno;MISC;Q7501062;Q190;Dio >> it;-0.9742870330810547;Close
11;124;131;cartone;MISC;Q1416517;Q389782;Cartone >> it;-0.46886390447616577;Close
11;134;147;Adamo e d'Èva;PER;Q58701;Q70899;Adamo >> it;-1.9611573219299316;Related
12;41;47;quadro;MISC;Q17537576;Q11629;Pittura >> it;-0.32516729831695557;Related
13;48;54;foglio;MISC;Q196878;Q3747011;Foglio >> it;-0.5958616733551025;Disambiguation
13;101;111;diligenzia;MISC;Q1427962;Q339249;Diligenza (carrozza) >> it;-1.089383602142334;
14;26;47;frati di San Domenico;ORG;Q131479;Q44091;Domenico di Guzmán >> it;-1.4835708141326904;Related
14;88;92;cosa;MISC;Q35120;Q636109;Cosa (diritto) >> it;-0.932587742805481;
14;128;133;teste;MISC;Q23640;Q175231;Policefalia >> it;-0.4386011064052582;
14;141;149;Apostoli;PER;Q4155679;Q43412;Apostolo >> it;-0.14420969784259796;Close
14;196;202;Cristo;PER;Q302;Q642420;Cristo >> it;-0.2553556561470032;Close
14;255;263;divinità;MISC;Q1379405;Q190;Dio >> it;-0.0962558165192604;
14;281;298;imagine di Cristo;MISC;Q16564599;Q51631;Miracoli di Gesù >> it;-1.3921822309494019;
15;11;16;mezzo;MISC;Q23595;Q447765;Mezzo >> it;-0.6939084529876709;
15;85;91;Cristo;PER;Q302;Q642420;Cristo >> it;-0.27523109316825867;Close
15;139;147;artefici;MISC;Q1294787;Q735;Arte >> it;-0.9843571186065674;
15;286;291;feste;MISC;Q200538;Q1816325;Festa (liturgia) >> it;-0.7410585284233093;
16;77;83;moglie;PER;Q188830;Q574057;Mona Lisa >> it;-1.292060375213623;
16;192;203;Fontanableo;LOC;Q201428;Q574057;Mona Lisa >> it;-3.518397092819214;
16;355;362;minuzie;MISC;Q1201081;Q8362;Miniatura >> it;-2.9583933353424072;
16;140;145;opera;MISC;Q838948;Q1344;Opera >> it;-0.5183167457580566;
16;382;394;sottigliezza;MISC;Q49396791;Q40754;Sottrazione >> it;-3.362029552459717;
16;51;72;ritratto di Mona Lisa;MISC;Q12418;Q574057;Mona Lisa >> it;-0.6595708131790161;
17;65;78;sala del papa;LOC;Q3657394;Q145093;Palazzo Apostolico >> it;-1.252304196357727;
17;163;185;Duca Filippo di Milano;PER;Q289285;Q157098;Filippo I d'Asburgo >> it;-0.6461721658706665;
17;150;158;capitano;PER;Q273108;Q19100;Capitano >> it;-0.2877870500087738;
17;208;214;groppo;MISC;Q16887380;Q12766481;Groppo >> it;-0.9939743280410767;Disambiguation
17;257;261;cosa;MISC;Q35120;Q636109;Cosa (diritto) >> it;-0.43976810574531555;
17;378;382;fuga;MISC;Q178561;Q3754057;Fuga di Vittorio Emanuele III >> it;-1.1933152675628662;
17;122;128;storia;MISC;Q1318295;Q979543;Niccolò Piccinino >> it;-0.3499647080898285;
17;292;302;magisterio;MISC;Q644238;Q4594605;Magistrato >> it;-2.2555947303771973;
17;334;348;considerazioni;MISC;Q131841;Q17955;Critica >> it;-1.3145145177841187;
17;80;85;luogo;MISC;Q17334923;Q979543;Niccolò Piccinino >> it;-0.5325480699539185;
18;0;8;Lionardo;PER;Q762;Q18220847;Lionardo >> it;-1.7454088926315308;
18;59;61;re;PER;Q116;Q79868;Sovrani di Francia >> it;-0.4161907136440277;
18;75;80;opere;MISC;Q838948;Q1344;Opera >> it;-0.39461418986320496;
18;196;203;costume;MISC;Q11460;Q9053464;Costume (abito) >> it;-0.5499588251113892;
19;104;117;Marco Uggioni;PER;Q982274;Q3845343;Marc'Aurelio >> it;-5.51242208480835;
19;157;181;Transito di Nostra Donna;MISC;Q1245512;Q3673878;Chiesa di Santa Maria della Pace (Milano) >> it;-1.9853334426879883;
19;187;207;Nozze di Canagalilee;MISC;Q32066758;Q201873;Le nozze di Figaro >> it;-2.1242733001708984;
19;60;67;persona;MISC;Q5;Q215627;Persona (filosofia) >> it;-0.4811508059501648;Close
20;38;44;storie;MISC;Q1318295;Q4692;Rinascimento >> it;-1.7132083177566528;
20;153;160;ladroni;MISC;Q2258167;Q2292730;Robo >> it;-1.0211039781570435;
20;175;180;Marie;PER;Q3254109;Q345;Maria (madre di Gesù) >> it;-0.18774664402008057;
21;47;59;Lorenzo Nasi;PER;Q21618043;Q17041762;Lorenzo Savioli >> en;-7.064363479614258;
21;139;145;quadro;MISC;Q3305213;Q11629;Pittura >> it;-0.45835068821907043;Related
21;180;186;camera;LOC;Q180516;Q1906705;Camera >> it;-1.464747667312622;Disambiguation
21;223;228;gambe;MISC;Q133105;Q8265768;Gamba >> it;-0.4859437048435211;Close
21;232;236;puto;MISC;Q284865;Q13543940;Pulo >> it;-2.677826404571533;
21;250;262;San Giovanni;PER;Q40662;Q44015;Giovanni apostolo ed evangelista >> it;-0.21828314661979675;
21;313;318;festa;MISC;Q200538;Q1816325;Festa (liturgia) >> it;-0.411712646484375;
21;321;327;giuoco;MISC;Q11410;Q1150958;Giuoco >> it;-0.22034098207950592;Exact
22;15;34;Signoria di Vinezia;ORG;Q4948;Q914425;Signoria cittadina >> it;-2.2740137577056885;Broader
22;54;62;vittorie;MISC;Q50000;Q308902;Vittoria (divinità) >> it;-0.4093182384967804;
22;79;100;Bartolomeo da Bergamo;PER;Q809506;Q38239872;Bartolomeo della Scala >> it;-2.5127310752868652;
22;135;142;signore;MISC;Q12826225;Q2366336;Signore (titolo nobiliare) >> it;-0.47502249479293823;Exact
22;173;181;capitani;MISC;Q273108;Q19100;Capitano >> it;-0.45288896560668945;
22;195;201;Senato;LOC;Q2570643;Q767590;Consiglio dei Pregadi >> it;-0.6139266490936279;
22;283;314;piazza di Santo Giovanni e Polo;MISC;Q3654630;Q217527;Piazza San Marco >> it;-1.6106942892074585;
22;413;421;Fiorenza;LOC;Q2044;Q1418626;Fiorenza >> it;-0.7538833618164062;Disambiguation
22;492;499;modello;MISC;Q1979154;Q4610556;Modello (professione) >> it;-0.4570130407810211;
22;503;508;terra;MISC;Q21152267;Q2;Terra >> it;-0.3508301377296448;
22;330;334;nome;MISC;Q82799;Q147276;Nome proprio >> it;-0.3734772205352783;Close
22;337;343;Andrea;PER;Q183458;Q493293;Andrea >> it;-0.36687585711479187;
23;7;12;città;MISC;Q515;Q2044;Firenze >> it;-0.9258863925933838;Related
23;54;61;femmine;MISC;Q467;Q290;Sesso (biologia) >> it;-0.3015897572040558;
23;144;152;Fiorenza;LOC;Q2044;Q1418626;Fiorenza >> it;-0.9235426783561707;Disambiguation
23;213;217;aure;MISC;Q201411;Q47652;Venere (divinità) >> it;-1.1473464965820312;
23;220;225;venti;MISC;Q476682;Q8094;Vento >> it;-0.2147500216960907;Close
23;249;254;terra;MISC;Q21152267;Q2;Terra >> it;-0.3204133212566376;Related
23;263;268;amori;MISC;Q5011;Q316;Amore >> it;-0.882938027381897;Related
23;366;372;grazia;MISC;Q17148382;Q205194;Grazia (teologia) >> it;-0.1505768746137619;Related
23;102;110;Castello;LOC;Q2094778;Q23413;Castello >> it;-0.6854438781738281;Disambiguation
