id,start_pos,end_pos,type,alias,wb_id,score
0,74,82,LOC,Florence >> en,Q2044,-0.17778627574443817
0,123,144,LOC,"San Lorenzo, Florence >> en",Q573881,-0.29223549365997314
0,134,144,LOC,"San Lorenzo, Florence >> en",Q573881,0.12280598282814026
0,233,245,PER,Michelangelo >> en,Q5592,-1.0605536699295044
0,474,491,LOC,Basilica della Santa Casa >> en,Q654996,-0.1731291562318802
0,541,549,LOC,Florence >> en,Q2044,-0.1774740368127823
0,551,563,PER,Michelangelo >> en,Q5592,-0.7922845482826233
0,593,605,PER,Lorenzo de' Medici >> en,Q177854,-0.33323049545288086
0,1062,1074,PER,Michelangelo >> en,Q5592,-0.9389412999153137
0,1098,1120,PER,Raffaello da Montelupo >> en,Q1370859,0.22116003930568695
0,1444,1456,PER,Michelangelo >> en,Q5592,-1.091155767440796
0,1528,1534,LOC,Arezzo >> en,Q13378,-0.19459322094917297
0,1544,1550,PER,Giorgio Vasari >> en,Q128027,-0.04613234102725983
0,1663,1675,PER,Michelangelo >> en,Q5592,-1.0283633470535278
0,1845,1857,PER,Michelangelo >> en,Q5592,-0.8996003866195679
0,1929,1941,PER,Michelangelo >> en,Q5592,-0.7072412371635437
0,2056,2068,PER,Lorenzo de' Medici >> en,Q177854,-0.36073651909828186
0,2180,2190,LOC,"San Lorenzo, Florence >> en",Q573881,0.1174667477607727
0,2203,2207,LOC,Rome >> en,Q220,-0.21881882846355438
0,2309,2317,LOC,Florence >> en,Q2044,-0.17260998487472534
0,2530,2542,PER,Michelangelo >> en,Q5592,-0.763169527053833
1,27,37,LOC,Poggibonsi >> en,Q91350,-3.479588747024536
1,57,67,LOC,Монторзоли (Фиренца) >> sr,Q3862501,-1.5320184230804443
1,103,111,LOC,Florence >> en,Q2044,-0.15302400290966034
1,127,134,LOC,Bologna >> en,Q1891,-0.14262153208255768
1,474,481,LOC,Fiesole >> en,Q82670,-0.20001499354839325
1,502,512,LOC,Монторзоли (Фиренца) >> sr,Q3862501,-1.7559242248535156
1,586,605,PER,Francesco del Tadda >> it,Q3750862,-1.3737894296646118
1,822,841,PER,Francesco del Tadda >> it,Q3750862,-1.5223332643508911
1,877,884,LOC,Fiesole >> en,Q82670,-0.21086812019348145
1,1162,1166,LOC,Rome >> en,Q220,-0.2182745784521103
1,1218,1227,LOC,St. Peter's Basilica >> en,Q12512,0.08201324939727783
1,1410,1414,LOC,Rome >> en,Q220,-0.21906065940856934
1,1453,1460,LOC,Perugia >> en,Q3437,-0.20385554432868958
1,1584,1591,LOC,Perugia >> en,Q3437,-0.1975899636745453
1,1733,1752,PER,Raffaello Maffei >> en,Q3417362,0.09725797176361084
1,1780,1788,LOC,Volterra >> en,Q103305,-0.1742122620344162
2,69,77,PER,Giovanni Pisano >> en,Q314932,-0.7856977581977844
2,82,97,PER,Niccola Pisano >> en,Q364413,-0.5427815914154053
2,93,97,LOC,Pisa >> en,Q13375,-0.19125472009181976
2,133,138,LOC,Siena >> en,Q2751,-0.19852720201015472
2,301,306,LOC,Siena >> en,Q2751,-0.19181591272354126
2,445,456,LOC,"Fontebranda, Siena >> en",Q3747505,-1.1170108318328857
2,527,540,LOC,Custom house >> en,Q218653,-0.4782766103744507
2,800,808,PER,Agostino da Siena >> en,Q395759,-0.49199530482292175
2,868,876,PER,Giovanni Pisano >> en,Q314932,-0.6696582436561584
2,881,896,PER,Niccola Pisano >> en,Q364413,-0.44170093536376953
2,892,896,LOC,Pisa >> en,Q13375,-0.18323498964309692
2,1040,1046,LOC,Naples >> en,Q2634,-0.20718277990818024
2,1050,1054,LOC,Pisa >> en,Q13375,-0.19709455966949463
2,1083,1088,LOC,Siena >> en,Q2751,-0.20141156017780304
2,1154,1159,LOC,Siena Cathedral >> en,Q282554,-0.05880475044250488
2,1280,1288,PER,Agostino da Siena >> en,Q395759,-0.3588843047618866
2,1537,1545,PER,Giovanni Pisano >> en,Q314932,-1.3172909021377563
2,1994,2002,PER,Agostino da Siena >> en,Q395759,-0.305610328912735
2,2045,2053,PER,Giovanni Pisano >> en,Q314932,-1.368922233581543
3,0,8,PER,Agostino da Siena >> en,Q395759,-1.4646228551864624
3,322,330,PER,Agostino da Siena >> en,Q395759,-1.3229048252105713
3,541,545,LOC,Pisa >> en,Q13375,-0.20125892758369446
3,712,717,LOC,Siena >> en,Q2751,-0.20836777985095978
3,719,727,PER,Agostino da Siena >> en,Q395759,-1.463708758354187
3,890,895,LOC,Siena >> en,Q2751,-0.19925479590892792
3,1084,1089,LOC,Siena Cathedral >> en,Q282554,-0.02833472192287445
3,1215,1227,LOC,"Porta Romana, Siena >> en",Q2104857,-0.3616509735584259
3,1491,1499,PER,Agostino da Siena >> en,Q395759,-1.6034762859344482
3,1532,1566,LOC,"Basilica of San Francesco, Siena >> en",Q810074,-0.03490781784057617
3,1709,1716,LOC,Orvieto >> en,Q541,-0.16946285963058472
3,1718,1726,PER,Agostino da Siena >> en,Q395759,-1.953737735748291
4,50,58,LOC,Florence >> en,Q2044,-0.17720866203308105
4,101,135,PER,Lorenzo de' Medici >> en,Q177854,-0.10229350626468658
4,687,695,LOC,Florence >> en,Q2044,-0.17654293775558472
4,708,727,PER,Lorenzo de' Medici >> en,Q177854,-0.08445608615875244
4,749,755,ORG,House of Medici >> en,Q170022,-0.20832745730876923
4,831,850,PER,Lorenzo de' Medici >> en,Q177854,-0.0774369090795517
4,1047,1066,PER,Lorenzo de' Medici >> en,Q177854,-0.12839283049106598
4,1377,1383,ORG,House of Medici >> en,Q170022,-0.2118506282567978
4,1409,1417,LOC,Florence >> en,Q2044,-0.17803998291492462
5,81,110,LOC,Basilica della Santa Casa >> en,Q654996,-0.12828071415424347
5,144,186,PER,Andrea Contucci >> en,Q495011,0.24353814125061035
5,321,325,LOC,Rome >> en,Q220,-0.21711181104183197
5,374,379,PER,David >> en,Q41370,-0.26558032631874084
5,396,403,PER,Goliath >> en,Q192785,-0.09970712661743164
5,555,561,ORG,House of Medici >> en,Q170022,-0.1853400468826294
5,565,573,LOC,Florence >> en,Q2044,-0.1689775288105011
5,601,606,PER,David >> en,Q41370,-0.5526981353759766
5,648,661,LOC,Palazzo Medici Riccardi >> en,Q911047,-0.24244359135627747
5,713,720,ORG,Signoria of Florence >> en,Q3393334,-0.32903558015823364
5,747,753,PER,Baccio Bandinelli >> en,Q358348,-0.6607410907745361
5,974,988,PER,Andrea Contucci >> en,Q495011,-0.028932780027389526
5,1157,1177,MISC,Nativity of Mary >> en,Q501107,-0.15706489980220795
5,1169,1177,PER,"Mary, mother of Jesus >> en",Q345,-0.42386046051979065
5,1179,1185,PER,Baccio Bandinelli >> en,Q358348,-0.4851280450820923
5,1434,1448,PER,Andrea Contucci >> en,Q495011,0.03454101085662842
5,1623,1637,PER,Andrea Contucci >> en,Q495011,-0.07284533977508545
5,1961,1967,PER,Baccio Bandinelli >> en,Q358348,-1.070863962173462
5,2018,2032,PER,Andrea Contucci >> en,Q495011,-0.06867453455924988
5,2101,2111,PER,Bartolommeo Bandinelli >> en,Q358348,-0.14445984363555908
5,2218,2224,PER,Baccio Bandinelli >> en,Q358348,-0.3669377565383911
5,2250,2256,LOC,Ancona >> en,Q3415,-0.1869177371263504
5,2393,2415,PER,Raffaello da Montelupo >> en,Q1370859,0.4896945059299469
6,1125,1151,PER,Filippo Brunelleschi >> en,Q174330,0.039342254400253296
6,1227,1233,PER,Giotto >> en,Q7814,-0.13159418106079102
6,1313,1319,LOC,Heaven >> en,Q4489450,-0.25888609886169434
6,1639,1645,LOC,Heaven >> en,Q4489450,-0.26241347193717957
6,2004,2010,LOC,Heaven >> en,Q4489450,-0.2492818832397461
7,29,37,LOC,Florence >> en,Q2044,-0.16972574591636658
7,774,781,PER,Filippo Brunelleschi >> en,Q174330,-0.1253674328327179
7,1628,1635,PER,Filippo Brunelleschi >> en,Q174330,-0.11915260553359985
7,1963,1970,LOC,Pistoia >> en,Q13376,-0.20698921382427216
8,11,28,MISC,Siege of Florence (1529–30) >> en,Q981042,-0.34464436769485474
8,20,28,LOC,Florence >> en,Q2044,-0.18169699609279633
8,493,507,LOC,Porta a Faenza >> it,Q3908872,-1.3123300075531006
8,518,537,PER,Giuliano Bugiardini >> en,Q2578459,-0.00047901272773742676
8,730,736,ORG,House of Medici >> en,Q170022,-0.16019590198993683
8,744,762,LOC,"Piazza San Marco, Florence >> en",Q3382259,-0.40881773829460144
8,884,907,PER,Michelangelo >> en,Q5592,-0.6515643000602722
8,971,983,PER,Michelangelo >> en,Q5592,-0.7450228929519653
8,1036,1046,PER,Giuliano Bugiardini >> en,Q2578459,-0.5330726504325867
