id,start_pos,end_pos,surface,type,wb_id,broader,narrower,related,exact,close
1,64,72,Fortezza,MISC,Q605035,0,0,0,1,0
1,103,110,Antonio,PER,Q318640,0,0,0,1,0
1,113,133,Piero del Pollaiuolo,PER,Q707046,0,0,0,1,0
2,35,43,tramezzo,MISC,Q2705982,0,0,0,1,0
2,49,54,porta,MISC,Q36794,0,0,0,1,0
2,65,69,coro,MISC,Q207707,0,0,0,1,0
2,77,85,Vespucci,PER,Q4010390,0,0,0,1,0
2,90,104,Santo Agostino,PER,Q8018,0,0,0,1,0
2,171,176,tempo,MISC,Q11471,0,0,0,1,0
2,272,277,testa,MISC,Q23640,0,0,0,1,0
2,286,291,santo,PER,Q8018,0,0,0,1,0
3,182,195,S. Sebastiano,PER,Q183332,0,0,0,1,0
4,31,36,tempo,MISC,Q11471,0,0,0,1,0
4,123,142,Santa Maria Novella,LOC,Q51175,0,0,0,1,0
4,154,159,porte,MISC,Q36794,0,0,0,1,0
4,167,175,facciata,MISC,Q183061,0,0,0,1,0
4,222,227,porta,MISC,Q36794,0,0,0,1,0
4,351,356,piede,MISC,Q15807,0,0,0,1,0
4,308,315,affetto,MISC,Q159904,0,0,0,1,0
4,360,374,Nostro Signore,MISC,Q302,0,0,0,1,0
4,468,475,viaggio,MISC,Q61509,0,0,0,1,0
5,24,30,tavola,MISC,Q55439,0,0,0,1,0
5,114,119,veste,MISC,Q11460,0,0,0,1,0
5,228,232,dado,MISC,Q284053,0,0,0,1,0
5,242,247,libro,MISC,Q571,0,0,0,1,0
5,251,255,mano,MISC,Q33767,0,0,0,1,0
5,289,294,testa,MISC,Q23640,0,0,0,1,0
5,298,303,cielo,MISC,Q527,0,0,0,1,0
5,325,338,Spirito Santo,MISC,Q37302,0,0,0,1,0
5,151,156,frate,MISC,Q548320,0,0,0,1,0
6,68,72,case,MISC,Q3947,0,0,0,1,0
6,141,148,persone,MISC,Q215627,0,0,0,1,0
6,158,193,chiesa di Santo Spirito di Fiorenza,LOC,Q1519975,0,0,0,1,0
6,206,230,cappella di Gino Capponi,LOC,Q3657333,0,0,0,1,0
6,235,241,tavola,MISC,Q55439,0,0,0,1,0
6,263,290,Visitazione di Nostra Donna,MISC,Q691810,0,0,0,1,0
6,351,359,occhiali,MISC,Q37501,0,0,0,1,0
6,363,367,naso,MISC,Q7363,0,0,0,1,0
7,35,41,Venere,MISC,Q47652,0,0,0,1,0
7,56,61,Marte,MISC,Q112,0,0,0,1,0
7,120,125,fiori,MISC,Q506,0,0,0,1,0
7,150,155,Amori,MISC,Q5011,0,0,0,1,0
7,207,216,bracciali,MISC,Q689965,0,0,0,1,0
7,235,240,Marte,MISC,Q112,0,0,0,1,0
7,250,255,bosco,MISC,Q3241565,0,0,0,1,0
7,272,278,Cupido,MISC,Q5011,0,0,0,1,0
7,286,291,paura,MISC,Q44619,0,0,0,1,0
7,297,305,coniglio,MISC,Q9394,0,0,0,1,0
7,323,330,colombe,MISC,Q10856,0,0,0,1,0
7,359,364,Amore,MISC,Q5011,0,0,0,1,0
8,68,81,via de’ Servi,LOC,Q3556508,0,0,0,1,0
8,189,194,fauni,MISC,Q223194,0,0,0,1,0
8,196,202,satiri,MISC,Q163709,0,0,0,1,0
8,205,212,silvani,MISC,Q548445,0,0,0,1,0
8,216,221,putti,MISC,Q284865,0,0,0,1,0
8,295,300,vesti,MISC,Q11460,0,0,0,1,0
8,353,363,imitazione,MISC,Q1131737,0,0,0,1,0
9,18,41,Filippo Strozzi Vecchio,PER,Q323993,0,0,0,1,0
9,79,85,Perseo,PER,Q130832,0,0,0,1,0
9,93,102,Andromeda,PER,Q161582,0,0,0,1,0
10,37,40,zio,MISC,Q76557,0,0,0,1,0
10,68,72,arte,MISC,Q735,0,0,0,1,0
10,77,97,Andrea del Verocchio,PER,Q183458,0,0,0,1,0
